1987;13.12.19 11:24:26;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20191213111253;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;176,28;0,05;0,00;0,00;
0,00;0,00;176,02;-0,09;0,00;0,00;
0,00;0,00;175,24;-0,11;0,00;0,00;
0,00;0,00;174,41;0,09;0,00;0,00;
0,00;0,00;174,08;0,07;0,00;0,00;
0,00;0,00;174,06;0,09;0,00;0,00;
0,00;0,00;174,21;0,14;0,00;0,00;
0,00;0,00;174,38;0,14;0,00;0,00;
0,00;0,00;174,55;0,16;0,00;0,00;
0,00;0,00;174,71;0,16;0,00;0,00;
0,00;0,00;174,87;0,16;0,00;0,00;
0,00;0,00;175,03;0,12;0,00;0,00;
0,00;0,00;175,20;0,16;0,00;0,00;
0,00;0,00;175,36;0,14;0,00;0,00;
0,00;0,00;175,52;0,18;0,00;0,00;
0,00;0,00;175,68;0,18;0,00;0,00;
0,00;0,00;175,84;0,16;0,00;0,00;
0,00;0,00;176,00;0,14;0,00;0,00;
0,00;0,00;176,16;0,16;0,00;0,00;
0,00;0,00;176,32;0,16;0,00;0,00;
0,00;0,00;176,48;0,14;0,00;0,00;
0,00;0,00;176,64;0,18;0,00;0,00;
0,00;0,00;176,80;0,16;0,00;0,00;
0,00;0,00;176,96;0,16;0,00;0,00;
0,00;0,00;177,12;0,16;0,00;0,00;
0,00;0,00;177,28;0,16;0,00;0,00;
0,00;0,00;177,44;0,27;0,00;0,00;
0,00;0,00;177,60;0,32;0,00;0,00;
0,00;0,00;177,76;1,22;0,00;0,00;
0,00;0,00;177,89;5,40;0,00;0,00;
0,00;0,00;178,01;10,09;0,00;0,00;
0,00;0,00;178,13;15,22;0,00;0,00;
0,00;0,00;178,25;20,83;0,00;0,00;
0,00;0,00;178,31;23,88;0,00;0,00;
0,00;0,00;178,33;25,10;0,00;0,00;
0,00;0,00;178,35;25,87;0,00;0,00;
0,00;0,00;178,37;26,64;0,00;0,00;
0,00;0,00;178,38;27,36;0,00;0,00;
0,00;0,00;178,40;28,13;0,00;0,00;
0,00;0,00;178,41;28,58;0,00;0,00;
0,00;0,00;178,41;29,01;0,00;0,00;
0,00;0,00;178,42;29,39;0,00;0,00;
0,00;0,00;178,43;29,80;0,00;0,00;
0,00;0,00;178,44;30,05;0,00;0,00;
0,00;0,00;178,44;30,26;0,00;0,00;
0,00;0,00;178,44;30,41;0,00;0,00;
