Nr;Date;ProgNr;ProgName;State;PartInfo;
1062;13.12.19 16:37:51;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20191213162912;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,11;0,00;0,00;
0,00;0,00;40,50;0,09;0,00;0,00;
0,00;0,00;41,52;0,11;0,00;0,00;
0,00;0,00;43,04;0,18;0,00;0,00;
0,00;0,00;45,09;0,09;0,00;0,00;
0,00;0,00;47,65;0,11;0,00;0,00;
0,00;0,00;50,67;0,24;0,00;0,00;
0,00;0,00;53,85;0,11;0,00;0,00;
0,00;0,00;56,99;0,11;0,00;0,00;
0,00;0,00;60,28;-0,00;0,00;0,00;
0,00;0,00;63,42;0,09;0,00;0,00;
0,00;0,00;66,65;0,09;0,00;0,00;
0,00;0,00;69,84;0,02;0,00;0,00;
0,00;0,00;73,05;0,16;0,00;0,00;
0,00;0,00;76,25;0,13;0,00;0,00;
0,00;0,00;79,45;0,09;0,00;0,00;
0,00;0,00;82,65;0,16;0,00;0,00;
0,00;0,00;85,85;0,04;0,00;0,00;
0,00;0,00;89,05;0,20;0,00;0,00;
0,00;0,00;92,25;0,06;0,00;0,00;
0,00;0,00;95,45;0,06;0,00;0,00;
0,00;0,00;98,65;0,16;0,00;0,00;
0,00;0,00;101,85;0,06;0,00;0,00;
0,00;0,00;105,05;0,13;0,00;0,00;
0,00;0,00;108,25;0,11;0,00;0,00;
0,00;0,00;111,45;0,09;0,00;0,00;
0,00;0,00;114,65;0,09;0,00;0,00;
0,00;0,00;117,85;0,06;0,00;0,00;
0,00;0,00;121,05;0,18;0,00;0,00;
0,00;0,00;124,25;0,11;0,00;0,00;
0,00;0,00;127,45;0,09;0,00;0,00;
0,00;0,00;130,65;0,16;0,00;0,00;
0,00;0,00;133,85;0,06;0,00;0,00;
0,00;0,00;137,05;0,11;0,00;0,00;
0,00;0,00;140,25;0,11;0,00;0,00;
0,00;0,00;143,45;0,02;0,00;0,00;
0,00;0,00;146,65;0,13;0,00;0,00;
0,00;0,00;149,85;0,02;0,00;0,00;
0,00;0,00;153,05;0,20;0,00;0,00;
0,00;0,00;156,25;0,09;0,00;0,00;
0,00;0,00;159,42;0,06;0,00;0,00;
0,00;0,00;162,10;0,04;0,00;0,00;
0,00;0,00;164,35;0,02;0,00;0,00;
0,00;0,00;166,11;-0,00;0,00;0,00;
0,00;0,00;167,36;-0,02;0,00;0,00;
0,00;0,00;168,10;-0,07;0,00;0,00;
0,00;0,00;168,35;0,02;0,00;0,00;
0,00;0,00;168,43;0,04;0,00;0,00;
0,00;0,00;168,89;0,02;0,00;0,00;
0,00;0,00;169,05;0,06;0,00;0,00;
0,00;0,00;169,21;0,02;0,00;0,00;
0,00;0,00;170,65;0,04;0,00;0,00;
0,00;0,00;170,91;-0,05;0,00;0,00;
0,00;0,00;170,76;-0,25;0,00;0,00;
0,00;0,00;170,09;-0,18;0,00;0,00;
0,00;0,00;169,30;0,02;0,00;0,00;
0,00;0,00;169,03;-0,05;0,00;0,00;
0,00;0,00;168,94;-0,16;0,00;0,00;
0,00;0,00;168,90;-0,14;0,00;0,00;
0,00;0,00;168,90;-0,05;0,00;0,00;
0,00;0,00;168,95;0,06;0,00;0,00;
0,00;0,00;169,09;0,04;0,00;0,00;
0,00;0,00;169,24;-0,00;0,00;0,00;
0,00;0,00;169,41;-0,02;0,00;0,00;
0,00;0,00;169,58;-0,00;0,00;0,00;
0,00;0,00;169,74;0,02;0,00;0,00;
0,00;0,00;169,90;0,02;0,00;0,00;
0,00;0,00;170,71;0,02;0,00;0,00;
0,00;0,00;170,87;0,02;0,00;0,00;
0,00;0,00;171,51;0,09;0,00;0,00;
0,00;0,00;171,67;0,18;0,00;0,00;
0,00;0,00;171,83;0,18;0,00;0,00;
0,00;0,00;171,99;0,92;0,00;0,00;
0,00;0,00;172,14;2,41;0,00;0,00;
0,00;0,00;172,28;4,00;0,00;0,00;
0,00;0,00;172,43;5,80;0,00;0,00;
0,00;0,00;172,58;7,79;0,00;0,00;
0,00;0,00;172,73;9,85;0,00;0,00;
0,00;0,00;172,83;11,22;0,00;0,00;
0,00;0,00;172,85;11,63;0,00;0,00;
0,00;0,00;172,86;11,72;0,00;0,00;
0,00;0,00;172,87;11,84;0,00;0,00;
0,00;0,00;172,87;11,93;0,00;0,00;
0,00;0,00;172,88;11,93;0,00;0,00;
0,00;0,00;172,88;12,02;0,00;0,00;
0,00;0,00;172,88;12,02;0,00;0,00;
0,00;0,00;172,89;12,08;0,00;0,00;
0,00;0,00;172,89;12,11;0,00;0,00;
0,00;0,00;172,89;12,11;0,00;0,00;
0,00;0,00;172,90;12,11;0,00;0,00;
0,00;0,00;172,90;12,17;0,00;0,00;
0,00;0,00;172,90;12,13;0,00;0,00;
