3440;22.01.20 17:39:03;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;73,76;0,16;0,00;0,00;
0,00;0,00;74,21;0,23;0,00;0,00;
0,00;0,00;74,98;0,23;0,00;0,00;
0,00;0,00;76,13;0,23;0,00;0,00;
0,00;0,00;77,67;0,16;0,00;0,00;
0,00;0,00;79,60;0,23;0,00;0,00;
0,00;0,00;81,90;0,23;0,00;0,00;
0,00;0,00;84,24;0,16;0,00;0,00;
0,00;0,00;86,63;0,23;0,00;0,00;
0,00;0,00;89,04;0,23;0,00;0,00;
0,00;0,00;91,44;0,23;0,00;0,00;
0,00;0,00;93,84;0,23;0,00;0,00;
0,00;0,00;96,25;0,08;0,00;0,00;
0,00;0,00;98,64;0,08;0,00;0,00;
0,00;0,00;101,05;0,23;0,00;0,00;
0,00;0,00;103,45;0,16;0,00;0,00;
0,00;0,00;105,85;0,23;0,00;0,00;
0,00;0,00;108,25;0,16;0,00;0,00;
0,00;0,00;110,64;0,16;0,00;0,00;
0,00;0,00;113,05;0,16;0,00;0,00;
0,00;0,00;115,45;0,16;0,00;0,00;
0,00;0,00;117,85;0,08;0,00;0,00;
0,00;0,00;120,25;0,16;0,00;0,00;
0,00;0,00;122,64;0,08;0,00;0,00;
0,00;0,00;125,05;0,08;0,00;0,00;
0,00;0,00;127,45;0,16;0,00;0,00;
0,00;0,00;129,85;0,16;0,00;0,00;
0,00;0,00;132,25;0,08;0,00;0,00;
0,00;0,00;134,64;0,08;0,00;0,00;
0,00;0,00;137,05;0,16;0,00;0,00;
0,00;0,00;139,45;0,16;0,00;0,00;
0,00;0,00;141,85;0,16;0,00;0,00;
0,00;0,00;144,25;0,16;0,00;0,00;
0,00;0,00;146,65;0,08;0,00;0,00;
0,00;0,00;149,05;0,08;0,00;0,00;
0,00;0,00;151,45;0,16;0,00;0,00;
0,00;0,00;153,85;0,08;0,00;0,00;
0,00;0,00;163,06;-0,08;0,00;0,00;
0,00;0,00;163,12;0,08;0,00;0,00;
0,00;0,00;163,12;0,16;0,00;0,00;
0,00;0,00;163,29;0,98;0,00;0,00;
0,00;0,00;163,42;2,43;0,00;0,00;
0,00;0,00;163,58;2,66;0,00;0,00;
0,00;0,00;163,75;2,74;0,00;0,00;
0,00;0,00;163,91;2,66;0,00;0,00;
0,00;0,00;164,07;2,59;0,00;0,00;
0,00;0,00;164,23;2,66;0,00;0,00;
0,00;0,00;164,39;2,51;0,00;0,00;
0,00;0,00;164,55;2,66;0,00;0,00;
0,00;0,00;164,71;2,74;0,00;0,00;
0,00;0,00;164,87;4,19;0,00;0,00;
0,00;0,00;165,02;6,09;0,00;0,00;
0,00;0,00;165,18;6,93;0,00;0,00;
0,00;0,00;165,34;7,30;0,00;0,00;
0,00;0,00;165,50;7,83;0,00;0,00;
0,00;0,00;165,67;8,07;0,00;0,00;
0,00;0,00;165,74;6,99;0,00;0,00;
0,00;0,00;165,76;7,30;0,00;0,00;
0,00;0,00;165,76;7,62;0,00;0,00;
0,00;0,00;165,76;7,62;0,00;0,00;
0,00;0,00;165,76;7,38;0,00;0,00;
0,00;0,00;165,76;7,30;0,00;0,00;
0,00;0,00;165,76;7,30;0,00;0,00;
0,00;0,00;165,76;7,30;0,00;0,00;
0,00;0,00;165,76;7,07;0,00;0,00;
0,00;0,00;165,76;7,01;0,00;0,00;
0,00;0,00;165,76;7,01;0,00;0,00;
0,00;0,00;165,76;7,01;0,00;0,00;
0,00;0,00;165,76;7,01;0,00;0,00;
0,00;0,00;165,76;7,01;0,00;0,00;
