2715;23.01.20 11:17:20;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,05;0,27;0,00;0,00;
0,00;0,00;0,58;0,14;0,00;0,00;
0,00;0,00;1,59;0,20;0,00;0,00;
0,00;0,00;3,13;0,20;0,00;0,00;
0,00;0,00;5,18;0,18;0,00;0,00;
0,00;0,00;7,74;0,20;0,00;0,00;
0,00;0,00;10,71;0,27;0,00;0,00;
0,00;0,00;13,89;0,16;0,00;0,00;
0,00;0,00;17,08;0,20;0,00;0,00;
0,00;0,00;20,36;0,12;0,00;0,00;
0,00;0,00;23,50;0,16;0,00;0,00;
0,00;0,00;26,73;0,30;0,00;0,00;
0,00;0,00;29,97;0,14;0,00;0,00;
0,00;0,00;33,07;0,18;0,00;0,00;
0,00;0,00;36,35;0,07;0,00;0,00;
0,00;0,00;39,52;0,18;0,00;0,00;
0,00;0,00;42,68;0,27;0,00;0,00;
0,00;0,00;46,00;0,12;0,00;0,00;
0,00;0,00;49,09;0,20;0,00;0,00;
0,00;0,00;52,24;0,25;0,00;0,00;
0,00;0,00;55,57;0,18;0,00;0,00;
0,00;0,00;58,69;0,18;0,00;0,00;
0,00;0,00;61,87;0,18;0,00;0,00;
0,00;0,00;65,18;0,09;0,00;0,00;
0,00;0,00;68,27;0,20;0,00;0,00;
0,00;0,00;71,49;0,11;0,00;0,00;
0,00;0,00;74,76;0,09;0,00;0,00;
0,00;0,00;77,86;0,16;0,00;0,00;
0,00;0,00;81,08;0,23;0,00;0,00;
0,00;0,00;84,37;0,09;0,00;0,00;
0,00;0,00;87,46;0,16;0,00;0,00;
0,00;0,00;90,72;0,27;0,00;0,00;
0,00;0,00;93,93;0,16;0,00;0,00;
0,00;0,00;97,05;0,18;0,00;0,00;
0,00;0,00;100,34;0,11;0,00;0,00;
0,00;0,00;103,53;0,16;0,00;0,00;
0,00;0,00;106,64;0,20;0,00;0,00;
0,00;0,00;109,93;0,07;0,00;0,00;
0,00;0,00;113,13;0,16;0,00;0,00;
0,00;0,00;116,25;0,25;0,00;0,00;
0,00;0,00;119,53;0,16;0,00;0,00;
0,00;0,00;122,69;0,23;0,00;0,00;
0,00;0,00;125,94;0,11;0,00;0,00;
0,00;0,00;129,11;0,18;0,00;0,00;
0,00;0,00;132,32;0,18;0,00;0,00;
0,00;0,00;135,51;0,18;0,00;0,00;
0,00;0,00;138,73;0,18;0,00;0,00;
0,00;0,00;141,85;0,09;0,00;0,00;
0,00;0,00;144,49;0,12;0,00;0,00;
0,00;0,00;146,71;0,09;0,00;0,00;
0,00;0,00;148,44;0,09;0,00;0,00;
0,00;0,00;149,67;0,02;0,00;0,00;
0,00;0,00;150,66;0,02;0,00;0,00;
0,00;0,00;150,73;0,05;0,00;0,00;
0,00;0,00;150,74;0,12;0,00;0,00;
