2569;23.01.20 16:35:45;21;Avvicinamento Pressata Finale;position < min position (11);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,30;0,04;0,00;0,00;
0,00;0,00;1,11;-0,01;0,00;0,00;
0,00;0,00;2,40;0,04;0,00;0,00;
0,00;0,00;4,19;0,04;0,00;0,00;
0,00;0,00;6,50;-0,05;0,00;0,00;
0,00;0,00;8,82;-0,01;0,00;0,00;
0,00;0,00;11,21;-0,01;0,00;0,00;
0,00;0,00;13,62;0,08;0,00;0,00;
0,00;0,00;18,42;-0,04;0,00;0,00;
0,00;0,00;30,42;-0,04;0,00;0,00;
0,00;0,00;32,82;0,04;0,00;0,00;
0,00;0,00;35,22;0,04;0,00;0,00;
0,00;0,00;37,62;-0,04;0,00;0,00;
0,00;0,00;40,02;-0,04;0,00;0,00;
0,00;0,00;42,42;-0,04;0,00;0,00;
0,00;0,00;47,22;-0,01;0,00;0,00;
0,00;0,00;52,02;-0,04;0,00;0,00;
0,00;0,00;54,42;-0,04;0,00;0,00;
0,00;0,00;56,82;-0,04;0,00;0,00;
0,00;0,00;59,22;0,04;0,00;0,00;
0,00;0,00;61,62;-0,04;0,00;0,00;
0,00;0,00;64,02;-0,01;0,00;0,00;
0,00;0,00;68,82;-0,04;0,00;0,00;
0,00;0,00;71,22;-0,04;0,00;0,00;
0,00;0,00;73,62;-0,04;0,00;0,00;
0,00;0,00;78,42;-0,09;0,00;0,00;
0,00;0,00;83,22;-0,04;0,00;0,00;
0,00;0,00;88,02;-0,09;0,00;0,00;
0,00;0,00;90,42;-0,04;0,00;0,00;
0,00;0,00;95,22;-0,04;0,00;0,00;
0,00;0,00;97,62;-0,04;0,00;0,00;
0,00;0,00;100,02;-0,09;0,00;0,00;
0,00;0,00;102,42;-0,04;0,00;0,00;
0,00;0,00;104,82;-0,09;0,00;0,00;
0,00;0,00;107,22;-0,04;0,00;0,00;
0,00;0,00;109,62;-0,04;0,00;0,00;
0,00;0,00;112,02;-0,09;0,00;0,00;
0,00;0,00;114,42;-0,01;0,00;0,00;
0,00;0,00;119,22;-0,04;0,00;0,00;
0,00;0,00;121,62;-0,04;0,00;0,00;
0,00;0,00;124,02;-0,01;0,00;0,00;
0,00;0,00;126,42;-0,04;0,00;0,00;
0,00;0,00;128,82;-0,09;0,00;0,00;
0,00;0,00;131,22;-0,04;0,00;0,00;
0,00;0,00;133,62;-0,01;0,00;0,00;
0,00;0,00;140,82;-0,04;0,00;0,00;
0,00;0,00;143,22;-0,04;0,00;0,00;
0,00;0,00;148,02;-0,09;0,00;0,00;
0,00;0,00;152,82;-0,05;0,00;0,00;
0,00;0,00;155,22;0,04;0,00;0,00;
0,00;0,00;160,02;-0,05;0,00;0,00;
0,00;0,00;162,42;-0,04;0,00;0,00;
0,00;0,00;164,82;-0,04;0,00;0,00;
0,00;0,00;167,22;-0,04;0,00;0,00;
0,00;0,00;169,62;-0,04;0,00;0,00;
0,00;0,00;172,02;-0,04;0,00;0,00;
0,00;0,00;174,42;-0,01;0,00;0,00;
0,00;0,00;181,22;-0,04;0,00;0,00;
0,00;0,00;182,76;-0,04;0,00;0,00;
0,00;0,00;183,82;-0,04;0,00;0,00;
0,00;0,00;184,36;-0,09;0,00;0,00;
0,00;0,00;184,47;0,04;0,00;0,00;
0,00;0,00;184,58;-0,01;0,00;0,00;
0,00;0,00;185,86;0,04;0,00;0,00;
0,00;0,00;186,50;0,04;0,00;0,00;
0,00;0,00;191,78;0,08;0,00;0,00;
0,00;0,00;193,06;0,04;0,00;0,00;
0,00;0,00;195,30;0,04;0,00;0,00;
0,00;0,00;195,46;0,04;0,00;0,00;
0,00;0,00;196,58;0,04;0,00;0,00;
0,00;0,00;197,22;0,04;0,00;0,00;
0,00;0,00;198,82;0,04;0,00;0,00;
0,00;0,00;198,98;0,04;0,00;0,00;
0,00;0,00;199,62;0,04;0,00;0,00;
0,00;0,00;201,70;0,08;0,00;0,00;
0,00;0,00;204,58;0,04;0,00;0,00;
0,00;0,00;205,22;0,04;0,00;0,00;
0,00;0,00;205,86;0,04;0,00;0,00;
0,00;0,00;207,14;0,04;0,00;0,00;
0,00;0,00;207,62;0,08;0,00;0,00;
0,00;0,00;208,10;-0,04;0,00;0,00;
0,00;0,00;208,58;0,04;0,00;0,00;
0,00;0,00;208,74;0,04;0,00;0,00;
0,00;0,00;208,90;0,04;0,00;0,00;
0,00;0,00;209,06;0,04;0,00;0,00;
0,00;0,00;209,54;0,04;0,00;0,00;
0,00;0,00;209,70;0,04;0,00;0,00;
0,00;0,00;210,18;0,04;0,00;0,00;
0,00;0,00;210,50;0,04;0,00;0,00;
0,00;0,00;210,82;0,04;0,00;0,00;
0,00;0,00;210,98;0,04;0,00;0,00;
0,00;0,00;211,78;0,04;0,00;0,00;
0,00;0,00;213,06;0,04;0,00;0,00;
0,00;0,00;214,98;0,04;0,00;0,00;
0,00;0,00;216,42;0,04;0,00;0,00;
0,00;0,00;217,06;0,04;0,00;0,00;
0,00;0,00;218,34;0,04;0,00;0,00;
0,00;0,00;218,66;0,04;0,00;0,00;
0,00;0,00;218,98;0,04;0,00;0,00;
0,00;0,00;219,14;0,04;0,00;0,00;
0,00;0,00;219,30;0,04;0,00;0,00;
0,00;0,00;219,78;0,04;0,00;0,00;
0,00;0,00;220,10;0,04;0,00;0,00;
0,00;0,00;220,26;0,04;0,00;0,00;
0,00;0,00;222,18;0,04;0,00;0,00;
0,00;0,00;222,66;0,04;0,00;0,00;
0,00;0,00;223,14;0,04;0,00;0,00;
0,00;0,00;224,58;0,12;0,00;0,00;
0,00;0,00;227,78;0,04;0,00;0,00;
0,00;0,00;227,94;0,04;0,00;0,00;
0,00;0,00;229,06;0,04;0,00;0,00;
0,00;0,00;229,22;0,04;0,00;0,00;
0,00;0,00;231,62;0,04;0,00;0,00;
0,00;0,00;232,42;0,04;0,00;0,00;
0,00;0,00;233,70;0,04;0,00;0,00;
0,00;0,00;234,02;0,04;0,00;0,00;
0,00;0,00;235,62;0,04;0,00;0,00;
0,00;0,00;236,74;0,04;0,00;0,00;
0,00;0,00;236,90;0,26;0,00;0,00;
0,00;0,00;237,05;2,21;0,00;0,00;
0,00;0,00;237,19;7,86;0,00;0,00;
0,00;0,00;237,31;15,52;0,00;0,00;
0,00;0,00;237,44;24,26;0,00;0,00;
0,00;0,00;237,46;25,95;0,00;0,00;
0,00;0,00;237,47;26,78;0,00;0,00;
0,00;0,00;237,49;27,96;0,00;0,00;
0,00;0,00;237,50;28,66;0,00;0,00;
0,00;0,00;237,51;29,09;0,00;0,00;
0,00;0,00;237,52;29,40;0,00;0,00;
0,00;0,00;237,52;29,40;0,00;0,00;
0,00;0,00;237,53;28,87;0,00;0,00;
0,00;0,00;237,55;25,65;0,00;0,00;
0,00;0,00;237,57;24,61;0,00;0,00;
0,00;0,00;237,57;23,96;0,00;0,00;
0,00;0,00;237,57;23,83;0,00;0,00;
0,00;0,00;237,56;23,78;0,00;0,00;
0,00;0,00;237,56;23,66;0,00;0,00;
0,00;0,00;237,56;23,66;0,00;0,00;
0,00;0,00;237,56;23,66;0,00;0,00;
0,00;0,00;237,56;23,48;0,00;0,00;
0,00;0,00;237,56;23,48;0,00;0,00;
0,00;0,00;237,55;23,48;0,00;0,00;
0,00;0,00;237,55;23,35;0,00;0,00;
0,00;0,00;237,55;23,30;0,00;0,00;
