Nr;Date;ProgNr;ProgName;State;
1304;29.01.20 14:11:03;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;-0,10;0,02;0,00;0,00;
0,00;0,00;0,16;0,25;0,00;0,00;
0,00;0,00;0,94;0,18;0,00;0,00;
0,00;0,00;2,21;0,07;0,00;0,00;
0,00;0,00;4,00;0,20;0,00;0,00;
0,00;0,00;6,30;0,32;0,00;0,00;
0,00;0,00;9,11;0,20;0,00;0,00;
0,00;0,00;12,27;0,05;0,00;0,00;
0,00;0,00;15,40;0,11;0,00;0,00;
0,00;0,00;18,65;0,29;0,00;0,00;
0,00;0,00;21,85;0,09;0,00;0,00;
0,00;0,00;25,03;0,29;0,00;0,00;
0,00;0,00;28,25;0,14;0,00;0,00;
0,00;0,00;31,44;0,16;0,00;0,00;
0,00;0,00;34,65;0,20;0,00;0,00;
0,00;0,00;37,85;0,11;0,00;0,00;
0,00;0,00;41,05;0,20;0,00;0,00;
0,00;0,00;44,25;0,16;0,00;0,00;
0,00;0,00;47,45;0,11;0,00;0,00;
0,00;0,00;50,65;0,16;0,00;0,00;
0,00;0,00;53,85;0,09;0,00;0,00;
0,00;0,00;57,05;0,20;0,00;0,00;
0,00;0,00;60,25;0,16;0,00;0,00;
0,00;0,00;63,45;0,16;0,00;0,00;
0,00;0,00;66,65;0,16;0,00;0,00;
0,00;0,00;69,85;0,13;0,00;0,00;
0,00;0,00;73,05;0,20;0,00;0,00;
0,00;0,00;76,25;0,16;0,00;0,00;
0,00;0,00;79,45;0,16;0,00;0,00;
0,00;0,00;82,65;0,23;0,00;0,00;
0,00;0,00;85,85;0,09;0,00;0,00;
0,00;0,00;89,05;0,20;0,00;0,00;
0,00;0,00;92,25;0,13;0,00;0,00;
0,00;0,00;95,45;0,16;0,00;0,00;
0,00;0,00;98,65;0,18;0,00;0,00;
0,00;0,00;101,85;0,13;0,00;0,00;
0,00;0,00;105,05;0,23;0,00;0,00;
0,00;0,00;108,25;0,14;0,00;0,00;
0,00;0,00;111,45;0,16;0,00;0,00;
0,00;0,00;114,65;0,18;0,00;0,00;
0,00;0,00;117,85;0,05;0,00;0,00;
0,00;0,00;121,05;0,20;0,00;0,00;
0,00;0,00;124,25;0,13;0,00;0,00;
0,00;0,00;127,45;0,11;0,00;0,00;
0,00;0,00;130,65;0,18;0,00;0,00;
0,00;0,00;133,85;0,07;0,00;0,00;
0,00;0,00;137,05;0,23;0,00;0,00;
0,00;0,00;140,25;0,16;0,00;0,00;
0,00;0,00;143,45;0,11;0,00;0,00;
0,00;0,00;146,65;0,20;0,00;0,00;
0,00;0,00;149,85;0,09;0,00;0,00;
0,00;0,00;153,05;0,20;0,00;0,00;
0,00;0,00;156,25;0,16;0,00;0,00;
0,00;0,00;159,45;0,11;0,00;0,00;
0,00;0,00;162,53;-0,05;0,00;0,00;
0,00;0,00;165,11;0,11;0,00;0,00;
0,00;0,00;167,25;0,09;0,00;0,00;
0,00;0,00;168,91;0,05;0,00;0,00;
0,00;0,00;170,69;-0,05;0,00;0,00;
0,00;0,00;170,87;0,02;0,00;0,00;
0,00;0,00;170,93;0,05;0,00;0,00;
0,00;0,00;170,93;0,05;0,00;0,00;
0,00;0,00;171,02;0,07;0,00;0,00;
0,00;0,00;171,15;0,11;0,00;0,00;
0,00;0,00;171,31;0,09;0,00;0,00;
0,00;0,00;171,47;0,02;0,00;0,00;
0,00;0,00;171,63;0,09;0,00;0,00;
0,00;0,00;171,79;0,09;0,00;0,00;
0,00;0,00;171,95;0,11;0,00;0,00;
0,00;0,00;172,11;0,11;0,00;0,00;
0,00;0,00;172,27;0,11;0,00;0,00;
0,00;0,00;172,43;0,07;0,00;0,00;
0,00;0,00;172,59;0,09;0,00;0,00;
0,00;0,00;172,75;0,11;0,00;0,00;
0,00;0,00;172,91;0,11;0,00;0,00;
0,00;0,00;173,07;0,09;0,00;0,00;
0,00;0,00;173,23;0,09;0,00;0,00;
0,00;0,00;173,39;0,09;0,00;0,00;
0,00;0,00;173,55;0,11;0,00;0,00;
0,00;0,00;173,71;0,11;0,00;0,00;
0,00;0,00;173,87;0,23;0,00;0,00;
0,00;0,00;174,03;0,29;0,00;0,00;
0,00;0,00;174,19;0,25;0,00;0,00;
0,00;0,00;174,35;0,40;0,00;0,00;
0,00;0,00;174,51;0,63;0,00;0,00;
0,00;0,00;174,67;0,91;0,00;0,00;
0,00;0,00;174,83;1,06;0,00;0,00;
0,00;0,00;174,99;1,20;0,00;0,00;
0,00;0,00;175,15;1,33;0,00;0,00;
0,00;0,00;175,24;1,26;0,00;0,00;
0,00;0,00;175,26;1,45;0,00;0,00;
0,00;0,00;175,26;1,29;0,00;0,00;
0,00;0,00;174,99;0,20;0,00;0,00;
0,00;0,00;174,22;-0,16;0,00;0,00;
0,00;0,00;172,95;-0,23;0,00;0,00;
0,00;0,00;171,16;-0,16;0,00;0,00;
0,00;0,00;168,86;-0,02;0,00;0,00;
0,00;0,00;166,06;-0,13;0,00;0,00;
0,00;0,00;162,90;-0,18;0,00;0,00;
0,00;0,00;159,75;-0,20;0,00;0,00;
0,00;0,00;156,51;-0,02;0,00;0,00;
0,00;0,00;153,31;-0,13;0,00;0,00;
0,00;0,00;150,10;-0,02;0,00;0,00;
0,00;0,00;146,91;-0,09;0,00;0,00;
0,00;0,00;143,70;-0,11;0,00;0,00;
0,00;0,00;140,50;-0,05;0,00;0,00;
0,00;0,00;137,30;-0,16;0,00;0,00;
0,00;0,00;134,10;-0,09;0,00;0,00;
0,00;0,00;130,90;-0,09;0,00;0,00;
0,00;0,00;127,70;-0,16;0,00;0,00;
0,00;0,00;121,30;-0,13;0,00;0,00;
0,00;0,00;118,10;-0,05;0,00;0,00;
0,00;0,00;114,90;-0,11;0,00;0,00;
0,00;0,00;111,70;-0,13;0,00;0,00;
0,00;0,00;108,50;-0,07;0,00;0,00;
0,00;0,00;105,30;-0,11;0,00;0,00;
0,00;0,00;102,10;-0,07;0,00;0,00;
0,00;0,00;98,90;-0,11;0,00;0,00;
0,00;0,00;95,70;-0,11;0,00;0,00;
0,00;0,00;89,30;-0,16;0,00;0,00;
0,00;0,00;86,10;-0,07;0,00;0,00;
0,00;0,00;82,90;-0,11;0,00;0,00;
0,00;0,00;79,70;-0,16;0,00;0,00;
0,00;0,00;76,50;-0,07;0,00;0,00;
0,00;0,00;73,30;-0,11;0,00;0,00;
0,00;0,00;70,10;-0,07;0,00;0,00;
0,00;0,00;66,90;-0,07;0,00;0,00;
0,00;0,00;63,70;-0,13;0,00;0,00;
0,00;0,00;60,50;-0,02;0,00;0,00;
0,00;0,00;57,30;-0,13;0,00;0,00;
0,00;0,00;54,10;-0,07;0,00;0,00;
0,00;0,00;50,90;-0,07;0,00;0,00;
0,00;0,00;47,70;-0,16;0,00;0,00;
0,00;0,00;44,50;-0,05;0,00;0,00;
0,00;0,00;41,30;-0,13;0,00;0,00;
0,00;0,00;38,10;-0,05;0,00;0,00;
0,00;0,00;34,90;-0,09;0,00;0,00;
0,00;0,00;31,70;-0,16;0,00;0,00;
0,00;0,00;28,50;-0,05;0,00;0,00;
0,00;0,00;25,30;-0,13;0,00;0,00;
0,00;0,00;22,10;-0,07;0,00;0,00;
0,00;0,00;18,90;-0,11;0,00;0,00;
0,00;0,00;15,70;-0,13;0,00;0,00;
0,00;0,00;12,50;-0,05;0,00;0,00;
0,00;0,00;9,31;-0,11;0,00;0,00;
0,00;0,00;6,56;-0,05;0,00;0,00;
0,00;0,00;4,25;-0,02;0,00;0,00;
0,00;0,00;2,42;0,05;0,00;0,00;
0,00;0,00;1,10;0,02;0,00;0,00;
0,00;0,00;0,28;0,07;0,00;0,00;
0,00;0,00;-0,04;0,02;0,00;0,00;
