2624;31.01.20 16:44:40;21;Avvicinamento Pressata Finale;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;40,80;-0,04;0,00;0,00;
0,00;0,00;41,62;0,04;0,00;0,00;
0,00;0,00;42,90;0,04;0,00;0,00;
0,00;0,00;44,70;-0,04;0,00;0,00;
0,00;0,00;47,00;0,09;0,00;0,00;
0,00;0,00;49,32;0,04;0,00;0,00;
0,00;0,00;61,32;-0,04;0,00;0,00;
0,00;0,00;63,72;-0,04;0,00;0,00;
0,00;0,00;70,92;-0,09;0,00;0,00;
0,00;0,00;75,72;-0,04;0,00;0,00;
0,00;0,00;78,12;-0,09;0,00;0,00;
0,00;0,00;80,52;-0,04;0,00;0,00;
0,00;0,00;87,72;-0,04;0,00;0,00;
0,00;0,00;90,12;-0,04;0,00;0,00;
0,00;0,00;94,92;-0,04;0,00;0,00;
0,00;0,00;97,32;-0,04;0,00;0,00;
0,00;0,00;102,12;-0,09;0,00;0,00;
0,00;0,00;109,32;-0,09;0,00;0,00;
0,00;0,00;111,72;-0,04;0,00;0,00;
0,00;0,00;114,12;-0,04;0,00;0,00;
0,00;0,00;116,52;-0,04;0,00;0,00;
0,00;0,00;121,32;-0,04;0,00;0,00;
0,00;0,00;123,72;-0,04;0,00;0,00;
0,00;0,00;126,12;-0,04;0,00;0,00;
0,00;0,00;128,52;-0,09;0,00;0,00;
0,00;0,00;130,92;-0,09;0,00;0,00;
0,00;0,00;133,32;-0,04;0,00;0,00;
0,00;0,00;135,72;-0,04;0,00;0,00;
0,00;0,00;138,12;-0,04;0,00;0,00;
0,00;0,00;140,52;-0,04;0,00;0,00;
0,00;0,00;150,12;-0,04;0,00;0,00;
0,00;0,00;157,32;-0,04;0,00;0,00;
0,00;0,00;159,72;-0,04;0,00;0,00;
0,00;0,00;162,12;-0,04;0,00;0,00;
0,00;0,00;164,52;0,04;0,00;0,00;
0,00;0,00;169,32;-0,04;0,00;0,00;
0,00;0,00;171,72;-0,04;0,00;0,00;
0,00;0,00;174,12;-0,04;0,00;0,00;
0,00;0,00;178,92;-0,04;0,00;0,00;
0,00;0,00;181,32;-0,04;0,00;0,00;
0,00;0,00;183,72;-0,04;0,00;0,00;
0,00;0,00;186,12;-0,04;0,00;0,00;
0,00;0,00;188,52;-0,04;0,00;0,00;
0,00;0,00;190,92;-0,09;0,00;0,00;
0,00;0,00;193,32;-0,04;0,00;0,00;
0,00;0,00;195,72;-0,04;0,00;0,00;
0,00;0,00;198,12;-0,04;0,00;0,00;
0,00;0,00;200,52;-0,09;0,00;0,00;
0,00;0,00;205,32;-0,04;0,00;0,00;
0,00;0,00;210,12;-0,04;0,00;0,00;
0,00;0,00;212,52;-0,09;0,00;0,00;
0,00;0,00;214,92;-0,04;0,00;0,00;
0,00;0,00;217,32;-0,04;0,00;0,00;
0,00;0,00;219,72;-0,04;0,00;0,00;
0,00;0,00;222,12;-0,04;0,00;0,00;
0,00;0,00;224,52;-0,04;0,00;0,00;
0,00;0,00;226,92;-0,04;0,00;0,00;
0,00;0,00;229,20;-0,13;0,00;0,00;
0,00;0,00;230,94;-0,09;0,00;0,00;
0,00;0,00;232,26;-0,04;0,00;0,00;
0,00;0,00;233,06;-0,13;0,00;0,00;
0,00;0,00;233,33;-0,04;0,00;0,00;
0,00;0,00;237,56;0,04;0,00;0,00;
0,00;0,00;241,72;0,04;0,00;0,00;
0,00;0,00;242,20;0,04;0,00;0,00;
0,00;0,00;242,84;0,04;0,00;0,00;
0,00;0,00;244,76;0,04;0,00;0,00;
0,00;0,00;248,12;0,04;0,00;0,00;
0,00;0,00;250,84;0,04;0,00;0,00;
0,00;0,00;251,48;0,04;0,00;0,00;
0,00;0,00;254,84;0,04;0,00;0,00;
0,00;0,00;255,00;0,04;0,00;0,00;
0,00;0,00;256,92;0,04;0,00;0,00;
0,00;0,00;257,24;0,04;0,00;0,00;
0,00;0,00;258,04;0,04;0,00;0,00;
0,00;0,00;258,20;0,04;0,00;0,00;
0,00;0,00;258,68;0,04;0,00;0,00;
0,00;0,00;260,92;0,04;0,00;0,00;
0,00;0,00;261,56;0,04;0,00;0,00;
0,00;0,00;261,88;0,04;0,00;0,00;
0,00;0,00;262,04;0,04;0,00;0,00;
0,00;0,00;263,96;0,04;0,00;0,00;
0,00;0,00;264,44;0,04;0,00;0,00;
0,00;0,00;264,76;0,04;0,00;0,00;
0,00;0,00;267,80;0,04;0,00;0,00;
0,00;0,00;267,96;0,04;0,00;0,00;
0,00;0,00;270,84;0,04;0,00;0,00;
0,00;0,00;272,44;0,04;0,00;0,00;
0,00;0,00;272,76;0,04;0,00;0,00;
0,00;0,00;273,40;0,04;0,00;0,00;
0,00;0,00;278,04;0,04;0,00;0,00;
0,00;0,00;278,52;0,04;0,00;0,00;
0,00;0,00;279,32;0,04;0,00;0,00;
0,00;0,00;280,60;0,04;0,00;0,00;
0,00;0,00;280,76;0,04;0,00;0,00;
0,00;0,00;281,24;0,04;0,00;0,00;
0,00;0,00;281,40;0,04;0,00;0,00;
0,00;0,00;281,71;2,09;0,00;0,00;
0,00;0,00;281,86;5,65;0,00;0,00;
0,00;0,00;281,99;11,05;0,00;0,00;
0,00;0,00;282,13;18,44;0,00;0,00;
0,00;0,00;282,25;19,61;0,00;0,00;
0,00;0,00;282,27;20,61;0,00;0,00;
0,00;0,00;282,28;20,88;0,00;0,00;
0,00;0,00;282,29;20,88;0,00;0,00;
0,00;0,00;282,30;21,22;0,00;0,00;
0,00;0,00;282,31;21,40;0,00;0,00;
0,00;0,00;282,31;21,40;0,00;0,00;
0,00;0,00;282,31;21,40;0,00;0,00;
0,00;0,00;282,31;21,40;0,00;0,00;
0,00;0,00;282,08;10,04;0,00;0,00;
0,00;0,00;281,34;-0,18;0,00;0,00;
0,00;0,00;280,00;-0,18;0,00;0,00;
0,00;0,00;278,16;-0,13;0,00;0,00;
0,00;0,00;275,85;-0,09;0,00;0,00;
0,00;0,00;273,52;-0,13;0,00;0,00;
0,00;0,00;271,13;-0,04;0,00;0,00;
0,00;0,00;268,71;-0,13;0,00;0,00;
0,00;0,00;266,30;-0,13;0,00;0,00;
0,00;0,00;263,90;-0,09;0,00;0,00;
0,00;0,00;261,50;-0,04;0,00;0,00;
0,00;0,00;259,10;-0,09;0,00;0,00;
0,00;0,00;256,70;-0,09;0,00;0,00;
0,00;0,00;254,30;-0,09;0,00;0,00;
0,00;0,00;251,90;-0,09;0,00;0,00;
0,00;0,00;249,50;-0,09;0,00;0,00;
0,00;0,00;247,10;-0,09;0,00;0,00;
0,00;0,00;244,70;-0,09;0,00;0,00;
