Nr;Date;ProgNr;ProgName;State;
3675;03.02.20 10:46:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;13,60;0,08;0,00;0,00;
0,00;0,00;13,65;0,30;0,00;0,00;
0,00;0,00;14,11;0,22;0,00;0,00;
0,00;0,00;14,88;0,30;0,00;0,00;
0,00;0,00;16,03;0,37;0,00;0,00;
0,00;0,00;17,57;0,37;0,00;0,00;
0,00;0,00;19,50;0,22;0,00;0,00;
0,00;0,00;21,80;0,37;0,00;0,00;
0,00;0,00;24,14;0,30;0,00;0,00;
0,00;0,00;26,53;0,22;0,00;0,00;
0,00;0,00;28,94;0,37;0,00;0,00;
0,00;0,00;31,34;0,30;0,00;0,00;
0,00;0,00;33,74;0,37;0,00;0,00;
0,00;0,00;36,15;0,22;0,00;0,00;
0,00;0,00;38,54;0,30;0,00;0,00;
0,00;0,00;40,95;0,30;0,00;0,00;
0,00;0,00;43,35;0,37;0,00;0,00;
0,00;0,00;45,75;0,30;0,00;0,00;
0,00;0,00;48,15;0,22;0,00;0,00;
0,00;0,00;50,54;0,22;0,00;0,00;
0,00;0,00;52,95;0,30;0,00;0,00;
0,00;0,00;55,35;0,22;0,00;0,00;
0,00;0,00;57,74;0,22;0,00;0,00;
0,00;0,00;60,15;0,22;0,00;0,00;
0,00;0,00;62,55;0,30;0,00;0,00;
0,00;0,00;64,95;0,22;0,00;0,00;
0,00;0,00;67,35;0,22;0,00;0,00;
0,00;0,00;69,75;0,30;0,00;0,00;
0,00;0,00;72,15;0,30;0,00;0,00;
0,00;0,00;74,54;0,30;0,00;0,00;
0,00;0,00;76,95;0,30;0,00;0,00;
0,00;0,00;79,35;0,22;0,00;0,00;
0,00;0,00;81,75;0,30;0,00;0,00;
0,00;0,00;84,15;0,16;0,00;0,00;
0,00;0,00;86,55;0,22;0,00;0,00;
0,00;0,00;88,95;0,22;0,00;0,00;
0,00;0,00;91,35;0,22;0,00;0,00;
0,00;0,00;93,74;0,22;0,00;0,00;
0,00;0,00;96,15;0,14;0,00;0,00;
0,00;0,00;98,54;0,22;0,00;0,00;
0,00;0,00;100,95;0,22;0,00;0,00;
0,00;0,00;103,35;0,22;0,00;0,00;
0,00;0,00;105,75;0,22;0,00;0,00;
0,00;0,00;108,15;0,16;0,00;0,00;
0,00;0,00;110,54;0,22;0,00;0,00;
0,00;0,00;112,95;0,16;0,00;0,00;
0,00;0,00;115,35;0,22;0,00;0,00;
0,00;0,00;117,75;0,16;0,00;0,00;
0,00;0,00;120,15;0,16;0,00;0,00;
0,00;0,00;122,55;0,22;0,00;0,00;
0,00;0,00;124,95;0,30;0,00;0,00;
0,00;0,00;127,35;0,30;0,00;0,00;
0,00;0,00;129,74;0,22;0,00;0,00;
0,00;0,00;132,15;0,22;0,00;0,00;
0,00;0,00;134,54;0,22;0,00;0,00;
0,00;0,00;136,95;0,30;0,00;0,00;
0,00;0,00;139,35;0,30;0,00;0,00;
0,00;0,00;141,75;0,22;0,00;0,00;
0,00;0,00;144,15;0,16;0,00;0,00;
0,00;0,00;146,55;0,16;0,00;0,00;
0,00;0,00;148,95;0,22;0,00;0,00;
0,00;0,00;151,35;0,22;0,00;0,00;
0,00;0,00;153,74;0,16;0,00;0,00;
0,00;0,00;156,15;0,16;0,00;0,00;
0,00;0,00;158,55;0,16;0,00;0,00;
0,00;0,00;160,95;0,22;0,00;0,00;
0,00;0,00;163,20;0,30;0,00;0,00;
0,00;0,00;165,07;0,16;0,00;0,00;
0,00;0,00;166,63;0,08;0,00;0,00;
0,00;0,00;167,80;0,14;0,00;0,00;
0,00;0,00;168,58;0,22;0,00;0,00;
0,00;0,00;168,99;0,16;0,00;0,00;
0,00;0,00;169,09;0,16;0,00;0,00;
0,00;0,00;169,12;0,22;0,00;0,00;
0,00;0,00;169,17;0,30;0,00;0,00;
0,00;0,00;169,32;0,22;0,00;0,00;
0,00;0,00;169,46;0,16;0,00;0,00;
0,00;0,00;169,63;0,22;0,00;0,00;
0,00;0,00;169,79;0,16;0,00;0,00;
0,00;0,00;169,95;0,16;0,00;0,00;
0,00;0,00;170,11;0,16;0,00;0,00;
0,00;0,00;170,27;0,22;0,00;0,00;
0,00;0,00;170,43;0,16;0,00;0,00;
0,00;0,00;170,59;0,22;0,00;0,00;
0,00;0,00;170,75;0,16;0,00;0,00;
0,00;0,00;170,91;0,22;0,00;0,00;
0,00;0,00;171,07;0,16;0,00;0,00;
0,00;0,00;171,23;0,22;0,00;0,00;
0,00;0,00;171,39;0,16;0,00;0,00;
0,00;0,00;171,55;0,16;0,00;0,00;
0,00;0,00;171,71;0,30;0,00;0,00;
0,00;0,00;171,87;0,16;0,00;0,00;
0,00;0,00;172,03;0,30;0,00;0,00;
0,00;0,00;172,19;0,16;0,00;0,00;
0,00;0,00;172,35;0,16;0,00;0,00;
0,00;0,00;172,51;0,16;0,00;0,00;
0,00;0,00;172,67;0,22;0,00;0,00;
0,00;0,00;172,83;0,22;0,00;0,00;
0,00;0,00;172,99;0,22;0,00;0,00;
0,00;0,00;173,15;0,30;0,00;0,00;
0,00;0,00;173,31;0,16;0,00;0,00;
0,00;0,00;173,47;0,22;0,00;0,00;
0,00;0,00;173,63;0,37;0,00;0,00;
0,00;0,00;173,79;0,22;0,00;0,00;
0,00;0,00;173,95;0,22;0,00;0,00;
0,00;0,00;174,11;0,30;0,00;0,00;
0,00;0,00;174,27;0,22;0,00;0,00;
0,00;0,00;174,43;0,16;0,00;0,00;
0,00;0,00;174,59;0,30;0,00;0,00;
0,00;0,00;174,75;0,30;0,00;0,00;
0,00;0,00;174,91;0,16;0,00;0,00;
0,00;0,00;175,07;0,22;0,00;0,00;
0,00;0,00;175,23;0,22;0,00;0,00;
0,00;0,00;175,39;0,22;0,00;0,00;
0,00;0,00;175,55;0,30;0,00;0,00;
0,00;0,00;175,71;0,30;0,00;0,00;
0,00;0,00;175,87;0,22;0,00;0,00;
0,00;0,00;176,03;0,30;0,00;0,00;
0,00;0,00;176,10;0,22;0,00;0,00;
0,00;0,00;176,10;0,16;0,00;0,00;
0,00;0,00;175,96;-0,23;0,00;0,00;
0,00;0,00;175,43;-0,16;0,00;0,00;
0,00;0,00;174,57;-0,23;0,00;0,00;
0,00;0,00;173,32;-0,23;0,00;0,00;
0,00;0,00;171,68;-0,16;0,00;0,00;
0,00;0,00;169,66;-0,31;0,00;0,00;
0,00;0,00;167,31;-0,23;0,00;0,00;
0,00;0,00;165,29;-0,16;0,00;0,00;
0,00;0,00;163,53;-0,08;0,00;0,00;
0,00;0,00;162,12;-0,16;0,00;0,00;
0,00;0,00;160,19;0,08;0,00;0,00;
0,00;0,00;160,25;0,22;0,00;0,00;
0,00;0,00;160,41;0,22;0,00;0,00;
0,00;0,00;160,56;0,16;0,00;0,00;
0,00;0,00;160,72;0,16;0,00;0,00;
0,00;0,00;160,89;0,22;0,00;0,00;
0,00;0,00;161,05;0,16;0,00;0,00;
0,00;0,00;161,21;0,16;0,00;0,00;
0,00;0,00;161,37;0,22;0,00;0,00;
0,00;0,00;161,53;0,16;0,00;0,00;
0,00;0,00;161,69;0,22;0,00;0,00;
0,00;0,00;161,85;0,30;0,00;0,00;
0,00;0,00;162,01;0,22;0,00;0,00;
0,00;0,00;162,17;0,16;0,00;0,00;
0,00;0,00;162,33;0,16;0,00;0,00;
0,00;0,00;162,49;0,16;0,00;0,00;
0,00;0,00;162,65;0,22;0,00;0,00;
0,00;0,00;162,81;0,22;0,00;0,00;
0,00;0,00;162,97;0,22;0,00;0,00;
0,00;0,00;163,13;0,16;0,00;0,00;
