3677;03.02.20 14:27:45;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;13,65;0,14;0,00;0,00;
0,00;0,00;14,10;0,14;0,00;0,00;
0,00;0,00;14,88;0,14;0,00;0,00;
0,00;0,00;16,03;0,30;0,00;0,00;
0,00;0,00;17,57;0,22;0,00;0,00;
0,00;0,00;19,50;0,14;0,00;0,00;
0,00;0,00;21,80;0,22;0,00;0,00;
0,00;0,00;24,14;0,14;0,00;0,00;
0,00;0,00;26,53;0,14;0,00;0,00;
0,00;0,00;28,94;0,06;0,00;0,00;
0,00;0,00;31,35;0,14;0,00;0,00;
0,00;0,00;33,74;0,14;0,00;0,00;
0,00;0,00;36,15;0,06;0,00;0,00;
0,00;0,00;38,54;0,06;0,00;0,00;
0,00;0,00;40,95;0,06;0,00;0,00;
0,00;0,00;43,35;0,14;0,00;0,00;
0,00;0,00;45,75;0,14;0,00;0,00;
0,00;0,00;48,15;0,06;0,00;0,00;
0,00;0,00;50,55;0,06;0,00;0,00;
0,00;0,00;52,95;0,06;0,00;0,00;
0,00;0,00;55,35;0,06;0,00;0,00;
0,00;0,00;57,74;0,06;0,00;0,00;
0,00;0,00;60,15;0,06;0,00;0,00;
0,00;0,00;62,55;0,06;0,00;0,00;
0,00;0,00;64,95;0,06;0,00;0,00;
0,00;0,00;67,35;0,14;0,00;0,00;
0,00;0,00;69,75;0,06;0,00;0,00;
0,00;0,00;74,54;-0,08;0,00;0,00;
0,00;0,00;79,35;0,14;0,00;0,00;
0,00;0,00;81,75;0,06;0,00;0,00;
0,00;0,00;84,15;-0,08;0,00;0,00;
0,00;0,00;88,95;0,14;0,00;0,00;
0,00;0,00;91,35;0,06;0,00;0,00;
0,00;0,00;93,74;0,14;0,00;0,00;
0,00;0,00;96,15;0,06;0,00;0,00;
0,00;0,00;98,55;0,06;0,00;0,00;
0,00;0,00;100,95;0,14;0,00;0,00;
0,00;0,00;103,35;0,06;0,00;0,00;
0,00;0,00;105,75;0,06;0,00;0,00;
0,00;0,00;108,15;0,06;0,00;0,00;
0,00;0,00;110,54;-0,08;0,00;0,00;
0,00;0,00;112,95;0,06;0,00;0,00;
0,00;0,00;115,35;0,06;0,00;0,00;
0,00;0,00;117,75;-0,02;0,00;0,00;
0,00;0,00;120,15;0,06;0,00;0,00;
0,00;0,00;122,55;-0,08;0,00;0,00;
0,00;0,00;124,95;0,06;0,00;0,00;
0,00;0,00;127,35;0,06;0,00;0,00;
0,00;0,00;129,74;-0,02;0,00;0,00;
0,00;0,00;132,15;0,06;0,00;0,00;
0,00;0,00;134,54;-0,08;0,00;0,00;
0,00;0,00;141,75;-0,02;0,00;0,00;
0,00;0,00;148,95;0,06;0,00;0,00;
0,00;0,00;151,35;0,06;0,00;0,00;
0,00;0,00;156,15;0,06;0,00;0,00;
0,00;0,00;160,95;0,06;0,00;0,00;
0,00;0,00;163,20;-0,02;0,00;0,00;
0,00;0,00;167,80;-0,02;0,00;0,00;
0,00;0,00;168,99;-0,08;0,00;0,00;
0,00;0,00;169,17;-0,08;0,00;0,00;
0,00;0,00;169,32;-0,08;0,00;0,00;
0,00;0,00;169,46;0,06;0,00;0,00;
0,00;0,00;170,43;-0,08;0,00;0,00;
0,00;0,00;170,75;0,06;0,00;0,00;
0,00;0,00;171,39;0,06;0,00;0,00;
0,00;0,00;171,55;0,06;0,00;0,00;
0,00;0,00;171,87;0,06;0,00;0,00;
0,00;0,00;172,19;0,06;0,00;0,00;
0,00;0,00;172,35;0,06;0,00;0,00;
0,00;0,00;172,99;0,06;0,00;0,00;
0,00;0,00;173,47;0,06;0,00;0,00;
0,00;0,00;173,63;0,14;0,00;0,00;
0,00;0,00;173,79;0,06;0,00;0,00;
0,00;0,00;174,11;0,06;0,00;0,00;
0,00;0,00;174,27;0,06;0,00;0,00;
0,00;0,00;174,43;0,06;0,00;0,00;
0,00;0,00;174,59;0,06;0,00;0,00;
0,00;0,00;174,75;0,14;0,00;0,00;
0,00;0,00;174,91;0,06;0,00;0,00;
0,00;0,00;175,23;0,06;0,00;0,00;
0,00;0,00;175,55;0,14;0,00;0,00;
0,00;0,00;175,71;0,06;0,00;0,00;
0,00;0,00;175,87;0,06;0,00;0,00;
0,00;0,00;176,03;0,06;0,00;0,00;
0,00;0,00;175,96;-0,47;0,00;0,00;
0,00;0,00;175,43;-0,31;0,00;0,00;
0,00;0,00;174,57;-0,39;0,00;0,00;
0,00;0,00;173,32;-0,47;0,00;0,00;
0,00;0,00;171,68;-0,47;0,00;0,00;
0,00;0,00;169,66;-0,55;0,00;0,00;
0,00;0,00;167,31;-0,47;0,00;0,00;
0,00;0,00;165,29;-0,23;0,00;0,00;
0,00;0,00;163,53;-0,31;0,00;0,00;
0,00;0,00;162,12;-0,23;0,00;0,00;
0,00;0,00;161,11;-0,16;0,00;0,00;
0,00;0,00;160,49;-0,16;0,00;0,00;
0,00;0,00;160,25;-0,31;0,00;0,00;
0,00;0,00;160,19;-0,23;0,00;0,00;
0,00;0,00;160,19;-0,16;0,00;0,00;
0,00;0,00;160,56;0,06;0,00;0,00;
0,00;0,00;161,21;0,06;0,00;0,00;
0,00;0,00;161,37;0,06;0,00;0,00;
0,00;0,00;161,53;0,06;0,00;0,00;
0,00;0,00;161,69;0,14;0,00;0,00;
0,00;0,00;161,85;0,06;0,00;0,00;
0,00;0,00;162,17;0,06;0,00;0,00;
0,00;0,00;162,33;0,06;0,00;0,00;
0,00;0,00;162,65;0,14;0,00;0,00;
0,00;0,00;163,77;0,14;0,00;0,00;
0,00;0,00;163,93;0,14;0,00;0,00;
0,00;0,00;164,09;0,14;0,00;0,00;
0,00;0,00;164,25;0,06;0,00;0,00;
0,00;0,00;164,57;0,06;0,00;0,00;
0,00;0,00;165,69;0,06;0,00;0,00;
0,00;0,00;166,17;0,06;0,00;0,00;
0,00;0,00;166,49;0,06;0,00;0,00;
0,00;0,00;166,65;0,06;0,00;0,00;
0,00;0,00;166,81;0,06;0,00;0,00;
0,00;0,00;167,13;0,06;0,00;0,00;
0,00;0,00;167,45;0,14;0,00;0,00;
0,00;0,00;167,93;0,06;0,00;0,00;
0,00;0,00;168,57;0,06;0,00;0,00;
0,00;0,00;168,73;0,14;0,00;0,00;
0,00;0,00;168,89;0,22;0,00;0,00;
0,00;0,00;169,21;0,06;0,00;0,00;
0,00;0,00;169,37;0,06;0,00;0,00;
0,00;0,00;169,53;0,06;0,00;0,00;
0,00;0,00;169,85;0,14;0,00;0,00;
0,00;0,00;170,01;0,14;0,00;0,00;
0,00;0,00;170,33;0,06;0,00;0,00;
0,00;0,00;170,65;0,06;0,00;0,00;
0,00;0,00;170,97;0,06;0,00;0,00;
0,00;0,00;171,13;0,22;0,00;0,00;
0,00;0,00;171,61;0,06;0,00;0,00;
0,00;0,00;171,77;0,14;0,00;0,00;
0,00;0,00;171,93;0,14;0,00;0,00;
0,00;0,00;172,25;0,06;0,00;0,00;
0,00;0,00;172,41;0,06;0,00;0,00;
0,00;0,00;173,21;0,06;0,00;0,00;
0,00;0,00;173,37;0,06;0,00;0,00;
0,00;0,00;173,69;0,06;0,00;0,00;
0,00;0,00;174,01;0,06;0,00;0,00;
0,00;0,00;174,17;0,14;0,00;0,00;
0,00;0,00;174,33;0,06;0,00;0,00;
0,00;0,00;174,49;0,14;0,00;0,00;
0,00;0,00;174,65;0,22;0,00;0,00;
0,00;0,00;174,81;-0,08;0,00;0,00;
0,00;0,00;174,97;0,06;0,00;0,00;
0,00;0,00;175,29;0,06;0,00;0,00;
0,00;0,00;175,45;0,14;0,00;0,00;
0,00;0,00;175,61;0,06;0,00;0,00;
0,00;0,00;175,77;0,06;0,00;0,00;
0,00;0,00;175,93;0,06;0,00;0,00;
0,00;0,00;176,09;0,06;0,00;0,00;
0,00;0,00;176,25;0,14;0,00;0,00;
0,00;0,00;176,41;0,14;0,00;0,00;
0,00;0,00;176,57;0,06;0,00;0,00;
0,00;0,00;176,73;0,14;0,00;0,00;
0,00;0,00;177,05;0,06;0,00;0,00;
0,00;0,00;177,21;0,14;0,00;0,00;
0,00;0,00;177,37;0,06;0,00;0,00;
0,00;0,00;177,53;0,06;0,00;0,00;
0,00;0,00;177,85;0,14;0,00;0,00;
0,00;0,00;178,01;0,06;0,00;0,00;
0,00;0,00;178,17;0,06;0,00;0,00;
0,00;0,00;178,33;0,14;0,00;0,00;
0,00;0,00;178,65;0,14;0,00;0,00;
0,00;0,00;178,81;0,06;0,00;0,00;
0,00;0,00;178,97;0,06;0,00;0,00;
0,00;0,00;179,13;0,06;0,00;0,00;
0,00;0,00;179,45;0,14;0,00;0,00;
0,00;0,00;179,61;0,22;0,00;0,00;
0,00;0,00;179,77;0,06;0,00;0,00;
0,00;0,00;179,93;0,06;0,00;0,00;
0,00;0,00;180,09;0,06;0,00;0,00;
0,00;0,00;180,41;0,14;0,00;0,00;
0,00;0,00;180,89;0,06;0,00;0,00;
0,00;0,00;181,05;0,06;0,00;0,00;
0,00;0,00;181,21;0,06;0,00;0,00;
0,00;0,00;181,69;0,14;0,00;0,00;
0,00;0,00;181,85;0,14;0,00;0,00;
0,00;0,00;182,65;0,06;0,00;0,00;
0,00;0,00;182,97;0,14;0,00;0,00;
0,00;0,00;183,13;0,14;0,00;0,00;
0,00;0,00;183,45;0,06;0,00;0,00;
0,00;0,00;183,61;0,06;0,00;0,00;
0,00;0,00;184,09;0,06;0,00;0,00;
0,00;0,00;184,25;0,06;0,00;0,00;
0,00;0,00;184,57;0,06;0,00;0,00;
0,00;0,00;185,21;0,06;0,00;0,00;
0,00;0,00;185,37;0,06;0,00;0,00;
0,00;0,00;185,69;0,06;0,00;0,00;
0,00;0,00;185,85;0,14;0,00;0,00;
0,00;0,00;186,01;0,06;0,00;0,00;
0,00;0,00;186,17;0,14;0,00;0,00;
0,00;0,00;186,33;0,06;0,00;0,00;
0,00;0,00;186,65;0,06;0,00;0,00;
0,00;0,00;186,81;0,06;0,00;0,00;
0,00;0,00;187,13;0,14;0,00;0,00;
0,00;0,00;187,29;0,06;0,00;0,00;
0,00;0,00;187,45;0,14;0,00;0,00;
0,00;0,00;187,61;0,22;0,00;0,00;
0,00;0,00;187,93;0,14;0,00;0,00;
0,00;0,00;188,25;0,14;0,00;0,00;
0,00;0,00;188,41;0,06;0,00;0,00;
0,00;0,00;188,73;0,06;0,00;0,00;
0,00;0,00;188,89;0,06;0,00;0,00;
0,00;0,00;189,53;0,14;0,00;0,00;
0,00;0,00;189,85;0,06;0,00;0,00;
0,00;0,00;190,01;0,14;0,00;0,00;
0,00;0,00;190,17;0,06;0,00;0,00;
0,00;0,00;190,33;0,06;0,00;0,00;
0,00;0,00;190,49;0,14;0,00;0,00;
0,00;0,00;190,81;0,06;0,00;0,00;
0,00;0,00;190,97;0,06;0,00;0,00;
0,00;0,00;191,13;0,06;0,00;0,00;
0,00;0,00;191,29;0,06;0,00;0,00;
0,00;0,00;191,45;0,06;0,00;0,00;
0,00;0,00;191,61;0,06;0,00;0,00;
0,00;0,00;191,77;0,06;0,00;0,00;
0,00;0,00;192,09;0,06;0,00;0,00;
0,00;0,00;192,25;0,14;0,00;0,00;
0,00;0,00;192,41;0,14;0,00;0,00;
0,00;0,00;192,57;0,14;0,00;0,00;
0,00;0,00;192,73;0,06;0,00;0,00;
0,00;0,00;192,89;0,06;0,00;0,00;
0,00;0,00;193,05;0,06;0,00;0,00;
0,00;0,00;193,21;0,06;0,00;0,00;
