3085;05.02.20 10:13:46;10;Repair_strategy;analog input source > +-20 mA (or >10 V) (231);20200203163705;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;59,66;0,25;0,00;0,00;
0,00;0,00;60,44;0,23;0,00;0,00;
0,00;0,00;61,71;0,20;0,00;0,00;
0,00;0,00;63,50;0,20;0,00;0,00;
0,00;0,00;65,81;0,23;0,00;0,00;
0,00;0,00;68,62;0,20;0,00;0,00;
0,00;0,00;71,77;0,13;0,00;0,00;
0,00;0,00;74,90;0,18;0,00;0,00;
0,00;0,00;78,15;0,20;0,00;0,00;
0,00;0,00;81,34;0,16;0,00;0,00;
0,00;0,00;84,54;0,18;0,00;0,00;
0,00;0,00;87,74;0,18;0,00;0,00;
0,00;0,00;90,95;0,12;0,00;0,00;
0,00;0,00;94,15;0,16;0,00;0,00;
0,00;0,00;97,35;0,14;0,00;0,00;
0,00;0,00;100,55;0,16;0,00;0,00;
0,00;0,00;103,75;0,16;0,00;0,00;
0,00;0,00;106,95;0,14;0,00;0,00;
0,00;0,00;110,15;0,16;0,00;0,00;
0,00;0,00;113,35;0,18;0,00;0,00;
0,00;0,00;116,55;0,16;0,00;0,00;
0,00;0,00;119,75;0,18;0,00;0,00;
0,00;0,00;122,95;0,14;0,00;0,00;
0,00;0,00;126,15;0,16;0,00;0,00;
0,00;0,00;129,35;0,14;0,00;0,00;
0,00;0,00;132,55;0,12;0,00;0,00;
0,00;0,00;135,75;0,16;0,00;0,00;
0,00;0,00;138,95;0,14;0,00;0,00;
0,00;0,00;142,15;0,16;0,00;0,00;
0,00;0,00;145,35;0,14;0,00;0,00;
0,00;0,00;148,55;0,14;0,00;0,00;
0,00;0,00;151,75;0,16;0,00;0,00;
0,00;0,00;154,95;0,12;0,00;0,00;
0,00;0,00;158,15;0,18;0,00;0,00;
0,00;0,00;161,35;0,13;0,00;0,00;
0,00;0,00;164,55;0,16;0,00;0,00;
0,00;0,00;167,75;0,18;0,00;0,00;
0,00;0,00;170,95;0,16;0,00;0,00;
0,00;0,00;174,15;0,18;0,00;0,00;
0,00;0,00;177,35;1,54;0,00;0,00;
0,00;0,00;180,36;58,74;0,00;0,00;
