7794;06.02.20 11:00:19;10;Repair_strategy;force > max. force (8);20200206103812;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;70,25;0,06;0,00;0,00;
0,00;0,00;71,04;0,04;0,00;0,00;
0,00;0,00;72,33;0,04;0,00;0,00;
0,00;0,00;74,14;0,04;0,00;0,00;
0,00;0,00;76,47;0,04;0,00;0,00;
0,00;0,00;79,29;0,04;0,00;0,00;
0,00;0,00;82,63;0,04;0,00;0,00;
0,00;0,00;86,12;0,03;0,00;0,00;
0,00;0,00;89,65;0,02;0,00;0,00;
0,00;0,00;93,17;0,03;0,00;0,00;
0,00;0,00;96,69;0,04;0,00;0,00;
0,00;0,00;100,21;0,03;0,00;0,00;
0,00;0,00;103,72;0,03;0,00;0,00;
0,00;0,00;107,25;0,01;0,00;0,00;
0,00;0,00;110,77;0,01;0,00;0,00;
0,00;0,00;114,12;0,01;0,00;0,00;
0,00;0,00;117,01;0,01;0,00;0,00;
0,00;0,00;121,29;-0,01;0,00;0,00;
0,00;0,00;122,68;-0,01;0,00;0,00;
0,00;0,00;123,58;-0,01;0,00;0,00;
0,00;0,00;123,98;-0,01;0,00;0,00;
0,00;0,00;124,02;-0,01;0,00;0,00;
0,00;0,00;124,09;0,01;0,00;0,00;
0,00;0,00;124,44;0,01;0,00;0,00;
0,00;0,00;125,56;0,01;0,00;0,00;
0,00;0,00;126,01;0,01;0,00;0,00;
0,00;0,00;126,23;0,15;0,00;0,00;
0,00;0,00;126,34;0,23;0,00;0,00;
0,00;0,00;126,45;0,29;0,00;0,00;
0,00;0,00;126,56;0,34;0,00;0,00;
0,00;0,00;126,68;0,40;0,00;0,00;
0,00;0,00;126,79;0,44;0,00;0,00;
0,00;0,00;126,90;0,47;0,00;0,00;
0,00;0,00;127,01;0,52;0,00;0,00;
0,00;0,00;127,12;0,54;0,00;0,00;
0,00;0,00;127,24;0,57;0,00;0,00;
0,00;0,00;127,35;0,58;0,00;0,00;
0,00;0,00;127,46;0,61;0,00;0,00;
0,00;0,00;127,57;0,62;0,00;0,00;
0,00;0,00;127,68;0,66;0,00;0,00;
0,00;0,00;127,80;0,67;0,00;0,00;
0,00;0,00;127,91;0,70;0,00;0,00;
0,00;0,00;128,02;0,70;0,00;0,00;
0,00;0,00;128,13;0,73;0,00;0,00;
0,00;0,00;128,24;0,76;0,00;0,00;
0,00;0,00;128,36;0,79;0,00;0,00;
0,00;0,00;128,47;0,80;0,00;0,00;
0,00;0,00;128,58;0,82;0,00;0,00;
0,00;0,00;128,69;0,85;0,00;0,00;
0,00;0,00;128,81;0,88;0,00;0,00;
0,00;0,00;128,92;0,93;0,00;0,00;
0,00;0,00;129,02;2,08;0,00;0,00;
0,00;0,00;129,11;4,20;0,00;0,00;
0,00;0,00;129,20;6,68;0,00;0,00;
0,00;0,00;129,30;9,26;0,00;0,00;
0,00;0,00;129,39;11,44;0,00;0,00;
0,00;0,00;129,42;11,89;0,00;0,00;
0,00;0,00;129,43;12,04;0,00;0,00;
0,00;0,00;129,43;12,18;0,00;0,00;
0,00;0,00;129,44;12,26;0,00;0,00;
0,00;0,00;129,45;12,29;0,00;0,00;
0,00;0,00;129,45;12,26;0,00;0,00;
0,00;0,00;129,46;12,24;0,00;0,00;
0,00;0,00;129,46;12,24;0,00;0,00;
0,00;0,00;129,46;12,22;0,00;0,00;
0,00;0,00;129,46;12,21;0,00;0,00;
0,00;0,00;129,46;12,17;0,00;0,00;
0,00;0,00;129,46;12,11;0,00;0,00;
0,00;0,00;129,46;12,06;0,00;0,00;
