7985;27.02.20 15:00:23;10;Repair_strategy;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;35,75;0,09;0,00;0,00;
0,00;0,00;36,54;0,06;0,00;0,00;
0,00;0,00;37,84;0,05;0,00;0,00;
0,00;0,00;39,64;0,06;0,00;0,00;
0,00;0,00;41,96;0,06;0,00;0,00;
0,00;0,00;44,80;0,06;0,00;0,00;
0,00;0,00;48,13;0,05;0,00;0,00;
0,00;0,00;51,62;0,06;0,00;0,00;
0,00;0,00;55,16;0,04;0,00;0,00;
0,00;0,00;58,66;0,05;0,00;0,00;
0,00;0,00;62,19;0,06;0,00;0,00;
0,00;0,00;65,71;0,04;0,00;0,00;
0,00;0,00;69,23;0,04;0,00;0,00;
0,00;0,00;72,75;0,04;0,00;0,00;
0,00;0,00;76,27;0,04;0,00;0,00;
0,00;0,00;79,78;0,06;0,00;0,00;
0,00;0,00;83,31;0,04;0,00;0,00;
0,00;0,00;86,83;0,03;0,00;0,00;
0,00;0,00;90,35;0,04;0,00;0,00;
0,00;0,00;93,87;0,04;0,00;0,00;
0,00;0,00;97,39;0,05;0,00;0,00;
0,00;0,00;100,90;0,04;0,00;0,00;
0,00;0,00;104,43;0,04;0,00;0,00;
0,00;0,00;107,95;0,05;0,00;0,00;
0,00;0,00;111,47;0,05;0,00;0,00;
0,00;0,00;114,76;0,03;0,00;0,00;
0,00;0,00;117,58;0,02;0,00;0,00;
0,00;0,00;119,87;0,01;0,00;0,00;
0,00;0,00;121,67;0,01;0,00;0,00;
0,00;0,00;122,95;0,01;0,00;0,00;
0,00;0,00;123,73;0,02;0,00;0,00;
0,00;0,00;124,00;0,04;0,00;0,00;
0,00;0,00;124,02;0,05;0,00;0,00;
0,00;0,00;124,02;0,07;0,00;0,00;
0,00;0,00;124,10;0,07;0,00;0,00;
0,00;0,00;124,21;0,08;0,00;0,00;
0,00;0,00;124,30;0,08;0,00;0,00;
0,00;0,00;124,40;0,09;0,00;0,00;
0,00;0,00;124,50;0,09;0,00;0,00;
0,00;0,00;124,59;0,10;0,00;0,00;
0,00;0,00;124,69;0,11;0,00;0,00;
0,00;0,00;124,78;0,12;0,00;0,00;
0,00;0,00;124,88;0,12;0,00;0,00;
0,00;0,00;124,97;0,13;0,00;0,00;
0,00;0,00;125,07;0,15;0,00;0,00;
0,00;0,00;125,17;0,15;0,00;0,00;
0,00;0,00;125,26;0,15;0,00;0,00;
0,00;0,00;125,36;0,16;0,00;0,00;
0,00;0,00;125,46;0,17;0,00;0,00;
0,00;0,00;125,55;0,23;0,00;0,00;
0,00;0,00;125,65;0,38;0,00;0,00;
0,00;0,00;125,74;0,46;0,00;0,00;
0,00;0,00;125,84;0,51;0,00;0,00;
0,00;0,00;125,93;0,57;0,00;0,00;
0,00;0,00;126,03;0,63;0,00;0,00;
0,00;0,00;126,13;0,66;0,00;0,00;
0,00;0,00;126,22;0,69;0,00;0,00;
0,00;0,00;126,32;0,71;0,00;0,00;
0,00;0,00;126,42;0,74;0,00;0,00;
0,00;0,00;126,51;0,77;0,00;0,00;
0,00;0,00;126,61;0,80;0,00;0,00;
0,00;0,00;126,70;0,82;0,00;0,00;
0,00;0,00;126,80;0,87;0,00;0,00;
0,00;0,00;126,89;0,88;0,00;0,00;
0,00;0,00;126,99;0,93;0,00;0,00;
0,00;0,00;127,09;0,94;0,00;0,00;
0,00;0,00;127,18;0,94;0,00;0,00;
0,00;0,00;127,28;0,99;0,00;0,00;
0,00;0,00;127,38;1,02;0,00;0,00;
0,00;0,00;127,47;1,01;0,00;0,00;
0,00;0,00;127,57;1,00;0,00;0,00;
0,00;0,00;127,66;1,06;0,00;0,00;
0,00;0,00;127,76;1,07;0,00;0,00;
0,00;0,00;127,85;1,08;0,00;0,00;
0,00;0,00;127,95;1,12;0,00;0,00;
0,00;0,00;128,05;1,12;0,00;0,00;
0,00;0,00;128,14;1,13;0,00;0,00;
0,00;0,00;128,24;1,16;0,00;0,00;
0,00;0,00;128,34;1,18;0,00;0,00;
0,00;0,00;128,43;1,17;0,00;0,00;
0,00;0,00;128,53;1,22;0,00;0,00;
0,00;0,00;128,62;1,23;0,00;0,00;
0,00;0,00;128,72;1,21;0,00;0,00;
0,00;0,00;128,82;1,23;0,00;0,00;
0,00;0,00;128,91;1,24;0,00;0,00;
0,00;0,00;129,01;1,23;0,00;0,00;
0,00;0,00;129,10;1,26;0,00;0,00;
0,00;0,00;129,20;1,28;0,00;0,00;
0,00;0,00;129,29;1,25;0,00;0,00;
0,00;0,00;129,39;1,26;0,00;0,00;
0,00;0,00;129,49;1,29;0,00;0,00;
0,00;0,00;129,58;1,27;0,00;0,00;
0,00;0,00;129,68;1,27;0,00;0,00;
0,00;0,00;129,77;1,32;0,00;0,00;
0,00;0,00;129,87;1,31;0,00;0,00;
0,00;0,00;129,97;1,30;0,00;0,00;
0,00;0,00;130,06;1,34;0,00;0,00;
0,00;0,00;130,16;1,34;0,00;0,00;
0,00;0,00;130,25;1,31;0,00;0,00;
0,00;0,00;130,35;1,34;0,00;0,00;
0,00;0,00;130,45;1,34;0,00;0,00;
0,00;0,00;130,54;1,33;0,00;0,00;
0,00;0,00;130,64;1,35;0,00;0,00;
0,00;0,00;130,74;1,38;0,00;0,00;
0,00;0,00;130,83;1,36;0,00;0,00;
0,00;0,00;130,93;1,38;0,00;0,00;
0,00;0,00;131,02;1,40;0,00;0,00;
0,00;0,00;131,12;1,40;0,00;0,00;
0,00;0,00;131,22;1,39;0,00;0,00;
0,00;0,00;131,31;1,43;0,00;0,00;
0,00;0,00;131,41;1,42;0,00;0,00;
0,00;0,00;131,50;1,42;0,00;0,00;
0,00;0,00;131,60;1,47;0,00;0,00;
0,00;0,00;131,70;1,46;0,00;0,00;
0,00;0,00;131,79;1,47;0,00;0,00;
0,00;0,00;131,89;1,49;0,00;0,00;
0,00;0,00;131,98;1,49;0,00;0,00;
0,00;0,00;132,08;1,49;0,00;0,00;
0,00;0,00;132,18;1,53;0,00;0,00;
0,00;0,00;132,27;1,51;0,00;0,00;
0,00;0,00;132,37;1,52;0,00;0,00;
0,00;0,00;132,46;1,52;0,00;0,00;
0,00;0,00;132,56;1,55;0,00;0,00;
0,00;0,00;132,66;1,55;0,00;0,00;
0,00;0,00;132,75;1,59;0,00;0,00;
0,00;0,00;132,85;1,60;0,00;0,00;
0,00;0,00;132,94;1,61;0,00;0,00;
0,00;0,00;133,04;1,63;0,00;0,00;
0,00;0,00;133,14;1,66;0,00;0,00;
0,00;0,00;133,23;1,67;0,00;0,00;
0,00;0,00;133,33;1,69;0,00;0,00;
0,00;0,00;133,42;1,74;0,00;0,00;
0,00;0,00;133,52;1,75;0,00;0,00;
0,00;0,00;133,62;1,76;0,00;0,00;
0,00;0,00;133,71;1,78;0,00;0,00;
0,00;0,00;133,81;1,79;0,00;0,00;
0,00;0,00;133,90;1,80;0,00;0,00;
0,00;0,00;134,00;1,82;0,00;0,00;
0,00;0,00;134,10;1,85;0,00;0,00;
0,00;0,00;134,19;1,87;0,00;0,00;
0,00;0,00;134,29;1,89;0,00;0,00;
0,00;0,00;134,38;1,90;0,00;0,00;
0,00;0,00;134,48;1,90;0,00;0,00;
0,00;0,00;134,58;1,93;0,00;0,00;
0,00;0,00;134,67;1,93;0,00;0,00;
0,00;0,00;134,77;1,96;0,00;0,00;
0,00;0,00;134,86;1,96;0,00;0,00;
0,00;0,00;134,96;1,98;0,00;0,00;
0,00;0,00;135,06;1,99;0,00;0,00;
0,00;0,00;135,15;2,01;0,00;0,00;
0,00;0,00;135,25;2,03;0,00;0,00;
0,00;0,00;135,34;2,04;0,00;0,00;
0,00;0,00;135,44;2,06;0,00;0,00;
0,00;0,00;135,54;2,07;0,00;0,00;
0,00;0,00;135,63;2,09;0,00;0,00;
0,00;0,00;135,73;2,08;0,00;0,00;
0,00;0,00;135,82;2,10;0,00;0,00;
0,00;0,00;135,92;2,13;0,00;0,00;
0,00;0,00;136,02;2,12;0,00;0,00;
0,00;0,00;136,11;2,12;0,00;0,00;
0,00;0,00;136,21;2,14;0,00;0,00;
0,00;0,00;136,30;2,15;0,00;0,00;
0,00;0,00;136,40;2,14;0,00;0,00;
0,00;0,00;136,49;2,18;0,00;0,00;
0,00;0,00;136,59;2,18;0,00;0,00;
0,00;0,00;136,69;2,18;0,00;0,00;
0,00;0,00;136,78;2,18;0,00;0,00;
0,00;0,00;136,88;2,19;0,00;0,00;
0,00;0,00;136,97;2,21;0,00;0,00;
0,00;0,00;137,07;2,19;0,00;0,00;
0,00;0,00;137,17;2,21;0,00;0,00;
0,00;0,00;137,26;2,20;0,00;0,00;
0,00;0,00;137,36;2,18;0,00;0,00;
0,00;0,00;137,46;2,19;0,00;0,00;
0,00;0,00;137,55;2,20;0,00;0,00;
