Nr;Date;ProgNr;ProgName;State;
7991;27.02.20 15:11:17;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;0,02;0,00;0,00;
0,00;0,00;0,25;0,10;0,00;0,00;
0,00;0,00;1,04;0,07;0,00;0,00;
0,00;0,00;2,34;0,07;0,00;0,00;
0,00;0,00;4,15;0,08;0,00;0,00;
0,00;0,00;6,46;0,07;0,00;0,00;
0,00;0,00;9,30;0,09;0,00;0,00;
0,00;0,00;12,63;0,09;0,00;0,00;
0,00;0,00;16,12;0,07;0,00;0,00;
0,00;0,00;19,65;0,07;0,00;0,00;
0,00;0,00;23,17;0,07;0,00;0,00;
0,00;0,00;26,69;0,08;0,00;0,00;
0,00;0,00;30,21;0,07;0,00;0,00;
0,00;0,00;33,73;0,08;0,00;0,00;
0,00;0,00;37,25;0,06;0,00;0,00;
0,00;0,00;40,77;0,07;0,00;0,00;
0,00;0,00;44,29;0,07;0,00;0,00;
0,00;0,00;47,81;0,06;0,00;0,00;
0,00;0,00;51,33;0,07;0,00;0,00;
0,00;0,00;54,85;0,05;0,00;0,00;
0,00;0,00;58,36;0,06;0,00;0,00;
0,00;0,00;61,89;0,07;0,00;0,00;
0,00;0,00;65,41;0,08;0,00;0,00;
0,00;0,00;68,93;0,07;0,00;0,00;
0,00;0,00;72,45;0,06;0,00;0,00;
0,00;0,00;75,97;0,07;0,00;0,00;
0,00;0,00;79,49;0,06;0,00;0,00;
0,00;0,00;83,01;0,07;0,00;0,00;
0,00;0,00;86,53;0,07;0,00;0,00;
0,00;0,00;90,05;0,06;0,00;0,00;
0,00;0,00;93,57;0,06;0,00;0,00;
0,00;0,00;97,09;0,08;0,00;0,00;
0,00;0,00;100,61;0,07;0,00;0,00;
0,00;0,00;104,13;0,07;0,00;0,00;
0,00;0,00;107,65;0,05;0,00;0,00;
0,00;0,00;111,17;0,06;0,00;0,00;
0,00;0,00;114,46;0,05;0,00;0,00;
0,00;0,00;117,29;0,04;0,00;0,00;
0,00;0,00;119,62;0,03;0,00;0,00;
0,00;0,00;121,46;0,04;0,00;0,00;
0,00;0,00;122,80;0,02;0,00;0,00;
0,00;0,00;123,64;0,03;0,00;0,00;
0,00;0,00;123,99;0,03;0,00;0,00;
0,00;0,00;124,02;0,04;0,00;0,00;
0,00;0,00;124,01;0,04;0,00;0,00;
0,00;0,00;124,06;0,05;0,00;0,00;
0,00;0,00;124,17;0,06;0,00;0,00;
0,00;0,00;124,26;0,06;0,00;0,00;
0,00;0,00;124,36;0,06;0,00;0,00;
0,00;0,00;124,46;0,07;0,00;0,00;
0,00;0,00;124,55;0,08;0,00;0,00;
0,00;0,00;124,65;0,09;0,00;0,00;
0,00;0,00;124,75;0,09;0,00;0,00;
0,00;0,00;124,84;0,09;0,00;0,00;
0,00;0,00;124,94;0,09;0,00;0,00;
0,00;0,00;125,03;0,09;0,00;0,00;
0,00;0,00;125,13;0,10;0,00;0,00;
0,00;0,00;125,23;0,12;0,00;0,00;
0,00;0,00;125,32;0,12;0,00;0,00;
0,00;0,00;125,42;0,12;0,00;0,00;
0,00;0,00;125,52;0,14;0,00;0,00;
0,00;0,00;125,61;0,15;0,00;0,00;
0,00;0,00;125,71;0,20;0,00;0,00;
0,00;0,00;125,80;0,31;0,00;0,00;
0,00;0,00;125,90;0,42;0,00;0,00;
0,00;0,00;125,99;0,50;0,00;0,00;
0,00;0,00;126,09;0,55;0,00;0,00;
0,00;0,00;126,19;0,59;0,00;0,00;
0,00;0,00;126,28;0,61;0,00;0,00;
0,00;0,00;126,38;0,65;0,00;0,00;
0,00;0,00;126,47;0,68;0,00;0,00;
0,00;0,00;126,57;0,71;0,00;0,00;
0,00;0,00;126,67;0,72;0,00;0,00;
0,00;0,00;126,76;0,77;0,00;0,00;
0,00;0,00;126,86;0,77;0,00;0,00;
0,00;0,00;126,96;0,80;0,00;0,00;
0,00;0,00;127,05;0,82;0,00;0,00;
0,00;0,00;127,15;0,83;0,00;0,00;
0,00;0,00;127,24;0,86;0,00;0,00;
0,00;0,00;127,34;0,87;0,00;0,00;
0,00;0,00;127,43;0,90;0,00;0,00;
0,00;0,00;127,53;0,92;0,00;0,00;
0,00;0,00;127,63;0,91;0,00;0,00;
0,00;0,00;127,72;0,93;0,00;0,00;
0,00;0,00;127,82;0,96;0,00;0,00;
0,00;0,00;127,92;0,97;0,00;0,00;
0,00;0,00;128,01;1,00;0,00;0,00;
0,00;0,00;128,11;1,02;0,00;0,00;
0,00;0,00;128,20;1,02;0,00;0,00;
0,00;0,00;128,30;1,02;0,00;0,00;
0,00;0,00;128,40;1,05;0,00;0,00;
0,00;0,00;128,49;1,04;0,00;0,00;
0,00;0,00;128,59;1,05;0,00;0,00;
0,00;0,00;128,68;1,08;0,00;0,00;
0,00;0,00;128,78;1,09;0,00;0,00;
0,00;0,00;128,88;1,09;0,00;0,00;
0,00;0,00;128,97;1,11;0,00;0,00;
0,00;0,00;129,07;1,12;0,00;0,00;
