7995;27.02.20 15:23:09;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,25;0,06;0,00;0,00;
0,00;0,00;1,04;0,05;0,00;0,00;
0,00;0,00;2,34;0,05;0,00;0,00;
0,00;0,00;4,15;0,06;0,00;0,00;
0,00;0,00;6,46;0,05;0,00;0,00;
0,00;0,00;9,30;0,05;0,00;0,00;
0,00;0,00;12,63;0,06;0,00;0,00;
0,00;0,00;16,12;0,06;0,00;0,00;
0,00;0,00;19,65;0,05;0,00;0,00;
0,00;0,00;23,17;0,03;0,00;0,00;
0,00;0,00;26,69;0,05;0,00;0,00;
0,00;0,00;30,21;0,06;0,00;0,00;
0,00;0,00;33,73;0,06;0,00;0,00;
0,00;0,00;37,25;0,04;0,00;0,00;
0,00;0,00;40,77;0,05;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,04;0,00;0,00;
0,00;0,00;51,33;0,04;0,00;0,00;
0,00;0,00;54,85;0,03;0,00;0,00;
0,00;0,00;58,36;0,04;0,00;0,00;
0,00;0,00;61,89;0,04;0,00;0,00;
0,00;0,00;65,41;0,04;0,00;0,00;
0,00;0,00;68,93;0,04;0,00;0,00;
0,00;0,00;72,45;0,04;0,00;0,00;
0,00;0,00;75,97;0,04;0,00;0,00;
0,00;0,00;79,49;0,04;0,00;0,00;
0,00;0,00;83,01;0,05;0,00;0,00;
0,00;0,00;86,53;0,05;0,00;0,00;
0,00;0,00;90,05;0,04;0,00;0,00;
0,00;0,00;93,57;0,04;0,00;0,00;
0,00;0,00;97,09;0,05;0,00;0,00;
0,00;0,00;100,61;0,05;0,00;0,00;
0,00;0,00;104,13;0,05;0,00;0,00;
0,00;0,00;107,65;0,02;0,00;0,00;
0,00;0,00;111,17;0,03;0,00;0,00;
0,00;0,00;114,46;0,02;0,00;0,00;
0,00;0,00;117,29;0,02;0,00;0,00;
0,00;0,00;121,46;0,01;0,00;0,00;
0,00;0,00;122,79;0,04;0,00;0,00;
0,00;0,00;123,64;0,09;0,00;0,00;
0,00;0,00;123,98;0,15;0,00;0,00;
0,00;0,00;124,01;0,17;0,00;0,00;
0,00;0,00;124,01;0,16;0,00;0,00;
0,00;0,00;124,08;0,18;0,00;0,00;
0,00;0,00;124,18;0,18;0,00;0,00;
0,00;0,00;124,28;0,20;0,00;0,00;
0,00;0,00;124,37;0,20;0,00;0,00;
0,00;0,00;124,47;0,23;0,00;0,00;
0,00;0,00;124,57;0,23;0,00;0,00;
0,00;0,00;124,66;0,24;0,00;0,00;
0,00;0,00;124,76;0,26;0,00;0,00;
0,00;0,00;124,86;0,27;0,00;0,00;
0,00;0,00;124,95;0,29;0,00;0,00;
0,00;0,00;125,05;0,29;0,00;0,00;
0,00;0,00;125,14;0,31;0,00;0,00;
0,00;0,00;125,24;0,32;0,00;0,00;
0,00;0,00;125,33;0,34;0,00;0,00;
0,00;0,00;125,43;0,37;0,00;0,00;
0,00;0,00;125,53;0,40;0,00;0,00;
0,00;0,00;125,62;0,48;0,00;0,00;
0,00;0,00;125,72;0,57;0,00;0,00;
0,00;0,00;125,81;0,65;0,00;0,00;
0,00;0,00;125,91;0,75;0,00;0,00;
0,00;0,00;126,01;0,82;0,00;0,00;
0,00;0,00;126,10;0,86;0,00;0,00;
0,00;0,00;126,20;0,94;0,00;0,00;
0,00;0,00;126,29;0,96;0,00;0,00;
0,00;0,00;126,39;1,03;0,00;0,00;
0,00;0,00;126,49;1,08;0,00;0,00;
0,00;0,00;126,58;1,13;0,00;0,00;
0,00;0,00;126,68;1,18;0,00;0,00;
0,00;0,00;126,78;1,20;0,00;0,00;
0,00;0,00;126,87;1,21;0,00;0,00;
0,00;0,00;126,97;1,20;0,00;0,00;
0,00;0,00;127,06;1,25;0,00;0,00;
0,00;0,00;127,16;1,26;0,00;0,00;
0,00;0,00;127,26;1,29;0,00;0,00;
0,00;0,00;127,35;1,32;0,00;0,00;
0,00;0,00;127,45;1,35;0,00;0,00;
0,00;0,00;127,54;1,36;0,00;0,00;
0,00;0,00;127,64;1,42;0,00;0,00;
0,00;0,00;127,73;1,41;0,00;0,00;
0,00;0,00;127,83;1,42;0,00;0,00;
0,00;0,00;127,93;1,45;0,00;0,00;
0,00;0,00;128,02;1,47;0,00;0,00;
0,00;0,00;128,12;1,51;0,00;0,00;
0,00;0,00;128,21;1,55;0,00;0,00;
0,00;0,00;128,31;1,56;0,00;0,00;
0,00;0,00;128,41;1,55;0,00;0,00;
0,00;0,00;128,50;1,57;0,00;0,00;
0,00;0,00;128,60;1,55;0,00;0,00;
0,00;0,00;128,70;1,55;0,00;0,00;
0,00;0,00;128,79;1,57;0,00;0,00;
0,00;0,00;128,89;1,58;0,00;0,00;
0,00;0,00;128,98;1,57;0,00;0,00;
0,00;0,00;129,08;1,60;0,00;0,00;
0,00;0,00;129,18;1,59;0,00;0,00;
0,00;0,00;129,27;1,60;0,00;0,00;
0,00;0,00;129,37;1,62;0,00;0,00;
0,00;0,00;129,46;1,62;0,00;0,00;
0,00;0,00;129,56;1,64;0,00;0,00;
0,00;0,00;129,66;1,65;0,00;0,00;
0,00;0,00;129,75;1,67;0,00;0,00;
