8166;13.03.20 11:51:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200312175444P    1;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;70,05;0,04;0,00;0,00;
0,00;0,00;70,58;0,04;0,00;0,00;
0,00;0,00;71,62;0,04;0,00;0,00;
0,00;0,00;73,18;0,04;0,00;0,00;
0,00;0,00;75,24;0,04;0,00;0,00;
0,00;0,00;77,82;0,04;0,00;0,00;
0,00;0,00;80,90;0,07;0,00;0,00;
0,00;0,00;84,38;0,01;0,00;0,00;
0,00;0,00;87,89;0,02;0,00;0,00;
0,00;0,00;91,41;0,04;0,00;0,00;
0,00;0,00;94,93;0,02;0,00;0,00;
0,00;0,00;98,45;0,02;0,00;0,00;
0,00;0,00;101,97;0,01;0,00;0,00;
0,00;0,00;105,49;0,04;0,00;0,00;
0,00;0,00;109,01;0,02;0,00;0,00;
0,00;0,00;112,52;-0,01;0,00;0,00;
0,00;0,00;115,61;0,01;0,00;0,00;
0,00;0,00;122,04;0,01;0,00;0,00;
0,00;0,00;123,18;-0,01;0,00;0,00;
0,00;0,00;123,84;-0,01;0,00;0,00;
0,00;0,00;124,01;-0,01;0,00;0,00;
0,00;0,00;124,09;0,01;0,00;0,00;
0,00;0,00;124,21;0,01;0,00;0,00;
0,00;0,00;124,32;0,01;0,00;0,00;
0,00;0,00;124,44;0,01;0,00;0,00;
0,00;0,00;124,55;0,01;0,00;0,00;
0,00;0,00;124,66;0,01;0,00;0,00;
0,00;0,00;124,77;0,01;0,00;0,00;
0,00;0,00;124,88;0,01;0,00;0,00;
0,00;0,00;125,00;0,01;0,00;0,00;
0,00;0,00;125,11;0,01;0,00;0,00;
0,00;0,00;125,22;0,01;0,00;0,00;
0,00;0,00;125,33;0,01;0,00;0,00;
0,00;0,00;125,44;0,01;0,00;0,00;
0,00;0,00;125,56;0,02;0,00;0,00;
0,00;0,00;125,67;0,08;0,00;0,00;
0,00;0,00;125,78;0,18;0,00;0,00;
0,00;0,00;125,89;0,26;0,00;0,00;
0,00;0,00;126,00;0,33;0,00;0,00;
0,00;0,00;126,12;0,36;0,00;0,00;
0,00;0,00;126,23;0,39;0,00;0,00;
0,00;0,00;126,34;0,42;0,00;0,00;
0,00;0,00;126,45;0,44;0,00;0,00;
0,00;0,00;126,56;0,46;0,00;0,00;
0,00;0,00;126,68;0,50;0,00;0,00;
0,00;0,00;126,79;0,50;0,00;0,00;
0,00;0,00;126,90;0,53;0,00;0,00;
0,00;0,00;127,01;0,54;0,00;0,00;
0,00;0,00;127,12;0,58;0,00;0,00;
0,00;0,00;127,24;0,60;0,00;0,00;
0,00;0,00;127,35;0,62;0,00;0,00;
0,00;0,00;127,46;0,66;0,00;0,00;
0,00;0,00;127,51;0,65;0,00;0,00;
0,00;0,00;127,51;0,61;0,00;0,00;
0,00;0,00;127,25;0,02;0,00;0,00;
0,00;0,00;126,46;-0,02;0,00;0,00;
0,00;0,00;125,07;0,01;0,00;0,00;
0,00;0,00;124,99;0,01;0,00;0,00;
0,00;0,00;124,99;0,01;0,00;0,00;
0,00;0,00;125,06;0,01;0,00;0,00;
0,00;0,00;125,18;0,01;0,00;0,00;
0,00;0,00;125,29;0,01;0,00;0,00;
0,00;0,00;125,40;0,01;0,00;0,00;
0,00;0,00;125,52;0,01;0,00;0,00;
0,00;0,00;125,63;0,01;0,00;0,00;
0,00;0,00;125,74;0,01;0,00;0,00;
0,00;0,00;125,86;0,01;0,00;0,00;
0,00;0,00;125,97;0,01;0,00;0,00;
0,00;0,00;126,08;0,01;0,00;0,00;
0,00;0,00;126,19;0,01;0,00;0,00;
0,00;0,00;126,30;0,01;0,00;0,00;
0,00;0,00;126,42;0,01;0,00;0,00;
0,00;0,00;126,53;0,01;0,00;0,00;
0,00;0,00;126,64;0,01;0,00;0,00;
0,00;0,00;126,75;0,01;0,00;0,00;
0,00;0,00;126,86;0,01;0,00;0,00;
0,00;0,00;126,98;0,01;0,00;0,00;
0,00;0,00;127,09;0,01;0,00;0,00;
0,00;0,00;127,20;0,03;0,00;0,00;
0,00;0,00;127,31;0,20;0,00;0,00;
0,00;0,00;127,42;0,44;0,00;0,00;
0,00;0,00;127,53;0,72;0,00;0,00;
0,00;0,00;127,65;0,72;0,00;0,00;
0,00;0,00;127,76;0,74;0,00;0,00;
0,00;0,00;127,87;0,76;0,00;0,00;
0,00;0,00;127,99;0,78;0,00;0,00;
0,00;0,00;128,10;0,82;0,00;0,00;
0,00;0,00;128,21;0,83;0,00;0,00;
0,00;0,00;128,32;0,85;0,00;0,00;
0,00;0,00;128,43;0,90;0,00;0,00;
0,00;0,00;128,54;0,93;0,00;0,00;
0,00;0,00;128,66;0,94;0,00;0,00;
0,00;0,00;128,77;0,97;0,00;0,00;
0,00;0,00;128,88;0,97;0,00;0,00;
0,00;0,00;128,99;0,98;0,00;0,00;
0,00;0,00;129,10;1,00;0,00;0,00;
0,00;0,00;129,22;1,04;0,00;0,00;
0,00;0,00;129,33;1,07;0,00;0,00;
0,00;0,00;129,44;1,10;0,00;0,00;
0,00;0,00;129,55;1,12;0,00;0,00;
0,00;0,00;129,66;1,11;0,00;0,00;
0,00;0,00;129,78;1,16;0,00;0,00;
0,00;0,00;129,89;1,17;0,00;0,00;
0,00;0,00;130,00;1,20;0,00;0,00;
0,00;0,00;130,11;1,20;0,00;0,00;
0,00;0,00;130,22;1,22;0,00;0,00;
0,00;0,00;130,34;1,24;0,00;0,00;
0,00;0,00;130,45;1,26;0,00;0,00;
0,00;0,00;130,56;1,26;0,00;0,00;
0,00;0,00;130,67;1,28;0,00;0,00;
0,00;0,00;130,79;1,28;0,00;0,00;
0,00;0,00;130,90;1,30;0,00;0,00;
0,00;0,00;131,01;1,32;0,00;0,00;
0,00;0,00;131,12;1,33;0,00;0,00;
0,00;0,00;131,23;1,35;0,00;0,00;
0,00;0,00;131,35;1,36;0,00;0,00;
0,00;0,00;131,46;1,40;0,00;0,00;
0,00;0,00;131,57;1,41;0,00;0,00;
0,00;0,00;131,68;1,41;0,00;0,00;
0,00;0,00;131,79;1,43;0,00;0,00;
0,00;0,00;131,90;1,43;0,00;0,00;
0,00;0,00;132,02;1,44;0,00;0,00;
0,00;0,00;132,13;1,45;0,00;0,00;
0,00;0,00;132,24;1,47;0,00;0,00;
0,00;0,00;132,35;1,49;0,00;0,00;
0,00;0,00;132,46;1,50;0,00;0,00;
0,00;0,00;132,58;1,50;0,00;0,00;
0,00;0,00;132,69;1,50;0,00;0,00;
0,00;0,00;132,80;1,50;0,00;0,00;
0,00;0,00;132,91;1,49;0,00;0,00;
0,00;0,00;133,02;1,51;0,00;0,00;
0,00;0,00;133,14;1,52;0,00;0,00;
0,00;0,00;133,25;1,50;0,00;0,00;
0,00;0,00;133,36;1,50;0,00;0,00;
0,00;0,00;133,47;1,51;0,00;0,00;
0,00;0,00;133,59;1,53;0,00;0,00;
0,00;0,00;133,70;1,52;0,00;0,00;
0,00;0,00;133,81;1,52;0,00;0,00;
0,00;0,00;133,92;1,53;0,00;0,00;
0,00;0,00;134,03;1,53;0,00;0,00;
0,00;0,00;134,15;1,53;0,00;0,00;
0,00;0,00;134,26;1,53;0,00;0,00;
0,00;0,00;134,37;1,53;0,00;0,00;
0,00;0,00;134,48;1,53;0,00;0,00;
0,00;0,00;134,59;1,53;0,00;0,00;
0,00;0,00;134,71;1,53;0,00;0,00;
0,00;0,00;134,82;1,55;0,00;0,00;
0,00;0,00;134,93;1,55;0,00;0,00;
0,00;0,00;135,04;1,58;0,00;0,00;
0,00;0,00;135,15;1,61;0,00;0,00;
0,00;0,00;135,26;1,64;0,00;0,00;
0,00;0,00;135,38;1,67;0,00;0,00;
0,00;0,00;135,49;1,70;0,00;0,00;
0,00;0,00;135,60;1,70;0,00;0,00;
0,00;0,00;135,71;1,72;0,00;0,00;
0,00;0,00;135,82;1,76;0,00;0,00;
0,00;0,00;135,94;1,76;0,00;0,00;
0,00;0,00;136,05;1,77;0,00;0,00;
0,00;0,00;136,16;1,77;0,00;0,00;
0,00;0,00;136,27;1,76;0,00;0,00;
0,00;0,00;136,39;1,76;0,00;0,00;
0,00;0,00;136,50;1,75;0,00;0,00;
0,00;0,00;136,61;1,76;0,00;0,00;
0,00;0,00;136,72;1,76;0,00;0,00;
0,00;0,00;136,83;1,75;0,00;0,00;
0,00;0,00;136,95;1,74;0,00;0,00;
0,00;0,00;137,06;1,72;0,00;0,00;
0,00;0,00;137,17;1,70;0,00;0,00;
0,00;0,00;137,28;1,69;0,00;0,00;
0,00;0,00;137,39;1,67;0,00;0,00;
0,00;0,00;137,51;1,66;0,00;0,00;
0,00;0,00;137,62;1,62;0,00;0,00;
0,00;0,00;137,73;1,63;0,00;0,00;
0,00;0,00;137,84;1,61;0,00;0,00;
0,00;0,00;137,96;1,60;0,00;0,00;
0,00;0,00;138,07;1,58;0,00;0,00;
0,00;0,00;138,18;1,55;0,00;0,00;
0,00;0,00;138,29;1,53;0,00;0,00;
0,00;0,00;138,40;1,51;0,00;0,00;
0,00;0,00;138,51;1,49;0,00;0,00;
0,00;0,00;138,63;1,47;0,00;0,00;
0,00;0,00;138,74;1,43;0,00;0,00;
0,00;0,00;138,85;1,41;0,00;0,00;
0,00;0,00;138,96;1,39;0,00;0,00;
0,00;0,00;139,07;1,39;0,00;0,00;
0,00;0,00;139,19;1,38;0,00;0,00;
0,00;0,00;139,30;1,36;0,00;0,00;
0,00;0,00;139,41;1,34;0,00;0,00;
