8289;27.03.20 11:21:28;10;Repair_strategy;force > max. force (8);20200327062640P0001;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;34,30;-0,01;0,00;0,00;
0,00;0,00;34,35;0,05;0,00;0,00;
0,00;0,00;34,88;0,04;0,00;0,00;
0,00;0,00;35,92;0,05;0,00;0,00;
0,00;0,00;37,48;0,04;0,00;0,00;
0,00;0,00;39,54;0,04;0,00;0,00;
0,00;0,00;42,11;0,05;0,00;0,00;
0,00;0,00;45,20;0,03;0,00;0,00;
0,00;0,00;48,68;0,01;0,00;0,00;
0,00;0,00;52,19;0,03;0,00;0,00;
0,00;0,00;55,71;0,02;0,00;0,00;
0,00;0,00;59,23;0,01;0,00;0,00;
0,00;0,00;62,75;0,03;0,00;0,00;
0,00;0,00;66,27;0,04;0,00;0,00;
0,00;0,00;69,78;0,05;0,00;0,00;
0,00;0,00;73,31;0,02;0,00;0,00;
0,00;0,00;76,83;0,01;0,00;0,00;
0,00;0,00;80,35;0,02;0,00;0,00;
0,00;0,00;83,87;0,04;0,00;0,00;
0,00;0,00;87,39;0,03;0,00;0,00;
0,00;0,00;90,62;0,01;0,00;0,00;
0,00;0,00;95,66;-0,01;0,00;0,00;
0,00;0,00;97,44;0,00;0,00;0,00;
0,00;0,00;98,72;-0,01;0,00;0,00;
0,00;0,00;99,50;-0,03;0,00;0,00;
0,00;0,00;99,80;-0,02;0,00;0,00;
0,00;0,00;99,82;0,01;0,00;0,00;
0,00;0,00;99,89;-0,01;0,00;0,00;
0,00;0,00;101,33;0,01;0,00;0,00;
0,00;0,00;101,47;0,01;0,00;0,00;
0,00;0,00;101,76;0,01;0,00;0,00;
0,00;0,00;101,81;0,01;0,00;0,00;
0,00;0,00;101,54;-0,03;0,00;0,00;
0,00;0,00;100,76;-0,04;0,00;0,00;
0,00;0,00;99,49;0,00;0,00;0,00;
0,00;0,00;98,50;0,01;0,00;0,00;
0,00;0,00;97,79;-0,01;0,00;0,00;
