8992;01.09.20 10:00:48;22;Avvicinamento pre-pressata pressata Fuori Ingombro;max force window > max spindle force (39);20200831135444P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;30,35;0,06;0,00;0,00;
0,00;0,00;30,89;0,04;0,00;0,00;
0,00;0,00;31,92;0,04;0,00;0,00;
0,00;0,00;33,48;0,05;0,00;0,00;
0,00;0,00;35,54;0,06;0,00;0,00;
0,00;0,00;38,12;0,06;0,00;0,00;
0,00;0,00;41,20;0,04;0,00;0,00;
0,00;0,00;44,68;0,02;0,00;0,00;
0,00;0,00;48,19;0,03;0,00;0,00;
0,00;0,00;51,71;0,04;0,00;0,00;
0,00;0,00;55,23;0,02;0,00;0,00;
0,00;0,00;58,75;0,02;0,00;0,00;
0,00;0,00;62,27;0,04;0,00;0,00;
0,00;0,00;65,78;0,02;0,00;0,00;
0,00;0,00;69,31;0,04;0,00;0,00;
0,00;0,00;72,83;0,02;0,00;0,00;
0,00;0,00;76,35;0,02;0,00;0,00;
0,00;0,00;79,83;-0,00;0,00;0,00;
0,00;0,00;82,87;0,01;0,00;0,00;
0,00;0,00;85,44;0,01;0,00;0,00;
0,00;0,00;89,07;-0,00;0,00;0,00;
0,00;0,00;90,70;-0,01;0,00;0,00;
0,00;0,00;90,82;0,02;0,00;0,00;
0,00;0,00;90,96;0,01;0,00;0,00;
0,00;0,00;91,11;0,01;0,00;0,00;
0,00;0,00;91,25;0,01;0,00;0,00;
0,00;0,00;91,54;0,01;0,00;0,00;
0,00;0,00;91,68;0,01;0,00;0,00;
0,00;0,00;91,83;0,01;0,00;0,00;
0,00;0,00;91,97;0,01;0,00;0,00;
0,00;0,00;92,11;0,01;0,00;0,00;
0,00;0,00;92,26;0,03;0,00;0,00;
0,00;0,00;92,40;0,03;0,00;0,00;
0,00;0,00;92,55;0,02;0,00;0,00;
0,00;0,00;92,69;0,02;0,00;0,00;
0,00;0,00;92,83;0,03;0,00;0,00;
0,00;0,00;92,98;0,03;0,00;0,00;
0,00;0,00;93,12;0,03;0,00;0,00;
0,00;0,00;93,27;0,03;0,00;0,00;
0,00;0,00;93,41;0,02;0,00;0,00;
0,00;0,00;93,55;0,03;0,00;0,00;
0,00;0,00;93,70;0,02;0,00;0,00;
0,00;0,00;93,84;0,03;0,00;0,00;
0,00;0,00;93,98;0,03;0,00;0,00;
0,00;0,00;94,13;0,03;0,00;0,00;
0,00;0,00;94,27;0,02;0,00;0,00;
0,00;0,00;94,42;0,01;0,00;0,00;
0,00;0,00;94,56;0,03;0,00;0,00;
0,00;0,00;94,71;0,02;0,00;0,00;
0,00;0,00;94,85;0,02;0,00;0,00;
0,00;0,00;94,99;0,03;0,00;0,00;
0,00;0,00;95,14;0,02;0,00;0,00;
0,00;0,00;95,28;0,03;0,00;0,00;
0,00;0,00;95,43;0,03;0,00;0,00;
0,00;0,00;95,57;0,03;0,00;0,00;
0,00;0,00;95,71;0,02;0,00;0,00;
0,00;0,00;95,86;0,03;0,00;0,00;
0,00;0,00;96,00;0,03;0,00;0,00;
0,00;0,00;96,15;0,02;0,00;0,00;
0,00;0,00;96,29;0,03;0,00;0,00;
0,00;0,00;96,43;0,01;0,00;0,00;
0,00;0,00;96,58;0,01;0,00;0,00;
0,00;0,00;96,72;0,02;0,00;0,00;
0,00;0,00;96,87;0,03;0,00;0,00;
0,00;0,00;97,01;0,03;0,00;0,00;
0,00;0,00;97,15;0,03;0,00;0,00;
0,00;0,00;97,30;0,02;0,00;0,00;
0,00;0,00;97,44;0,03;0,00;0,00;
0,00;0,00;97,59;0,02;0,00;0,00;
0,00;0,00;97,73;0,01;0,00;0,00;
0,00;0,00;97,80;0,02;0,00;0,00;
0,00;0,00;97,80;0,01;0,00;0,00;
0,00;0,00;97,75;-0,04;0,00;0,00;
0,00;0,00;97,21;-0,03;0,00;0,00;
0,00;0,00;96,18;-0,04;0,00;0,00;
0,00;0,00;94,95;0,01;0,00;0,00;
0,00;0,00;93,82;0,02;0,00;0,00;
0,00;0,00;93,79;-0,01;0,00;0,00;
