3688;10.09.20 16:10:16;21;Avvicinamento Pressata Finale;force > max. force (8);20200908095506A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;28,80;0,17;0,00;0,00;
0,00;0,00;29,62;0,08;0,00;0,00;
0,00;0,00;30,90;0,08;0,00;0,00;
0,00;0,00;32,70;0,08;0,00;0,00;
0,00;0,00;35,00;0,04;0,00;0,00;
0,00;0,00;37,32;0,04;0,00;0,00;
0,00;0,00;39,72;-0,01;0,00;0,00;
0,00;0,00;42,13;0,04;0,00;0,00;
0,00;0,00;46,92;0,04;0,00;0,00;
0,00;0,00;51,72;-0,01;0,00;0,00;
0,00;0,00;58,92;0,04;0,00;0,00;
0,00;0,00;70,92;-0,01;0,00;0,00;
0,00;0,00;73,32;0,04;0,00;0,00;
0,00;0,00;75,72;0,08;0,00;0,00;
0,00;0,00;80,52;0,04;0,00;0,00;
0,00;0,00;82,92;0,04;0,00;0,00;
0,00;0,00;87,72;0,04;0,00;0,00;
0,00;0,00;92,52;-0,01;0,00;0,00;
0,00;0,00;94,92;0,04;0,00;0,00;
0,00;0,00;97,32;-0,04;0,00;0,00;
0,00;0,00;99,72;-0,04;0,00;0,00;
0,00;0,00;102,12;0,04;0,00;0,00;
0,00;0,00;104,52;-0,04;0,00;0,00;
0,00;0,00;106,92;0,04;0,00;0,00;
0,00;0,00;111,72;-0,01;0,00;0,00;
0,00;0,00;114,12;0,04;0,00;0,00;
0,00;0,00;121,32;0,04;0,00;0,00;
0,00;0,00;126,12;0,04;0,00;0,00;
0,00;0,00;128,52;0,04;0,00;0,00;
0,00;0,00;133,32;0,04;0,00;0,00;
0,00;0,00;135,72;-0,04;0,00;0,00;
0,00;0,00;138,12;-0,04;0,00;0,00;
0,00;0,00;142,92;0,04;0,00;0,00;
0,00;0,00;145,32;-0,04;0,00;0,00;
0,00;0,00;147,72;-0,01;0,00;0,00;
0,00;0,00;152,52;0,04;0,00;0,00;
0,00;0,00;157,32;-0,04;0,00;0,00;
0,00;0,00;159,72;-0,04;0,00;0,00;
0,00;0,00;171,72;-0,04;0,00;0,00;
0,00;0,00;174,12;-0,01;0,00;0,00;
0,00;0,00;176,52;-0,01;0,00;0,00;
0,00;0,00;178,92;-0,09;0,00;0,00;
0,00;0,00;181,32;-0,01;0,00;0,00;
0,00;0,00;186,12;0,04;0,00;0,00;
0,00;0,00;188,52;0,04;0,00;0,00;
