8588;11.09.20 08:12:06;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);20200910150707A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,05;0,13;0,00;0,00;
0,00;0,00;0,58;0,09;0,00;0,00;
0,00;0,00;1,61;0,09;0,00;0,00;
0,00;0,00;3,14;0,11;0,00;0,00;
0,00;0,00;5,19;0,09;0,00;0,00;
0,00;0,00;7,76;0,13;0,00;0,00;
0,00;0,00;10,79;0,05;0,00;0,00;
0,00;0,00;17,11;0,11;0,00;0,00;
0,00;0,00;20,36;-0,02;0,00;0,00;
0,00;0,00;23,53;0,02;0,00;0,00;
0,00;0,00;26,75;0,02;0,00;0,00;
0,00;0,00;33,16;0,02;0,00;0,00;
0,00;0,00;36,35;0,02;0,00;0,00;
0,00;0,00;39,55;0,05;0,00;0,00;
0,00;0,00;42,75;0,09;0,00;0,00;
0,00;0,00;45,95;0,02;0,00;0,00;
0,00;0,00;49,15;0,05;0,00;0,00;
0,00;0,00;52,35;0,05;0,00;0,00;
0,00;0,00;55,55;0,02;0,00;0,00;
0,00;0,00;58,75;0,05;0,00;0,00;
0,00;0,00;61,95;0,02;0,00;0,00;
0,00;0,00;65,15;0,05;0,00;0,00;
0,00;0,00;71,55;0,02;0,00;0,00;
0,00;0,00;81,15;0,05;0,00;0,00;
0,00;0,00;84,35;0,02;0,00;0,00;
0,00;0,00;87,55;0,02;0,00;0,00;
0,00;0,00;90,75;0,02;0,00;0,00;
0,00;0,00;97,15;0,02;0,00;0,00;
0,00;0,00;100,35;0,02;0,00;0,00;
0,00;0,00;103,55;0,05;0,00;0,00;
0,00;0,00;106,75;0,05;0,00;0,00;
0,00;0,00;113,15;0,02;0,00;0,00;
0,00;0,00;116,35;0,02;0,00;0,00;
0,00;0,00;122,75;0,05;0,00;0,00;
0,00;0,00;125,95;-0,02;0,00;0,00;
0,00;0,00;129,15;0,05;0,00;0,00;
0,00;0,00;135,55;0,02;0,00;0,00;
0,00;0,00;138,75;0,05;0,00;0,00;
0,00;0,00;148,35;0,02;0,00;0,00;
0,00;0,00;151,55;0,02;0,00;0,00;
0,00;0,00;157,95;-0,02;0,00;0,00;
0,00;0,00;161,03;-0,13;0,00;0,00;
0,00;0,00;163,59;-0,04;0,00;0,00;
0,00;0,00;165,72;-0,09;0,00;0,00;
0,00;0,00;167,33;-0,06;0,00;0,00;
0,00;0,00;168,43;-0,11;0,00;0,00;
0,00;0,00;169,02;-0,13;0,00;0,00;
0,00;0,00;169,18;-0,04;0,00;0,00;
0,00;0,00;169,22;-0,09;0,00;0,00;
0,00;0,00;169,28;-0,05;0,00;0,00;
0,00;0,00;169,41;-0,06;0,00;0,00;
0,00;0,00;169,57;-0,04;0,00;0,00;
0,00;0,00;169,73;-0,04;0,00;0,00;
0,00;0,00;169,89;-0,04;0,00;0,00;
0,00;0,00;170,05;-0,04;0,00;0,00;
0,00;0,00;170,21;-0,04;0,00;0,00;
0,00;0,00;170,37;-0,04;0,00;0,00;
0,00;0,00;170,53;-0,04;0,00;0,00;
0,00;0,00;170,69;-0,04;0,00;0,00;
0,00;0,00;170,85;-0,04;0,00;0,00;
0,00;0,00;171,01;-0,04;0,00;0,00;
0,00;0,00;171,17;-0,04;0,00;0,00;
0,00;0,00;171,33;-0,04;0,00;0,00;
0,00;0,00;171,49;-0,04;0,00;0,00;
0,00;0,00;171,65;-0,04;0,00;0,00;
0,00;0,00;171,81;-0,04;0,00;0,00;
0,00;0,00;171,97;-0,04;0,00;0,00;
0,00;0,00;172,13;-0,04;0,00;0,00;
0,00;0,00;172,29;-0,04;0,00;0,00;
0,00;0,00;172,45;-0,04;0,00;0,00;
0,00;0,00;172,61;-0,04;0,00;0,00;
0,00;0,00;172,77;-0,04;0,00;0,00;
0,00;0,00;172,93;-0,04;0,00;0,00;
0,00;0,00;173,09;0,05;0,00;0,00;
0,00;0,00;173,25;0,14;0,00;0,00;
0,00;0,00;173,41;0,14;0,00;0,00;
0,00;0,00;173,57;0,14;0,00;0,00;
0,00;0,00;173,70;0,16;0,00;0,00;
0,00;0,00;173,71;0,20;0,00;0,00;
0,00;0,00;173,71;0,16;0,00;0,00;
0,00;0,00;173,71;0,16;0,00;0,00;
0,00;0,00;173,71;0,16;0,00;0,00;
0,00;0,00;173,71;0,14;0,00;0,00;
0,00;0,00;173,71;0,16;0,00;0,00;
0,00;0,00;173,71;0,14;0,00;0,00;
0,00;0,00;173,71;0,14;0,00;0,00;
0,00;0,00;173,71;0,14;0,00;0,00;
0,00;0,00;173,71;0,14;0,00;0,00;
0,00;0,00;173,70;0,14;0,00;0,00;
0,00;0,00;173,70;0,14;0,00;0,00;
0,00;0,00;173,70;0,14;0,00;0,00;
0,00;0,00;173,70;0,14;0,00;0,00;
