4817;13.10.20 09:47:51;10;Repair_strategy;analog input source > +-20 mA (or >10 V) (231);20201012151653A0202;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;29,10;-0,04;0,00;0,00;
0,00;0,00;35,60;-0,09;0,00;0,00;
0,00;0,00;37,92;-0,04;0,00;0,00;
0,00;0,00;42,72;-0,04;0,00;0,00;
0,00;0,00;45,12;-0,04;0,00;0,00;
0,00;0,00;49,92;-0,04;0,00;0,00;
0,00;0,00;52,32;-0,04;0,00;0,00;
0,00;0,00;57,12;-0,04;0,00;0,00;
0,00;0,00;59,52;-0,04;0,00;0,00;
0,00;0,00;61,92;-0,04;0,00;0,00;
0,00;0,00;66,72;-0,09;0,00;0,00;
0,00;0,00;69,12;-0,04;0,00;0,00;
0,00;0,00;73,92;-0,04;0,00;0,00;
0,00;0,00;76,32;-0,04;0,00;0,00;
0,00;0,00;78,72;-0,09;0,00;0,00;
0,00;0,00;81,12;-0,09;0,00;0,00;
0,00;0,00;83,52;-0,04;0,00;0,00;
0,00;0,00;85,92;-0,09;0,00;0,00;
0,00;0,00;88,32;-0,04;0,00;0,00;
0,00;0,00;90,72;-0,04;0,00;0,00;
0,00;0,00;93,12;-0,09;0,00;0,00;
0,00;0,00;95,52;-0,04;0,00;0,00;
0,00;0,00;97,92;-0,04;0,00;0,00;
0,00;0,00;102,72;-0,04;0,00;0,00;
0,00;0,00;105,12;-0,04;0,00;0,00;
0,00;0,00;109,92;-0,04;0,00;0,00;
0,00;0,00;112,32;-0,04;0,00;0,00;
0,00;0,00;114,72;-0,04;0,00;0,00;
0,00;0,00;117,12;-0,04;0,00;0,00;
0,00;0,00;119,52;-0,09;0,00;0,00;
0,00;0,00;121,92;-0,04;0,00;0,00;
0,00;0,00;124,32;-0,04;0,00;0,00;
0,00;0,00;126,72;-0,09;0,00;0,00;
0,00;0,00;129,12;-0,04;0,00;0,00;
0,00;0,00;131,52;-0,09;0,00;0,00;
0,00;0,00;133,92;-0,09;0,00;0,00;
0,00;0,00;136,32;-0,09;0,00;0,00;
0,00;0,00;138,72;-0,04;0,00;0,00;
0,00;0,00;141,12;-0,04;0,00;0,00;
0,00;0,00;143,52;-0,04;0,00;0,00;
0,00;0,00;145,92;-0,09;0,00;0,00;
0,00;0,00;148,32;-0,09;0,00;0,00;
0,00;0,00;153,12;-0,04;0,00;0,00;
