4838;13.10.20 16:47:43;21;Avvicinamento Pressata Finale;position < min position (11);20201012153935A0202;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;71,00;-0,04;0,00;0,00;
0,00;0,00;71,30;0,04;0,00;0,00;
0,00;0,00;72,12;0,08;0,00;0,00;
0,00;0,00;73,40;0,04;0,00;0,00;
0,00;0,00;75,20;0,12;0,00;0,00;
0,00;0,00;77,50;0,08;0,00;0,00;
0,00;0,00;84,63;-0,04;0,00;0,00;
0,00;0,00;89,42;0,04;0,00;0,00;
0,00;0,00;91,82;0,09;0,00;0,00;
0,00;0,00;96,62;0,04;0,00;0,00;
0,00;0,00;99,02;0,04;0,00;0,00;
0,00;0,00;101,42;0,04;0,00;0,00;
0,00;0,00;103,82;-0,04;0,00;0,00;
0,00;0,00;106,22;0,04;0,00;0,00;
0,00;0,00;115,82;0,04;0,00;0,00;
0,00;0,00;132,62;0,04;0,00;0,00;
0,00;0,00;135,02;0,04;0,00;0,00;
0,00;0,00;137,42;0,04;0,00;0,00;
0,00;0,00;149,42;0,04;0,00;0,00;
0,00;0,00;151,82;0,09;0,00;0,00;
0,00;0,00;156,62;0,04;0,00;0,00;
0,00;0,00;159,02;0,09;0,00;0,00;
0,00;0,00;161,42;0,04;0,00;0,00;
0,00;0,00;173,42;-0,04;0,00;0,00;
0,00;0,00;175,82;0,04;0,00;0,00;
0,00;0,00;187,82;0,04;0,00;0,00;
0,00;0,00;190,22;0,04;0,00;0,00;
0,00;0,00;192,62;0,04;0,00;0,00;
0,00;0,00;197,42;0,04;0,00;0,00;
0,00;0,00;207,02;-0,04;0,00;0,00;
0,00;0,00;209,42;0,04;0,00;0,00;
0,00;0,00;211,82;0,04;0,00;0,00;
0,00;0,00;214,22;0,04;0,00;0,00;
0,00;0,00;219,02;0,04;0,00;0,00;
0,00;0,00;228,62;0,04;0,00;0,00;
0,00;0,00;231,02;0,04;0,00;0,00;
0,00;0,00;235,82;0,04;0,00;0,00;
0,00;0,00;238,22;0,04;0,00;0,00;
0,00;0,00;240,62;0,04;0,00;0,00;
0,00;0,00;245,42;0,04;0,00;0,00;
0,00;0,00;250,22;0,04;0,00;0,00;
0,00;0,00;252,62;0,04;0,00;0,00;
0,00;0,00;255,02;0,04;0,00;0,00;
0,00;0,00;262,22;-0,01;0,00;0,00;
0,00;0,00;269,42;0,04;0,00;0,00;
0,00;0,00;274,22;0,04;0,00;0,00;
0,00;0,00;276,62;0,09;0,00;0,00;
0,00;0,00;279,02;0,04;0,00;0,00;
0,00;0,00;286,15;-0,09;0,00;0,00;
0,00;0,00;287,94;-0,04;0,00;0,00;
0,00;0,00;289,31;-0,04;0,00;0,00;
0,00;0,00;290,18;-0,09;0,00;0,00;
0,00;0,00;290,52;-0,04;0,00;0,00;
0,00;0,00;290,60;0,04;0,00;0,00;
0,00;0,00;290,88;0,09;0,00;0,00;
0,00;0,00;291,03;0,09;0,00;0,00;
0,00;0,00;291,20;0,09;0,00;0,00;
0,00;0,00;291,36;0,04;0,00;0,00;
0,00;0,00;291,52;0,09;0,00;0,00;
0,00;0,00;291,68;0,09;0,00;0,00;
0,00;0,00;291,84;0,09;0,00;0,00;
0,00;0,00;292,00;0,04;0,00;0,00;
0,00;0,00;292,16;0,04;0,00;0,00;
0,00;0,00;292,32;0,04;0,00;0,00;
0,00;0,00;292,48;0,04;0,00;0,00;
0,00;0,00;292,64;0,09;0,00;0,00;
0,00;0,00;292,80;0,09;0,00;0,00;
0,00;0,00;292,96;0,04;0,00;0,00;
0,00;0,00;293,12;0,09;0,00;0,00;
0,00;0,00;293,28;0,09;0,00;0,00;
0,00;0,00;293,44;0,09;0,00;0,00;
0,00;0,00;293,60;0,09;0,00;0,00;
0,00;0,00;293,76;0,04;0,00;0,00;
0,00;0,00;293,92;0,04;0,00;0,00;
0,00;0,00;294,08;0,09;0,00;0,00;
0,00;0,00;294,24;0,09;0,00;0,00;
0,00;0,00;294,40;0,09;0,00;0,00;
0,00;0,00;294,56;0,09;0,00;0,00;
0,00;0,00;294,72;0,04;0,00;0,00;
0,00;0,00;294,88;0,09;0,00;0,00;
0,00;0,00;295,04;0,04;0,00;0,00;
0,00;0,00;295,20;0,09;0,00;0,00;
0,00;0,00;295,36;0,09;0,00;0,00;
