11319;10.02.21 08:47:27;21;Avvicinamento Pressata Finale;Alcun errore (0);20210209145353P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;72,62;0,04;0,00;0,00;
0,00;0,00;75,70;0,17;0,00;0,00;
0,00;0,00;80,32;0,04;0,00;0,00;
0,00;0,00;85,12;0,04;0,00;0,00;
0,00;0,00;94,72;0,04;0,00;0,00;
0,00;0,00;99,52;0,09;0,00;0,00;
0,00;0,00;104,32;0,04;0,00;0,00;
0,00;0,00;113,92;0,04;0,00;0,00;
0,00;0,00;118,72;0,04;0,00;0,00;
0,00;0,00;123,52;0,04;0,00;0,00;
0,00;0,00;128,32;0,09;0,00;0,00;
0,00;0,00;133,12;0,09;0,00;0,00;
0,00;0,00;137,92;0,04;0,00;0,00;
0,00;0,00;142,72;0,04;0,00;0,00;
0,00;0,00;147,52;0,04;0,00;0,00;
0,00;0,00;157,12;0,04;0,00;0,00;
0,00;0,00;161,92;0,09;0,00;0,00;
0,00;0,00;166,72;0,04;0,00;0,00;
0,00;0,00;171,52;0,04;0,00;0,00;
0,00;0,00;176,32;0,04;0,00;0,00;
0,00;0,00;181,12;0,09;0,00;0,00;
0,00;0,00;185,92;0,04;0,00;0,00;
0,00;0,00;190,72;0,09;0,00;0,00;
0,00;0,00;195,52;0,04;0,00;0,00;
0,00;0,00;200,32;0,04;0,00;0,00;
0,00;0,00;205,12;0,04;0,00;0,00;
0,00;0,00;209,92;0,04;0,00;0,00;
0,00;0,00;219,52;0,04;0,00;0,00;
0,00;0,00;224,32;0,04;0,00;0,00;
0,00;0,00;229,12;0,13;0,00;0,00;
0,00;0,00;233,92;0,04;0,00;0,00;
0,00;0,00;243,52;0,04;0,00;0,00;
0,00;0,00;248,32;0,04;0,00;0,00;
0,00;0,00;262,72;0,09;0,00;0,00;
0,00;0,00;267,52;0,04;0,00;0,00;
0,00;0,00;281,92;0,04;0,00;0,00;
0,00;0,00;291,99;0,09;0,00;0,00;
0,00;0,00;292,18;0,09;0,00;0,00;
0,00;0,00;292,37;0,09;0,00;0,00;
0,00;0,00;292,57;0,13;0,00;0,00;
0,00;0,00;292,76;0,09;0,00;0,00;
0,00;0,00;292,95;0,09;0,00;0,00;
0,00;0,00;293,14;0,09;0,00;0,00;
0,00;0,00;293,53;0,09;0,00;0,00;
0,00;0,00;293,72;0,04;0,00;0,00;
0,00;0,00;293,91;0,18;0,00;0,00;
0,00;0,00;294,10;0,04;0,00;0,00;
0,00;0,00;294,29;0,13;0,00;0,00;
0,00;0,00;294,49;0,04;0,00;0,00;
0,00;0,00;294,68;0,13;0,00;0,00;
0,00;0,00;294,87;0,04;0,00;0,00;
0,00;0,00;295,06;0,09;0,00;0,00;
0,00;0,00;295,25;0,09;0,00;0,00;
0,00;0,00;295,45;0,04;0,00;0,00;
0,00;0,00;295,83;0,04;0,00;0,00;
0,00;0,00;296,02;0,09;0,00;0,00;
0,00;0,00;296,21;0,09;0,00;0,00;
0,00;0,00;296,41;0,04;0,00;0,00;
0,00;0,00;296,60;0,13;0,00;0,00;
0,00;0,00;296,79;0,18;0,00;0,00;
0,00;0,00;296,98;0,18;0,00;0,00;
0,00;0,00;297,17;0,18;0,00;0,00;
0,00;0,00;297,37;0,09;0,00;0,00;
0,00;0,00;297,56;0,09;0,00;0,00;
0,00;0,00;297,75;0,09;0,00;0,00;
0,00;0,00;297,94;0,09;0,00;0,00;
0,00;0,00;298,13;0,04;0,00;0,00;
0,00;0,00;298,33;0,13;0,00;0,00;
0,00;0,00;298,52;0,04;0,00;0,00;
0,00;0,00;298,71;0,18;0,00;0,00;
0,00;0,00;298,90;0,04;0,00;0,00;
0,00;0,00;299,09;0,09;0,00;0,00;
0,00;0,00;299,29;0,13;0,00;0,00;
0,00;0,00;299,48;0,13;0,00;0,00;
0,00;0,00;299,67;0,18;0,00;0,00;
0,00;0,00;299,86;0,30;0,00;0,00;
0,00;0,00;300,05;0,44;0,00;0,00;
0,00;0,00;300,25;0,52;0,00;0,00;
0,00;0,00;300,44;0,52;0,00;0,00;
0,00;0,00;300,63;0,69;0,00;0,00;
0,00;0,00;300,82;0,69;0,00;0,00;
0,00;0,00;301,01;0,74;0,00;0,00;
0,00;0,00;301,21;0,83;0,00;0,00;
0,00;0,00;301,40;0,87;0,00;0,00;
0,00;0,00;301,59;0,87;0,00;0,00;
0,00;0,00;301,78;0,87;0,00;0,00;
0,00;0,00;301,97;0,91;0,00;0,00;
0,00;0,00;302,16;1,00;0,00;0,00;
0,00;0,00;302,36;1,04;0,00;0,00;
0,00;0,00;302,55;1,04;0,00;0,00;
0,00;0,00;302,74;1,04;0,00;0,00;
0,00;0,00;302,93;1,13;0,00;0,00;
0,00;0,00;303,13;1,09;0,00;0,00;
0,00;0,00;303,32;1,13;0,00;0,00;
0,00;0,00;303,51;1,17;0,00;0,00;
0,00;0,00;303,70;1,22;0,00;0,00;
0,00;0,00;303,89;1,57;0,00;0,00;
0,00;0,00;304,09;1,57;0,00;0,00;
0,00;0,00;304,28;1,57;0,00;0,00;
0,00;0,00;304,47;1,65;0,00;0,00;
0,00;0,00;304,66;1,61;0,00;0,00;
0,00;0,00;304,85;1,65;0,00;0,00;
0,00;0,00;305,05;1,70;0,00;0,00;
0,00;0,00;305,24;1,74;0,00;0,00;
0,00;0,00;305,43;1,74;0,00;0,00;
0,00;0,00;305,62;1,74;0,00;0,00;
0,00;0,00;305,81;1,74;0,00;0,00;
0,00;0,00;306,01;1,91;0,00;0,00;
0,00;0,00;306,20;1,91;0,00;0,00;
0,00;0,00;306,39;1,91;0,00;0,00;
0,00;0,00;306,58;2,00;0,00;0,00;
0,00;0,00;306,77;2,05;0,00;0,00;
0,00;0,00;306,97;2,09;0,00;0,00;
0,00;0,00;307,16;2,21;0,00;0,00;
0,00;0,00;307,35;2,26;0,00;0,00;
0,00;0,00;307,54;2,26;0,00;0,00;
0,00;0,00;307,73;2,26;0,00;0,00;
0,00;0,00;307,93;2,26;0,00;0,00;
0,00;0,00;308,12;2,39;0,00;0,00;
0,00;0,00;308,31;2,44;0,00;0,00;
0,00;0,00;308,50;2,44;0,00;0,00;
0,00;0,00;308,69;2,47;0,00;0,00;
0,00;0,00;308,88;2,52;0,00;0,00;
0,00;0,00;309,08;2,61;0,00;0,00;
0,00;0,00;309,27;2,61;0,00;0,00;
0,00;0,00;309,46;2,61;0,00;0,00;
0,00;0,00;309,65;2,74;0,00;0,00;
0,00;0,00;309,85;2,78;0,00;0,00;
0,00;0,00;310,04;2,78;0,00;0,00;
0,00;0,00;310,23;2,82;0,00;0,00;
0,00;0,00;310,42;2,95;0,00;0,00;
0,00;0,00;310,61;2,95;0,00;0,00;
0,00;0,00;310,81;3,13;0,00;0,00;
0,00;0,00;311,00;3,57;0,00;0,00;
0,00;0,00;311,09;4,17;0,00;0,00;
0,00;0,00;311,09;4,13;0,00;0,00;
0,00;0,00;306,37;-0,18;0,00;0,00;
0,00;0,00;301,69;-0,09;0,00;0,00;
0,00;0,00;296,88;-0,04;0,00;0,00;
0,00;0,00;287,28;0,04;0,00;0,00;
0,00;0,00;282,48;0,04;0,00;0,00;
0,00;0,00;263,28;0,04;0,00;0,00;
0,00;0,00;258,48;0,04;0,00;0,00;
0,00;0,00;253,68;0,04;0,00;0,00;
0,00;0,00;248,88;0,04;0,00;0,00;
0,00;0,00;244,08;0,04;0,00;0,00;
0,00;0,00;239,28;0,04;0,00;0,00;
0,00;0,00;229,68;-0,04;0,00;0,00;
0,00;0,00;224,88;-0,04;0,00;0,00;
0,00;0,00;210,48;-0,04;0,00;0,00;
0,00;0,00;205,68;-0,04;0,00;0,00;
0,00;0,00;186,48;0,04;0,00;0,00;
0,00;0,00;176,88;-0,04;0,00;0,00;
0,00;0,00;172,08;0,04;0,00;0,00;
0,00;0,00;167,28;0,04;0,00;0,00;
0,00;0,00;152,88;0,04;0,00;0,00;
0,00;0,00;148,08;0,04;0,00;0,00;
0,00;0,00;143,28;0,04;0,00;0,00;
0,00;0,00;133,68;0,09;0,00;0,00;
0,00;0,00;128,88;-0,04;0,00;0,00;
0,00;0,00;124,08;0,04;0,00;0,00;
0,00;0,00;119,28;0,04;0,00;0,00;
0,00;0,00;109,68;-0,04;0,00;0,00;
0,00;0,00;104,88;0,04;0,00;0,00;
0,00;0,00;76,15;0,08;0,00;0,00;
0,00;0,00;72,93;0,09;0,00;0,00;
0,00;0,00;71,60;0,04;0,00;0,00;
