10483;29.04.21 11:42:30;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210429091252A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,02;0,00;0,00;
0,00;0,00;0,05;0,14;0,00;0,00;
0,00;0,00;0,60;0,11;0,00;0,00;
0,00;0,00;1,63;0,07;0,00;0,00;
0,00;0,00;3,15;0,11;0,00;0,00;
0,00;0,00;5,20;0,14;0,00;0,00;
0,00;0,00;7,76;0,18;0,00;0,00;
0,00;0,00;10,82;-0,05;0,00;0,00;
0,00;0,00;13,94;0,05;0,00;0,00;
0,00;0,00;17,12;0,20;0,00;0,00;
0,00;0,00;20,35;0,05;0,00;0,00;
0,00;0,00;23,54;0,02;0,00;0,00;
0,00;0,00;26,74;0,05;0,00;0,00;
0,00;0,00;29,95;0,09;0,00;0,00;
0,00;0,00;33,15;0,13;0,00;0,00;
0,00;0,00;36,35;-0,02;0,00;0,00;
0,00;0,00;39,55;0,02;0,00;0,00;
0,00;0,00;42,75;0,02;0,00;0,00;
0,00;0,00;45,95;0,09;0,00;0,00;
0,00;0,00;49,15;0,09;0,00;0,00;
0,00;0,00;52,35;0,02;0,00;0,00;
0,00;0,00;55,55;0,02;0,00;0,00;
0,00;0,00;58,75;0,02;0,00;0,00;
0,00;0,00;61,95;0,05;0,00;0,00;
0,00;0,00;65,15;0,11;0,00;0,00;
0,00;0,00;68,35;0,02;0,00;0,00;
0,00;0,00;71,55;0,09;0,00;0,00;
0,00;0,00;74,75;0,09;0,00;0,00;
0,00;0,00;77,95;0,05;0,00;0,00;
0,00;0,00;81,15;0,13;0,00;0,00;
0,00;0,00;84,35;0,02;0,00;0,00;
0,00;0,00;90,75;0,09;0,00;0,00;
0,00;0,00;93,95;0,09;0,00;0,00;
0,00;0,00;97,15;0,11;0,00;0,00;
0,00;0,00;100,35;0,05;0,00;0,00;
0,00;0,00;103,55;0,07;0,00;0,00;
0,00;0,00;106,75;0,07;0,00;0,00;
0,00;0,00;109,95;0,05;0,00;0,00;
0,00;0,00;113,15;0,13;0,00;0,00;
0,00;0,00;116,35;0,02;0,00;0,00;
0,00;0,00;119,55;0,05;0,00;0,00;
0,00;0,00;122,75;0,09;0,00;0,00;
0,00;0,00;125,95;0,05;0,00;0,00;
0,00;0,00;129,15;0,09;0,00;0,00;
0,00;0,00;132,35;0,05;0,00;0,00;
0,00;0,00;135,55;0,02;0,00;0,00;
0,00;0,00;138,75;0,05;0,00;0,00;
0,00;0,00;141,95;0,05;0,00;0,00;
0,00;0,00;145,15;0,16;0,00;0,00;
0,00;0,00;148,35;0,02;0,00;0,00;
0,00;0,00;151,32;-0,07;0,00;0,00;
0,00;0,00;153,78;-0,02;0,00;0,00;
0,00;0,00;155,79;-0,02;0,00;0,00;
0,00;0,00;158,29;-0,05;0,00;0,00;
0,00;0,00;158,78;-0,09;0,00;0,00;
0,00;0,00;158,89;-0,02;0,00;0,00;
0,00;0,00;158,97;0,07;0,00;0,00;
0,00;0,00;159,11;0,02;0,00;0,00;
0,00;0,00;159,43;0,07;0,00;0,00;
0,00;0,00;159,59;0,20;0,00;0,00;
0,00;0,00;159,75;0,34;0,00;0,00;
0,00;0,00;159,89;3,82;0,00;0,00;
0,00;0,00;160,01;7,73;0,00;0,00;
0,00;0,00;160,09;10,24;0,00;0,00;
0,00;0,00;160,11;10,55;0,00;0,00;
0,00;0,00;160,12;10,87;0,00;0,00;
0,00;0,00;160,13;11,07;0,00;0,00;
0,00;0,00;160,14;11,30;0,00;0,00;
0,00;0,00;160,15;11,39;0,00;0,00;
0,00;0,00;160,16;11,50;0,00;0,00;
0,00;0,00;160,16;11,57;0,00;0,00;
0,00;0,00;160,16;11,57;0,00;0,00;
0,00;0,00;160,17;11,61;0,00;0,00;
0,00;0,00;160,17;11,59;0,00;0,00;
0,00;0,00;160,17;11,61;0,00;0,00;
0,00;0,00;160,17;11,61;0,00;0,00;
0,00;0,00;160,17;11,63;0,00;0,00;
