38075;03.05.21 13:46:22;21;Avvicinamento Pressata Fuori Ingombro;start interrupted (14);20210430165616P0038;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;22,54;0,53;0,00;0,00;
0,00;0,00;23,15;0,45;0,00;0,00;
0,00;0,00;24,11;0,37;0,00;0,00;
0,00;0,00;25,45;0,45;0,00;0,00;
0,00;0,00;27,19;0,37;0,00;0,00;
0,00;0,00;29,31;0,53;0,00;0,00;
0,00;0,00;31,67;0,37;0,00;0,00;
0,00;0,00;34,03;0,37;0,00;0,00;
0,00;0,00;36,44;0,30;0,00;0,00;
0,00;0,00;38,84;0,30;0,00;0,00;
0,00;0,00;41,25;0,30;0,00;0,00;
0,00;0,00;43,64;0,30;0,00;0,00;
0,00;0,00;46,05;0,30;0,00;0,00;
0,00;0,00;48,44;0,30;0,00;0,00;
0,00;0,00;50,85;0,30;0,00;0,00;
0,00;0,00;53,25;0,30;0,00;0,00;
0,00;0,00;55,64;0,30;0,00;0,00;
0,00;0,00;58,05;0,37;0,00;0,00;
0,00;0,00;60,45;0,37;0,00;0,00;
0,00;0,00;62,85;0,30;0,00;0,00;
0,00;0,00;65,25;0,30;0,00;0,00;
0,00;0,00;67,64;0,30;0,00;0,00;
0,00;0,00;70,05;0,30;0,00;0,00;
0,00;0,00;72,45;0,30;0,00;0,00;
0,00;0,00;74,85;0,30;0,00;0,00;
0,00;0,00;77,25;0,30;0,00;0,00;
0,00;0,00;79,64;0,30;0,00;0,00;
0,00;0,00;82,05;0,30;0,00;0,00;
0,00;0,00;84,45;0,30;0,00;0,00;
0,00;0,00;86,85;0,30;0,00;0,00;
0,00;0,00;89,25;0,30;0,00;0,00;
0,00;0,00;91,64;0,30;0,00;0,00;
0,00;0,00;94,05;0,30;0,00;0,00;
0,00;0,00;96,45;0,37;0,00;0,00;
0,00;0,00;98,85;0,30;0,00;0,00;
0,00;0,00;101,25;0,30;0,00;0,00;
0,00;0,00;103,64;0,30;0,00;0,00;
0,00;0,00;106,05;0,30;0,00;0,00;
0,00;0,00;108,45;0,37;0,00;0,00;
0,00;0,00;110,85;0,30;0,00;0,00;
0,00;0,00;113,25;0,30;0,00;0,00;
0,00;0,00;115,64;0,30;0,00;0,00;
0,00;0,00;118,05;0,30;0,00;0,00;
0,00;0,00;120,45;0,30;0,00;0,00;
0,00;0,00;122,85;0,30;0,00;0,00;
0,00;0,00;125,25;0,30;0,00;0,00;
0,00;0,00;127,64;0,30;0,00;0,00;
0,00;0,00;130,05;0,30;0,00;0,00;
0,00;0,00;132,45;0,30;0,00;0,00;
0,00;0,00;134,85;0,30;0,00;0,00;
0,00;0,00;137,25;0,30;0,00;0,00;
