18431;06.05.21 11:06:48;21;Avvicinamento Pressata Finale;position > max position (10);20210506100348P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;29,10;-0,13;0,00;0,00;
0,00;0,00;33,30;0,04;0,00;0,00;
0,00;0,00;52,32;-0,04;0,00;0,00;
0,00;0,00;57,12;0,04;0,00;0,00;
0,00;0,00;66,72;-0,04;0,00;0,00;
0,00;0,00;81,12;-0,04;0,00;0,00;
0,00;0,00;85,92;-0,04;0,00;0,00;
0,00;0,00;90,72;-0,04;0,00;0,00;
0,00;0,00;95,52;-0,04;0,00;0,00;
0,00;0,00;100,32;-0,04;0,00;0,00;
0,00;0,00;109,92;-0,04;0,00;0,00;
0,00;0,00;119,52;0,04;0,00;0,00;
0,00;0,00;133,92;-0,04;0,00;0,00;
0,00;0,00;157,92;-0,04;0,00;0,00;
0,00;0,00;167,52;-0,04;0,00;0,00;
0,00;0,00;172,32;-0,09;0,00;0,00;
0,00;0,00;186,72;-0,04;0,00;0,00;
0,00;0,00;191,52;-0,04;0,00;0,00;
0,00;0,00;201,12;-0,04;0,00;0,00;
0,00;0,00;205,92;-0,04;0,00;0,00;
0,00;0,00;225,12;-0,04;0,00;0,00;
0,00;0,00;229,92;-0,04;0,00;0,00;
0,00;0,00;234,72;-0,04;0,00;0,00;
0,00;0,00;249,12;-0,04;0,00;0,00;
0,00;0,00;253,92;-0,04;0,00;0,00;
0,00;0,00;268,32;-0,04;0,00;0,00;
0,00;0,00;282,72;0,04;0,00;0,00;
0,00;0,00;292,32;-0,04;0,00;0,00;
0,00;0,00;306,41;-0,04;0,00;0,00;
0,00;0,00;309,15;-0,04;0,00;0,00;
0,00;0,00;309,94;-0,04;0,00;0,00;
0,00;0,00;315,00;0,13;0,00;0,00;
0,00;0,00;315,32;0,18;0,00;0,00;
0,00;0,00;315,64;0,18;0,00;0,00;
0,00;0,00;315,96;0,18;0,00;0,00;
0,00;0,00;316,28;0,04;0,00;0,00;
0,00;0,00;316,60;0,13;0,00;0,00;
0,00;0,00;316,92;0,39;0,00;0,00;
0,00;0,00;317,23;1,09;0,00;0,00;
0,00;0,00;317,56;1,13;0,00;0,00;
0,00;0,00;317,88;1,22;0,00;0,00;
0,00;0,00;318,20;1,40;0,00;0,00;
0,00;0,00;318,52;1,40;0,00;0,00;
0,00;0,00;318,84;1,48;0,00;0,00;
0,00;0,00;319,16;1,61;0,00;0,00;
0,00;0,00;319,48;1,61;0,00;0,00;
0,00;0,00;319,80;1,74;0,00;0,00;
0,00;0,00;320,12;1,82;0,00;0,00;
0,00;0,00;320,44;1,91;0,00;0,00;
0,00;0,00;320,76;1,96;0,00;0,00;
0,00;0,00;321,08;2,00;0,00;0,00;
0,00;0,00;321,40;2,09;0,00;0,00;
0,00;0,00;321,72;2,13;0,00;0,00;
0,00;0,00;322,04;2,27;0,00;0,00;
0,00;0,00;322,36;2,27;0,00;0,00;
0,00;0,00;322,68;2,39;0,00;0,00;
0,00;0,00;323,00;2,39;0,00;0,00;
0,00;0,00;323,32;2,44;0,00;0,00;
0,00;0,00;323,64;2,57;0,00;0,00;
0,00;0,00;323,96;2,74;0,00;0,00;
0,00;0,00;324,28;2,74;0,00;0,00;
0,00;0,00;324,60;2,83;0,00;0,00;
0,00;0,00;324,92;2,83;0,00;0,00;
0,00;0,00;325,24;3,00;0,00;0,00;
0,00;0,00;325,56;3,04;0,00;0,00;
0,00;0,00;325,88;3,09;0,00;0,00;
0,00;0,00;326,20;3,09;0,00;0,00;
0,00;0,00;326,52;3,22;0,00;0,00;
0,00;0,00;326,84;3,30;0,00;0,00;
0,00;0,00;327,16;3,43;0,00;0,00;
0,00;0,00;327,48;3,52;0,00;0,00;
0,00;0,00;327,80;3,66;0,00;0,00;
0,00;0,00;328,12;3,61;0,00;0,00;
0,00;0,00;328,44;3,57;0,00;0,00;
0,00;0,00;328,76;3,66;0,00;0,00;
0,00;0,00;329,08;3,79;0,00;0,00;
0,00;0,00;329,40;3,79;0,00;0,00;
0,00;0,00;329,72;3,83;0,00;0,00;
0,00;0,00;330,04;3,91;0,00;0,00;
0,00;0,00;330,36;4,00;0,00;0,00;
0,00;0,00;330,68;3,96;0,00;0,00;
0,00;0,00;331,00;4,05;0,00;0,00;
0,00;0,00;331,32;4,18;0,00;0,00;
0,00;0,00;331,59;13,92;0,00;0,00;
0,00;0,00;331,59;14,27;0,00;0,00;
0,00;0,00;331,60;14,75;0,00;0,00;
0,00;0,00;331,61;15,13;0,00;0,00;
0,00;0,00;331,61;15,52;0,00;0,00;
0,00;0,00;331,61;15,65;0,00;0,00;
0,00;0,00;331,62;15,79;0,00;0,00;
0,00;0,00;331,62;15,83;0,00;0,00;
0,00;0,00;331,62;15,83;0,00;0,00;
0,00;0,00;331,62;15,92;0,00;0,00;
