19637;20.05.21 14:52:02;21;Avvicinamento Pressata Finale;start interrupted (14);20210520082231P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;71,50;-0,04;0,00;0,00;
0,00;0,00;72,62;0,09;0,00;0,00;
0,00;0,00;75,70;0,09;0,00;0,00;
0,00;0,00;80,32;0,09;0,00;0,00;
0,00;0,00;85,12;0,09;0,00;0,00;
0,00;0,00;94,72;0,09;0,00;0,00;
0,00;0,00;99,52;0,04;0,00;0,00;
0,00;0,00;104,32;0,04;0,00;0,00;
0,00;0,00;109,12;0,09;0,00;0,00;
0,00;0,00;118,72;0,09;0,00;0,00;
0,00;0,00;123,52;0,04;0,00;0,00;
0,00;0,00;128,32;0,04;0,00;0,00;
0,00;0,00;133,12;0,09;0,00;0,00;
0,00;0,00;137,92;0,04;0,00;0,00;
0,00;0,00;142,72;0,04;0,00;0,00;
0,00;0,00;147,52;0,04;0,00;0,00;
0,00;0,00;157,12;0,04;0,00;0,00;
0,00;0,00;161,92;0,09;0,00;0,00;
0,00;0,00;176,32;0,04;0,00;0,00;
0,00;0,00;181,12;0,09;0,00;0,00;
0,00;0,00;185,92;-0,04;0,00;0,00;
0,00;0,00;190,72;0,04;0,00;0,00;
0,00;0,00;195,52;0,04;0,00;0,00;
0,00;0,00;205,12;0,04;0,00;0,00;
0,00;0,00;219,52;0,04;0,00;0,00;
0,00;0,00;224,32;0,04;0,00;0,00;
0,00;0,00;238,72;0,04;0,00;0,00;
0,00;0,00;243,52;0,04;0,00;0,00;
0,00;0,00;248,32;0,04;0,00;0,00;
0,00;0,00;257,92;0,04;0,00;0,00;
0,00;0,00;262,72;0,04;0,00;0,00;
0,00;0,00;267,52;0,04;0,00;0,00;
0,00;0,00;281,92;0,04;0,00;0,00;
0,00;0,00;290,53;-0,04;0,00;0,00;
0,00;0,00;290,61;0,09;0,00;0,00;
0,00;0,00;290,79;0,04;0,00;0,00;
0,00;0,00;291,10;0,09;0,00;0,00;
0,00;0,00;291,42;0,09;0,00;0,00;
0,00;0,00;291,74;0,09;0,00;0,00;
0,00;0,00;292,06;0,52;0,00;0,00;
0,00;0,00;292,38;0,84;0,00;0,00;
0,00;0,00;292,70;0,35;0,00;0,00;
0,00;0,00;293,01;1,31;0,00;0,00;
0,00;0,00;293,34;0,83;0,00;0,00;
0,00;0,00;293,66;0,75;0,00;0,00;
0,00;0,00;293,97;1,14;0,00;0,00;
0,00;0,00;294,30;1,44;0,00;0,00;
0,00;0,00;294,61;1,74;0,00;0,00;
0,00;0,00;294,94;2,05;0,00;0,00;
0,00;0,00;295,26;1,09;0,00;0,00;
0,00;0,00;295,58;1,57;0,00;0,00;
0,00;0,00;295,89;2,87;0,00;0,00;
0,00;0,00;296,21;2,87;0,00;0,00;
0,00;0,00;296,53;3,31;0,00;0,00;
0,00;0,00;296,86;3,40;0,00;0,00;
0,00;0,00;297,18;3,05;0,00;0,00;
0,00;0,00;297,50;2,09;0,00;0,00;
0,00;0,00;297,82;2,05;0,00;0,00;
0,00;0,00;298,14;2,13;0,00;0,00;
0,00;0,00;298,46;2,36;0,00;0,00;
0,00;0,00;298,77;2,78;0,00;0,00;
0,00;0,00;299,10;2,61;0,00;0,00;
0,00;0,00;299,42;2,61;0,00;0,00;
0,00;0,00;299,73;2,66;0,00;0,00;
0,00;0,00;300,06;1,65;0,00;0,00;
0,00;0,00;300,38;1,91;0,00;0,00;
0,00;0,00;300,70;2,05;0,00;0,00;
0,00;0,00;301,02;2,05;0,00;0,00;
0,00;0,00;301,34;2,05;0,00;0,00;
0,00;0,00;301,66;2,00;0,00;0,00;
0,00;0,00;301,98;2,22;0,00;0,00;
0,00;0,00;302,29;2,66;0,00;0,00;
0,00;0,00;302,62;2,78;0,00;0,00;
0,00;0,00;302,94;2,87;0,00;0,00;
0,00;0,00;303,26;3,10;0,00;0,00;
0,00;0,00;303,58;3,44;0,00;0,00;
0,00;0,00;303,89;3,97;0,00;0,00;
0,00;0,00;304,22;4,22;0,00;0,00;
0,00;0,00;304,53;5,09;0,00;0,00;
0,00;0,00;304,85;5,96;0,00;0,00;
0,00;0,00;305,17;6,92;0,00;0,00;
0,00;0,00;305,49;8,40;0,00;0,00;
0,00;0,00;305,81;10,10;0,00;0,00;
0,00;0,00;306,12;11,79;0,00;0,00;
0,00;0,00;306,44;13,35;0,00;0,00;
0,00;0,00;306,76;15,18;0,00;0,00;
0,00;0,00;307,08;18,09;0,00;0,00;
0,00;0,00;307,40;18,36;0,00;0,00;
0,00;0,00;307,73;20,83;0,00;0,00;
0,00;0,00;308,02;25,36;0,00;0,00;
0,00;0,00;308,38;21,61;0,00;0,00;
0,00;0,00;308,73;15,35;0,00;0,00;
0,00;0,00;309,07;8,31;0,00;0,00;
0,00;0,00;309,35;8,49;0,00;0,00;
0,00;0,00;309,66;7,83;0,00;0,00;
0,00;0,00;309,98;7,57;0,00;0,00;
0,00;0,00;310,30;7,66;0,00;0,00;
0,00;0,00;310,62;7,79;0,00;0,00;
0,00;0,00;310,94;7,92;0,00;0,00;
0,00;0,00;311,26;8,01;0,00;0,00;
0,00;0,00;311,57;10,40;0,00;0,00;
0,00;0,00;311,89;10,96;0,00;0,00;
0,00;0,00;312,23;8,14;0,00;0,00;
0,00;0,00;312,54;8,44;0,00;0,00;
0,00;0,00;312,86;8,49;0,00;0,00;
0,00;0,00;313,18;8,62;0,00;0,00;
0,00;0,00;313,50;8,66;0,00;0,00;
0,00;0,00;313,82;8,92;0,00;0,00;
0,00;0,00;313,95;10,05;0,00;0,00;
0,00;0,00;313,79;4,22;0,00;0,00;
0,00;0,00;308,06;-0,35;0,00;0,00;
0,00;0,00;303,35;-0,73;0,00;0,00;
0,00;0,00;298,53;-0,65;0,00;0,00;
0,00;0,00;293,73;0,48;0,00;0,00;
0,00;0,00;288,93;-0,21;0,00;0,00;
0,00;0,00;284,13;0,09;0,00;0,00;
0,00;0,00;279,33;-0,04;0,00;0,00;
0,00;0,00;260,13;-0,04;0,00;0,00;
