47779;24.06.21 08:09:32;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position > max position (10);20210623135008P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;142,80;-0,08;0,00;0,00;
0,00;0,00;143,31;0,08;0,00;0,00;
0,00;0,00;144,08;0,16;0,00;0,00;
0,00;0,00;148,70;0,08;0,00;0,00;
0,00;0,00;151,00;0,16;0,00;0,00;
0,00;0,00;153,34;0,08;0,00;0,00;
0,00;0,00;162,95;0,08;0,00;0,00;
0,00;0,00;169,09;-0,08;0,00;0,00;
0,00;0,00;178,11;0,83;0,00;0,00;
0,00;0,00;178,26;2,66;0,00;0,00;
0,00;0,00;178,42;3,04;0,00;0,00;
0,00;0,00;178,59;3,04;0,00;0,00;
0,00;0,00;178,75;3,19;0,00;0,00;
0,00;0,00;178,91;3,04;0,00;0,00;
0,00;0,00;179,07;3,04;0,00;0,00;
0,00;0,00;179,23;3,12;0,00;0,00;
0,00;0,00;179,39;3,35;0,00;0,00;
0,00;0,00;179,55;3,35;0,00;0,00;
0,00;0,00;179,71;3,43;0,00;0,00;
0,00;0,00;179,87;3,43;0,00;0,00;
0,00;0,00;180,03;3,58;0,00;0,00;
0,00;0,00;180,19;3,66;0,00;0,00;
0,00;0,00;180,35;3,66;0,00;0,00;
0,00;0,00;180,51;3,66;0,00;0,00;
0,00;0,00;180,67;3,66;0,00;0,00;
0,00;0,00;180,83;3,80;0,00;0,00;
0,00;0,00;180,99;3,96;0,00;0,00;
0,00;0,00;181,15;3,96;0,00;0,00;
0,00;0,00;181,31;4,19;0,00;0,00;
0,00;0,00;181,47;4,11;0,00;0,00;
0,00;0,00;181,63;4,27;0,00;0,00;
0,00;0,00;181,79;4,27;0,00;0,00;
0,00;0,00;181,95;4,41;0,00;0,00;
0,00;0,00;182,11;4,49;0,00;0,00;
0,00;0,00;182,27;4,56;0,00;0,00;
0,00;0,00;182,43;4,56;0,00;0,00;
0,00;0,00;182,59;4,72;0,00;0,00;
0,00;0,00;182,75;4,88;0,00;0,00;
0,00;0,00;182,91;4,88;0,00;0,00;
0,00;0,00;183,07;5,09;0,00;0,00;
0,00;0,00;183,23;5,09;0,00;0,00;
0,00;0,00;183,39;5,17;0,00;0,00;
0,00;0,00;183,55;5,25;0,00;0,00;
0,00;0,00;183,71;5,40;0,00;0,00;
0,00;0,00;183,87;5,48;0,00;0,00;
0,00;0,00;184,03;5,54;0,00;0,00;
0,00;0,00;184,19;5,54;0,00;0,00;
0,00;0,00;184,35;5,54;0,00;0,00;
0,00;0,00;184,51;5,78;0,00;0,00;
0,00;0,00;184,67;5,78;0,00;0,00;
0,00;0,00;184,83;5,86;0,00;0,00;
0,00;0,00;184,99;5,93;0,00;0,00;
0,00;0,00;185,15;6,01;0,00;0,00;
0,00;0,00;185,31;6,09;0,00;0,00;
0,00;0,00;185,47;6,09;0,00;0,00;
0,00;0,00;185,63;6,39;0,00;0,00;
0,00;0,00;185,79;6,39;0,00;0,00;
0,00;0,00;185,95;6,39;0,00;0,00;
0,00;0,00;186,11;6,46;0,00;0,00;
0,00;0,00;186,27;6,62;0,00;0,00;
0,00;0,00;186,43;6,70;0,00;0,00;
0,00;0,00;186,59;6,70;0,00;0,00;
0,00;0,00;186,75;7,01;0,00;0,00;
0,00;0,00;186,91;7,01;0,00;0,00;
0,00;0,00;187,07;7,01;0,00;0,00;
0,00;0,00;187,23;7,15;0,00;0,00;
0,00;0,00;187,39;7,07;0,00;0,00;
0,00;0,00;187,55;7,30;0,00;0,00;
0,00;0,00;187,71;7,38;0,00;0,00;
0,00;0,00;187,87;7,30;0,00;0,00;
0,00;0,00;188,03;7,38;0,00;0,00;
0,00;0,00;188,19;7,62;0,00;0,00;
0,00;0,00;188,35;7,62;0,00;0,00;
0,00;0,00;188,51;7,83;0,00;0,00;
0,00;0,00;188,58;6,01;0,00;0,00;
0,00;0,00;188,60;6,31;0,00;0,00;
0,00;0,00;188,61;6,70;0,00;0,00;
0,00;0,00;188,61;6,46;0,00;0,00;
0,00;0,00;188,61;6,39;0,00;0,00;
0,00;0,00;188,60;6,15;0,00;0,00;
0,00;0,00;188,60;6,09;0,00;0,00;
0,00;0,00;188,60;6,09;0,00;0,00;
0,00;0,00;188,60;6,01;0,00;0,00;
0,00;0,00;188,60;5,78;0,00;0,00;
0,00;0,00;188,60;5,78;0,00;0,00;
0,00;0,00;188,60;5,78;0,00;0,00;
0,00;0,00;188,60;5,78;0,00;0,00;
0,00;0,00;188,60;5,78;0,00;0,00;
