23813;06.07.21 10:59:32;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);20210705081019P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;11,50;0,01;0,00;0,00;
0,00;0,00;11,76;0,07;0,00;0,00;
0,00;0,00;12,55;0,06;0,00;0,00;
0,00;0,00;13,84;0,05;0,00;0,00;
0,00;0,00;15,65;0,07;0,00;0,00;
0,00;0,00;17,97;0,05;0,00;0,00;
0,00;0,00;20,80;0,07;0,00;0,00;
0,00;0,00;24,14;0,07;0,00;0,00;
0,00;0,00;27,62;0,04;0,00;0,00;
0,00;0,00;31,15;0,04;0,00;0,00;
0,00;0,00;34,66;0,04;0,00;0,00;
0,00;0,00;38,19;0,03;0,00;0,00;
0,00;0,00;41,71;0,04;0,00;0,00;
0,00;0,00;45,23;0,04;0,00;0,00;
0,00;0,00;48,75;0,04;0,00;0,00;
0,00;0,00;52,27;0,04;0,00;0,00;
0,00;0,00;55,79;0,04;0,00;0,00;
0,00;0,00;59,31;0,04;0,00;0,00;
0,00;0,00;62,83;0,03;0,00;0,00;
0,00;0,00;66,35;0,04;0,00;0,00;
0,00;0,00;69,87;0,04;0,00;0,00;
0,00;0,00;73,39;0,04;0,00;0,00;
0,00;0,00;76,91;0,03;0,00;0,00;
0,00;0,00;80,43;0,04;0,00;0,00;
0,00;0,00;83,95;0,04;0,00;0,00;
0,00;0,00;87,47;0,04;0,00;0,00;
0,00;0,00;90,99;0,05;0,00;0,00;
0,00;0,00;94,51;0,04;0,00;0,00;
0,00;0,00;98,03;0,04;0,00;0,00;
0,00;0,00;101,55;0,04;0,00;0,00;
0,00;0,00;105,07;0,05;0,00;0,00;
0,00;0,00;108,58;0,04;0,00;0,00;
0,00;0,00;112,11;0,04;0,00;0,00;
0,00;0,00;115,63;0,04;0,00;0,00;
0,00;0,00;119,15;0,05;0,00;0,00;
0,00;0,00;122,50;0,04;0,00;0,00;
0,00;0,00;125,39;0,02;0,00;0,00;
0,00;0,00;127,77;0,02;0,00;0,00;
0,00;0,00;129,67;0,01;0,00;0,00;
0,00;0,00;131,06;0,01;0,00;0,00;
0,00;0,00;131,96;0,01;0,00;0,00;
0,00;0,00;132,41;0,02;0,00;0,00;
0,00;0,00;132,41;0,02;0,00;0,00;
0,00;0,00;132,46;0,03;0,00;0,00;
0,00;0,00;132,54;0,01;0,00;0,00;
0,00;0,00;132,62;0,03;0,00;0,00;
0,00;0,00;132,70;0,03;0,00;0,00;
0,00;0,00;132,78;0,02;0,00;0,00;
0,00;0,00;132,86;0,03;0,00;0,00;
0,00;0,00;132,95;0,03;0,00;0,00;
0,00;0,00;133,02;0,02;0,00;0,00;
0,00;0,00;133,10;0,02;0,00;0,00;
0,00;0,00;133,18;0,03;0,00;0,00;
0,00;0,00;133,27;0,03;0,00;0,00;
0,00;0,00;133,34;0,03;0,00;0,00;
0,00;0,00;133,42;0,03;0,00;0,00;
0,00;0,00;133,51;0,03;0,00;0,00;
0,00;0,00;133,59;0,02;0,00;0,00;
0,00;0,00;133,66;0,03;0,00;0,00;
0,00;0,00;133,74;0,03;0,00;0,00;
0,00;0,00;133,82;0,03;0,00;0,00;
0,00;0,00;133,90;0,03;0,00;0,00;
0,00;0,00;133,98;0,03;0,00;0,00;
0,00;0,00;134,06;0,03;0,00;0,00;
0,00;0,00;134,15;0,03;0,00;0,00;
0,00;0,00;134,23;0,03;0,00;0,00;
0,00;0,00;134,30;0,03;0,00;0,00;
0,00;0,00;134,38;0,03;0,00;0,00;
0,00;0,00;134,46;0,03;0,00;0,00;
0,00;0,00;134,54;0,03;0,00;0,00;
0,00;0,00;134,62;0,03;0,00;0,00;
0,00;0,00;134,70;0,03;0,00;0,00;
0,00;0,00;134,79;0,03;0,00;0,00;
0,00;0,00;134,87;0,03;0,00;0,00;
0,00;0,00;134,94;0,03;0,00;0,00;
0,00;0,00;135,02;0,03;0,00;0,00;
0,00;0,00;135,10;0,03;0,00;0,00;
0,00;0,00;135,18;0,03;0,00;0,00;
0,00;0,00;135,26;0,03;0,00;0,00;
0,00;0,00;135,34;0,03;0,00;0,00;
0,00;0,00;135,42;0,03;0,00;0,00;
0,00;0,00;135,50;0,03;0,00;0,00;
0,00;0,00;135,58;0,03;0,00;0,00;
0,00;0,00;135,66;0,02;0,00;0,00;
0,00;0,00;135,74;0,03;0,00;0,00;
0,00;0,00;135,82;0,03;0,00;0,00;
0,00;0,00;135,90;0,03;0,00;0,00;
0,00;0,00;135,99;0,03;0,00;0,00;
0,00;0,00;136,07;0,03;0,00;0,00;
0,00;0,00;136,14;0,03;0,00;0,00;
0,00;0,00;136,22;0,03;0,00;0,00;
0,00;0,00;136,30;0,03;0,00;0,00;
0,00;0,00;136,38;0,03;0,00;0,00;
0,00;0,00;136,46;0,03;0,00;0,00;
0,00;0,00;136,54;0,03;0,00;0,00;
0,00;0,00;136,62;0,03;0,00;0,00;
0,00;0,00;136,71;0,03;0,00;0,00;
0,00;0,00;136,78;0,03;0,00;0,00;
0,00;0,00;136,86;0,03;0,00;0,00;
0,00;0,00;136,94;0,03;0,00;0,00;
0,00;0,00;137,02;0,03;0,00;0,00;
0,00;0,00;137,10;0,03;0,00;0,00;
0,00;0,00;137,19;0,03;0,00;0,00;
0,00;0,00;137,26;0,03;0,00;0,00;
0,00;0,00;137,35;0,03;0,00;0,00;
0,00;0,00;137,42;0,03;0,00;0,00;
0,00;0,00;137,50;0,03;0,00;0,00;
0,00;0,00;137,59;0,03;0,00;0,00;
