22636;05.07.21 11:00:04;21;Avvicinamento Pressata Finale;position < min position (11);20210705084444P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;33,30;0,04;0,00;0,00;
0,00;0,00;47,52;0,04;0,00;0,00;
0,00;0,00;71,52;0,04;0,00;0,00;
0,00;0,00;76,32;-0,04;0,00;0,00;
0,00;0,00;85,92;-0,04;0,00;0,00;
0,00;0,00;90,72;-0,09;0,00;0,00;
0,00;0,00;95,52;-0,09;0,00;0,00;
0,00;0,00;100,32;-0,04;0,00;0,00;
0,00;0,00;105,12;0,04;0,00;0,00;
0,00;0,00;109,92;0,04;0,00;0,00;
0,00;0,00;124,32;-0,04;0,00;0,00;
0,00;0,00;133,92;-0,09;0,00;0,00;
0,00;0,00;138,72;-0,04;0,00;0,00;
0,00;0,00;148,32;0,04;0,00;0,00;
0,00;0,00;157,92;-0,04;0,00;0,00;
0,00;0,00;167,52;0,04;0,00;0,00;
0,00;0,00;205,92;-0,04;0,00;0,00;
0,00;0,00;220,32;0,04;0,00;0,00;
0,00;0,00;225,12;0,04;0,00;0,00;
0,00;0,00;229,92;0,04;0,00;0,00;
0,00;0,00;234,72;0,08;0,00;0,00;
0,00;0,00;239,52;0,04;0,00;0,00;
0,00;0,00;244,32;0,04;0,00;0,00;
0,00;0,00;249,12;0,04;0,00;0,00;
0,00;0,00;253,92;0,04;0,00;0,00;
0,00;0,00;258,72;0,04;0,00;0,00;
0,00;0,00;263,52;0,08;0,00;0,00;
0,00;0,00;268,32;0,08;0,00;0,00;
0,00;0,00;273,12;-0,04;0,00;0,00;
0,00;0,00;277,92;-0,04;0,00;0,00;
0,00;0,00;287,13;-0,04;0,00;0,00;
0,00;0,00;289,81;-0,04;0,00;0,00;
0,00;0,00;290,60;-0,09;0,00;0,00;
0,00;0,00;291,11;0,04;0,00;0,00;
0,00;0,00;291,44;0,04;0,00;0,00;
0,00;0,00;291,76;0,04;0,00;0,00;
0,00;0,00;292,08;0,04;0,00;0,00;
0,00;0,00;292,40;0,04;0,00;0,00;
0,00;0,00;292,72;0,04;0,00;0,00;
0,00;0,00;293,04;0,04;0,00;0,00;
0,00;0,00;293,36;0,04;0,00;0,00;
0,00;0,00;293,68;0,04;0,00;0,00;
0,00;0,00;294,00;0,04;0,00;0,00;
0,00;0,00;294,32;0,04;0,00;0,00;
0,00;0,00;294,64;0,04;0,00;0,00;
0,00;0,00;294,96;0,04;0,00;0,00;
0,00;0,00;295,28;0,04;0,00;0,00;
0,00;0,00;295,60;0,04;0,00;0,00;
0,00;0,00;295,92;0,04;0,00;0,00;
0,00;0,00;296,24;0,04;0,00;0,00;
0,00;0,00;296,56;0,04;0,00;0,00;
0,00;0,00;296,88;0,04;0,00;0,00;
0,00;0,00;297,20;0,04;0,00;0,00;
0,00;0,00;297,52;0,17;0,00;0,00;
0,00;0,00;297,84;0,21;0,00;0,00;
0,00;0,00;298,16;0,30;0,00;0,00;
0,00;0,00;298,48;0,26;0,00;0,00;
0,00;0,00;298,80;0,35;0,00;0,00;
0,00;0,00;299,12;0,35;0,00;0,00;
0,00;0,00;299,44;0,56;0,00;0,00;
0,00;0,00;299,75;1,13;0,00;0,00;
0,00;0,00;300,07;2,17;0,00;0,00;
0,00;0,00;300,39;2,26;0,00;0,00;
0,00;0,00;300,72;2,30;0,00;0,00;
0,00;0,00;301,04;2,44;0,00;0,00;
0,00;0,00;301,36;2,52;0,00;0,00;
0,00;0,00;301,68;2,70;0,00;0,00;
0,00;0,00;302,00;2,83;0,00;0,00;
0,00;0,00;302,31;4,34;0,00;0,00;
0,00;0,00;302,62;6,60;0,00;0,00;
0,00;0,00;302,93;10,87;0,00;0,00;
0,00;0,00;302,95;11,00;0,00;0,00;
0,00;0,00;302,95;11,13;0,00;0,00;
0,00;0,00;302,95;11,26;0,00;0,00;
0,00;0,00;302,96;11,30;0,00;0,00;
0,00;0,00;302,96;11,26;0,00;0,00;
0,00;0,00;302,96;11,35;0,00;0,00;
0,00;0,00;302,96;11,30;0,00;0,00;
0,00;0,00;302,96;11,30;0,00;0,00;
