25587;06.08.21 10:09:33;21;Avvicinamento Pressata Finale;force < min. force (9);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,12;0,08;0,00;0,00;
0,00;0,00;4,20;-0,01;0,00;0,00;
0,00;0,00;8,82;0,04;0,00;0,00;
0,00;0,00;13,62;0,04;0,00;0,00;
0,00;0,00;18,42;0,04;0,00;0,00;
0,00;0,00;42,42;0,04;0,00;0,00;
0,00;0,00;52,02;-0,04;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;76,02;0,04;0,00;0,00;
0,00;0,00;80,82;0,04;0,00;0,00;
0,00;0,00;95,22;-0,01;0,00;0,00;
0,00;0,00;100,02;0,04;0,00;0,00;
0,00;0,00;109,62;0,04;0,00;0,00;
0,00;0,00;148,02;-0,04;0,00;0,00;
0,00;0,00;172,02;-0,01;0,00;0,00;
0,00;0,00;176,82;0,04;0,00;0,00;
0,00;0,00;181,62;0,04;0,00;0,00;
0,00;0,00;191,22;0,04;0,00;0,00;
0,00;0,00;196,02;0,04;0,00;0,00;
0,00;0,00;200,82;0,04;0,00;0,00;
0,00;0,00;210,42;0,04;0,00;0,00;
0,00;0,00;215,22;0,08;0,00;0,00;
0,00;0,00;220,02;0,08;0,00;0,00;
0,00;0,00;234,42;0,08;0,00;0,00;
0,00;0,00;248,82;0,04;0,00;0,00;
0,00;0,00;253,62;0,04;0,00;0,00;
0,00;0,00;258,42;0,04;0,00;0,00;
0,00;0,00;263,22;0,08;0,00;0,00;
0,00;0,00;272,75;-0,01;0,00;0,00;
0,00;0,00;275,97;0,04;0,00;0,00;
0,00;0,00;277,40;0,04;0,00;0,00;
0,00;0,00;277,55;0,04;0,00;0,00;
0,00;0,00;278,50;0,04;0,00;0,00;
0,00;0,00;278,82;0,04;0,00;0,00;
0,00;0,00;279,46;0,04;0,00;0,00;
0,00;0,00;279,78;0,08;0,00;0,00;
0,00;0,00;280,10;0,04;0,00;0,00;
0,00;0,00;280,74;0,12;0,00;0,00;
0,00;0,00;281,06;0,35;0,00;0,00;
0,00;0,00;281,38;0,35;0,00;0,00;
0,00;0,00;281,70;0,47;0,00;0,00;
0,00;0,00;282,02;0,65;0,00;0,00;
0,00;0,00;282,33;1,34;0,00;0,00;
0,00;0,00;282,65;2,08;0,00;0,00;
0,00;0,00;282,98;1,95;0,00;0,00;
0,00;0,00;283,30;1,99;0,00;0,00;
0,00;0,00;283,62;1,91;0,00;0,00;
0,00;0,00;283,94;1,91;0,00;0,00;
0,00;0,00;284,26;1,82;0,00;0,00;
0,00;0,00;284,58;1,73;0,00;0,00;
0,00;0,00;284,90;1,73;0,00;0,00;
0,00;0,00;285,22;1,73;0,00;0,00;
0,00;0,00;285,41;1,48;0,00;0,00;
0,00;0,00;285,40;1,30;0,00;0,00;
0,00;0,00;285,40;1,30;0,00;0,00;
0,00;0,00;285,40;1,39;0,00;0,00;
0,00;0,00;285,40;1,39;0,00;0,00;
0,00;0,00;285,40;1,39;0,00;0,00;
0,00;0,00;285,40;1,39;0,00;0,00;
