25591;06.08.21 15:30:18;21;Avvicinamento Pressata Finale;force > max. force (8);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;21,12;0,04;0,00;0,00;
0,00;0,00;24,20;-0,01;0,00;0,00;
0,00;0,00;28,82;0,08;0,00;0,00;
0,00;0,00;33,62;0,08;0,00;0,00;
0,00;0,00;38,42;0,08;0,00;0,00;
0,00;0,00;48,02;0,04;0,00;0,00;
0,00;0,00;57,62;-0,04;0,00;0,00;
0,00;0,00;62,42;0,04;0,00;0,00;
0,00;0,00;67,22;0,04;0,00;0,00;
0,00;0,00;115,22;0,04;0,00;0,00;
0,00;0,00;124,82;-0,01;0,00;0,00;
0,00;0,00;139,22;-0,04;0,00;0,00;
0,00;0,00;144,02;0,04;0,00;0,00;
0,00;0,00;148,82;0,04;0,00;0,00;
0,00;0,00;153,62;0,04;0,00;0,00;
0,00;0,00;168,02;0,08;0,00;0,00;
0,00;0,00;172,82;0,04;0,00;0,00;
0,00;0,00;187,22;0,04;0,00;0,00;
0,00;0,00;198,21;-0,04;0,00;0,00;
0,00;0,00;198,59;0,08;0,00;0,00;
0,00;0,00;198,90;0,08;0,00;0,00;
0,00;0,00;199,22;0,04;0,00;0,00;
0,00;0,00;200,50;0,04;0,00;0,00;
0,00;0,00;200,82;0,04;0,00;0,00;
0,00;0,00;201,14;0,04;0,00;0,00;
0,00;0,00;203,06;0,04;0,00;0,00;
0,00;0,00;203,38;0,04;0,00;0,00;
0,00;0,00;203,70;0,04;0,00;0,00;
0,00;0,00;204,34;0,04;0,00;0,00;
0,00;0,00;204,66;0,04;0,00;0,00;
0,00;0,00;204,98;0,04;0,00;0,00;
0,00;0,00;205,62;0,04;0,00;0,00;
0,00;0,00;205,94;0,08;0,00;0,00;
0,00;0,00;206,26;0,04;0,00;0,00;
0,00;0,00;206,58;0,08;0,00;0,00;
0,00;0,00;206,90;0,08;0,00;0,00;
