25599;06.08.21 17:03:51;21;Avvicinamento Pressata Finale;wrong softlimit spindle data (74);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,12;0,04;0,00;0,00;
0,00;0,00;4,20;-0,01;0,00;0,00;
0,00;0,00;8,82;0,04;0,00;0,00;
0,00;0,00;13,62;0,04;0,00;0,00;
0,00;0,00;23,22;0,04;0,00;0,00;
0,00;0,00;28,02;0,08;0,00;0,00;
0,00;0,00;32,82;0,04;0,00;0,00;
0,00;0,00;47,22;0,04;0,00;0,00;
0,00;0,00;52,02;0,08;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;66,42;-0,04;0,00;0,00;
0,00;0,00;76,02;0,08;0,00;0,00;
0,00;0,00;80,82;0,04;0,00;0,00;
0,00;0,00;95,22;-0,01;0,00;0,00;
0,00;0,00;104,82;-0,04;0,00;0,00;
0,00;0,00;114,42;0,04;0,00;0,00;
0,00;0,00;119,22;0,04;0,00;0,00;
0,00;0,00;128,82;-0,01;0,00;0,00;
0,00;0,00;132,64;-0,04;0,00;0,00;
0,00;0,00;134,91;0,04;0,00;0,00;
0,00;0,00;135,56;0,04;0,00;0,00;
0,00;0,00;136,52;0,08;0,00;0,00;
0,00;0,00;137,80;0,12;0,00;0,00;
0,00;0,00;139,08;0,08;0,00;0,00;
0,00;0,00;139,72;0,04;0,00;0,00;
0,00;0,00;140,04;0,04;0,00;0,00;
0,00;0,00;140,36;0,04;0,00;0,00;
0,00;0,00;140,68;0,04;0,00;0,00;
0,00;0,00;141,00;0,08;0,00;0,00;
0,00;0,00;141,96;0,04;0,00;0,00;
0,00;0,00;142,28;0,04;0,00;0,00;
0,00;0,00;142,60;0,04;0,00;0,00;
0,00;0,00;142,92;0,08;0,00;0,00;
0,00;0,00;143,56;0,12;0,00;0,00;
0,00;0,00;143,88;0,08;0,00;0,00;
0,00;0,00;144,20;0,04;0,00;0,00;
0,00;0,00;144,52;0,04;0,00;0,00;
0,00;0,00;144,84;0,17;0,00;0,00;
0,00;0,00;145,16;0,08;0,00;0,00;
0,00;0,00;145,48;0,08;0,00;0,00;
0,00;0,00;145,80;0,04;0,00;0,00;
0,00;0,00;146,12;0,04;0,00;0,00;
0,00;0,00;146,44;0,04;0,00;0,00;
0,00;0,00;146,76;0,08;0,00;0,00;
0,00;0,00;147,08;0,12;0,00;0,00;
0,00;0,00;147,40;0,04;0,00;0,00;
0,00;0,00;147,72;0,08;0,00;0,00;
0,00;0,00;148,04;0,17;0,00;0,00;
0,00;0,00;148,36;0,04;0,00;0,00;
0,00;0,00;148,68;0,08;0,00;0,00;
0,00;0,00;149,32;0,08;0,00;0,00;
0,00;0,00;149,64;0,04;0,00;0,00;
0,00;0,00;149,96;0,08;0,00;0,00;
0,00;0,00;150,28;0,08;0,00;0,00;
0,00;0,00;150,60;0,08;0,00;0,00;
0,00;0,00;150,92;0,08;0,00;0,00;
0,00;0,00;151,24;0,04;0,00;0,00;
0,00;0,00;151,56;0,08;0,00;0,00;
0,00;0,00;151,88;0,08;0,00;0,00;
0,00;0,00;152,20;0,04;0,00;0,00;
0,00;0,00;152,52;0,08;0,00;0,00;
0,00;0,00;152,84;0,04;0,00;0,00;
0,00;0,00;153,16;0,04;0,00;0,00;
0,00;0,00;153,48;0,04;0,00;0,00;
0,00;0,00;153,80;0,08;0,00;0,00;
0,00;0,00;154,12;0,04;0,00;0,00;
0,00;0,00;154,44;0,12;0,00;0,00;
0,00;0,00;154,76;0,08;0,00;0,00;
0,00;0,00;155,08;0,08;0,00;0,00;
0,00;0,00;155,40;0,04;0,00;0,00;
0,00;0,00;155,72;0,08;0,00;0,00;
0,00;0,00;156,04;0,12;0,00;0,00;
0,00;0,00;156,36;0,12;0,00;0,00;
0,00;0,00;156,68;0,04;0,00;0,00;
0,00;0,00;157,00;0,08;0,00;0,00;
0,00;0,00;157,32;0,08;0,00;0,00;
0,00;0,00;157,96;0,12;0,00;0,00;
0,00;0,00;158,28;0,08;0,00;0,00;
0,00;0,00;158,92;0,08;0,00;0,00;
0,00;0,00;159,24;0,08;0,00;0,00;
0,00;0,00;159,88;0,08;0,00;0,00;
0,00;0,00;160,20;0,04;0,00;0,00;
0,00;0,00;160,52;0,04;0,00;0,00;
0,00;0,00;160,84;0,04;0,00;0,00;
0,00;0,00;161,16;0,04;0,00;0,00;
0,00;0,00;161,48;0,04;0,00;0,00;
0,00;0,00;161,80;0,04;0,00;0,00;
0,00;0,00;162,44;0,04;0,00;0,00;
0,00;0,00;162,76;0,17;0,00;0,00;
0,00;0,00;163,08;0,12;0,00;0,00;
0,00;0,00;163,40;0,04;0,00;0,00;
0,00;0,00;163,72;0,08;0,00;0,00;
0,00;0,00;164,04;0,04;0,00;0,00;
0,00;0,00;164,36;0,04;0,00;0,00;
0,00;0,00;164,68;0,08;0,00;0,00;
0,00;0,00;165,00;0,04;0,00;0,00;
0,00;0,00;165,64;0,08;0,00;0,00;
0,00;0,00;166,28;0,12;0,00;0,00;
0,00;0,00;166,60;0,04;0,00;0,00;
0,00;0,00;166,92;0,08;0,00;0,00;
0,00;0,00;167,24;0,08;0,00;0,00;
0,00;0,00;167,56;0,04;0,00;0,00;
0,00;0,00;167,88;0,08;0,00;0,00;
0,00;0,00;168,20;0,04;0,00;0,00;
0,00;0,00;168,52;0,04;0,00;0,00;
0,00;0,00;168,84;0,04;0,00;0,00;
0,00;0,00;169,16;0,08;0,00;0,00;
0,00;0,00;169,80;0,04;0,00;0,00;
0,00;0,00;170,44;0,04;0,00;0,00;
0,00;0,00;170,76;0,08;0,00;0,00;
0,00;0,00;171,40;0,04;0,00;0,00;
0,00;0,00;171,72;0,04;0,00;0,00;
0,00;0,00;172,04;0,08;0,00;0,00;
0,00;0,00;172,68;0,08;0,00;0,00;
0,00;0,00;173,00;0,04;0,00;0,00;
0,00;0,00;173,32;0,04;0,00;0,00;
0,00;0,00;173,64;0,08;0,00;0,00;
0,00;0,00;173,96;0,04;0,00;0,00;
0,00;0,00;174,28;0,12;0,00;0,00;
0,00;0,00;174,92;0,04;0,00;0,00;
0,00;0,00;175,88;0,08;0,00;0,00;
0,00;0,00;176,20;0,04;0,00;0,00;
0,00;0,00;176,52;0,08;0,00;0,00;
0,00;0,00;177,16;0,04;0,00;0,00;
0,00;0,00;177,48;0,04;0,00;0,00;
0,00;0,00;178,12;0,08;0,00;0,00;
0,00;0,00;178,44;0,04;0,00;0,00;
0,00;0,00;178,76;0,08;0,00;0,00;
0,00;0,00;179,08;0,04;0,00;0,00;
0,00;0,00;180,04;0,04;0,00;0,00;
0,00;0,00;180,36;0,04;0,00;0,00;
0,00;0,00;180,68;0,08;0,00;0,00;
0,00;0,00;181,00;0,04;0,00;0,00;
0,00;0,00;181,32;0,04;0,00;0,00;
0,00;0,00;181,64;0,12;0,00;0,00;
0,00;0,00;181,96;0,04;0,00;0,00;
0,00;0,00;182,28;0,04;0,00;0,00;
0,00;0,00;182,60;0,08;0,00;0,00;
0,00;0,00;182,92;0,04;0,00;0,00;
0,00;0,00;183,56;0,04;0,00;0,00;
0,00;0,00;184,52;0,08;0,00;0,00;
0,00;0,00;184,84;0,08;0,00;0,00;
0,00;0,00;185,16;0,04;0,00;0,00;
0,00;0,00;185,48;0,08;0,00;0,00;
0,00;0,00;185,80;0,08;0,00;0,00;
0,00;0,00;186,12;0,08;0,00;0,00;
0,00;0,00;186,44;0,04;0,00;0,00;
0,00;0,00;186,76;0,04;0,00;0,00;
0,00;0,00;187,08;0,04;0,00;0,00;
0,00;0,00;187,40;0,04;0,00;0,00;
0,00;0,00;187,72;0,04;0,00;0,00;
0,00;0,00;189,00;0,08;0,00;0,00;
0,00;0,00;189,32;0,04;0,00;0,00;
0,00;0,00;189,96;0,04;0,00;0,00;
0,00;0,00;190,28;0,04;0,00;0,00;
0,00;0,00;190,92;0,04;0,00;0,00;
0,00;0,00;191,24;0,12;0,00;0,00;
0,00;0,00;191,56;0,08;0,00;0,00;
0,00;0,00;191,88;0,04;0,00;0,00;
0,00;0,00;192,20;0,08;0,00;0,00;
0,00;0,00;192,84;0,08;0,00;0,00;
