69939;03.08.21 10:33:51;22;Avvicinamento pre-pressata pressata Fuori Ingombro;wrong softlimit spindle data (74);20210802091038P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,29;0,00;0,00;
0,00;0,00;0,61;0,23;0,00;0,00;
0,00;0,00;1,64;0,25;0,00;0,00;
0,00;0,00;3,17;0,23;0,00;0,00;
0,00;0,00;5,21;0,27;0,00;0,00;
0,00;0,00;7,78;0,27;0,00;0,00;
0,00;0,00;10,83;0,18;0,00;0,00;
0,00;0,00;13,94;0,20;0,00;0,00;
0,00;0,00;17,12;0,24;0,00;0,00;
0,00;0,00;20,33;0,18;0,00;0,00;
0,00;0,00;23,54;0,22;0,00;0,00;
0,00;0,00;26,74;0,23;0,00;0,00;
0,00;0,00;29,94;0,18;0,00;0,00;
0,00;0,00;33,14;0,23;0,00;0,00;
0,00;0,00;36,34;0,23;0,00;0,00;
0,00;0,00;39,53;0,20;0,00;0,00;
0,00;0,00;42,74;0,24;0,00;0,00;
0,00;0,00;45,94;0,20;0,00;0,00;
0,00;0,00;49,14;0,24;0,00;0,00;
0,00;0,00;52,34;0,20;0,00;0,00;
0,00;0,00;55,54;0,18;0,00;0,00;
0,00;0,00;58,74;0,20;0,00;0,00;
0,00;0,00;61,94;0,16;0,00;0,00;
0,00;0,00;65,14;0,20;0,00;0,00;
0,00;0,00;68,34;0,18;0,00;0,00;
0,00;0,00;71,53;0,23;0,00;0,00;
0,00;0,00;74,74;0,24;0,00;0,00;
0,00;0,00;77,94;0,18;0,00;0,00;
0,00;0,00;81,14;0,18;0,00;0,00;
0,00;0,00;84,34;0,20;0,00;0,00;
0,00;0,00;87,54;0,20;0,00;0,00;
0,00;0,00;90,73;0,23;0,00;0,00;
0,00;0,00;93,94;0,20;0,00;0,00;
0,00;0,00;97,14;0,16;0,00;0,00;
0,00;0,00;100,34;0,18;0,00;0,00;
0,00;0,00;103,53;0,23;0,00;0,00;
0,00;0,00;106,74;0,20;0,00;0,00;
0,00;0,00;109,94;0,23;0,00;0,00;
0,00;0,00;113,14;0,20;0,00;0,00;
0,00;0,00;116,34;0,20;0,00;0,00;
0,00;0,00;119,54;0,20;0,00;0,00;
0,00;0,00;122,74;0,20;0,00;0,00;
0,00;0,00;125,94;0,13;0,00;0,00;
0,00;0,00;129,14;0,20;0,00;0,00;
0,00;0,00;132,34;0,13;0,00;0,00;
0,00;0,00;135,54;0,20;0,00;0,00;
0,00;0,00;138,74;0,16;0,00;0,00;
0,00;0,00;141,94;0,23;0,00;0,00;
0,00;0,00;145,07;0,02;0,00;0,00;
0,00;0,00;147,70;0,16;0,00;0,00;
0,00;0,00;149,92;0,11;0,00;0,00;
0,00;0,00;151,64;0,09;0,00;0,00;
0,00;0,00;152,87;0,09;0,00;0,00;
0,00;0,00;153,60;0,05;0,00;0,00;
0,00;0,00;153,84;0,09;0,00;0,00;
0,00;0,00;153,90;0,09;0,00;0,00;
0,00;0,00;153,91;0,09;0,00;0,00;
0,00;0,00;154,03;0,09;0,00;0,00;
0,00;0,00;154,13;0,11;0,00;0,00;
0,00;0,00;154,26;0,13;0,00;0,00;
0,00;0,00;154,39;0,16;0,00;0,00;
0,00;0,00;154,52;0,11;0,00;0,00;
0,00;0,00;154,65;0,11;0,00;0,00;
0,00;0,00;154,78;0,11;0,00;0,00;
0,00;0,00;154,91;0,11;0,00;0,00;
0,00;0,00;155,03;0,11;0,00;0,00;
0,00;0,00;155,16;0,11;0,00;0,00;
0,00;0,00;155,29;0,09;0,00;0,00;
0,00;0,00;155,42;0,11;0,00;0,00;
0,00;0,00;155,55;0,09;0,00;0,00;
0,00;0,00;155,67;0,11;0,00;0,00;
0,00;0,00;155,80;0,11;0,00;0,00;
0,00;0,00;155,93;0,13;0,00;0,00;
0,00;0,00;156,06;0,09;0,00;0,00;
0,00;0,00;156,19;0,11;0,00;0,00;
0,00;0,00;156,31;0,09;0,00;0,00;
0,00;0,00;156,44;0,09;0,00;0,00;
0,00;0,00;156,57;0,13;0,00;0,00;
0,00;0,00;156,70;0,11;0,00;0,00;
0,00;0,00;156,83;0,09;0,00;0,00;
0,00;0,00;156,95;0,11;0,00;0,00;
0,00;0,00;157,08;0,11;0,00;0,00;
0,00;0,00;157,21;0,13;0,00;0,00;
0,00;0,00;157,34;0,11;0,00;0,00;
0,00;0,00;157,47;0,13;0,00;0,00;
0,00;0,00;157,59;0,11;0,00;0,00;
0,00;0,00;157,72;0,09;0,00;0,00;
0,00;0,00;157,85;0,13;0,00;0,00;
0,00;0,00;157,98;0,09;0,00;0,00;
0,00;0,00;158,11;0,09;0,00;0,00;
0,00;0,00;158,23;0,09;0,00;0,00;
0,00;0,00;158,36;0,11;0,00;0,00;
0,00;0,00;158,49;0,09;0,00;0,00;
0,00;0,00;158,62;0,11;0,00;0,00;
0,00;0,00;158,75;0,09;0,00;0,00;
0,00;0,00;158,87;0,23;0,00;0,00;
0,00;0,00;159,00;0,34;0,00;0,00;
0,00;0,00;159,13;0,34;0,00;0,00;
0,00;0,00;159,25;1,24;0,00;0,00;
0,00;0,00;159,37;3,00;0,00;0,00;
0,00;0,00;159,48;4,79;0,00;0,00;
0,00;0,00;159,60;6,11;0,00;0,00;
0,00;0,00;159,74;4,07;0,00;0,00;
0,00;0,00;159,91;0,36;0,00;0,00;
0,00;0,00;160,06;0,16;0,00;0,00;
0,00;0,00;160,18;0,11;0,00;0,00;
0,00;0,00;160,30;0,20;0,00;0,00;
0,00;0,00;160,42;0,31;0,00;0,00;
0,00;0,00;160,55;0,31;0,00;0,00;
0,00;0,00;160,67;0,36;0,00;0,00;
0,00;0,00;160,80;0,38;0,00;0,00;
0,00;0,00;160,90;0,56;0,00;0,00;
0,00;0,00;160,90;0,63;0,00;0,00;
0,00;0,00;160,84;0,29;0,00;0,00;
0,00;0,00;160,30;-0,12;0,00;0,00;
0,00;0,00;159,43;0,13;0,00;0,00;
0,00;0,00;159,07;0,07;0,00;0,00;
0,00;0,00;158,97;0,02;0,00;0,00;
0,00;0,00;158,91;0,05;0,00;0,00;
0,00;0,00;158,90;0,09;0,00;0,00;
0,00;0,00;158,91;0,16;0,00;0,00;
0,00;0,00;159,03;0,11;0,00;0,00;
0,00;0,00;159,14;0,09;0,00;0,00;
0,00;0,00;159,28;0,09;0,00;0,00;
0,00;0,00;159,41;0,13;0,00;0,00;
0,00;0,00;159,54;0,13;0,00;0,00;
0,00;0,00;159,67;0,13;0,00;0,00;
0,00;0,00;159,80;0,13;0,00;0,00;
0,00;0,00;159,93;0,11;0,00;0,00;
0,00;0,00;160,06;0,13;0,00;0,00;
0,00;0,00;160,19;0,09;0,00;0,00;
0,00;0,00;160,32;0,13;0,00;0,00;
0,00;0,00;160,45;0,13;0,00;0,00;
0,00;0,00;160,58;0,23;0,00;0,00;
0,00;0,00;160,70;0,36;0,00;0,00;
0,00;0,00;160,83;0,36;0,00;0,00;
0,00;0,00;160,96;0,66;0,00;0,00;
0,00;0,00;161,08;0,90;0,00;0,00;
0,00;0,00;161,21;1,11;0,00;0,00;
0,00;0,00;161,34;1,36;0,00;0,00;
0,00;0,00;161,47;1,61;0,00;0,00;
0,00;0,00;161,59;1,81;0,00;0,00;
0,00;0,00;161,72;1,99;0,00;0,00;
0,00;0,00;161,85;2,15;0,00;0,00;
0,00;0,00;161,98;2,17;0,00;0,00;
0,00;0,00;162,11;2,17;0,00;0,00;
0,00;0,00;162,24;2,10;0,00;0,00;
0,00;0,00;162,37;2,08;0,00;0,00;
0,00;0,00;162,50;1,74;0,00;0,00;
0,00;0,00;162,63;1,81;0,00;0,00;
0,00;0,00;162,75;1,81;0,00;0,00;
0,00;0,00;162,88;1,90;0,00;0,00;
0,00;0,00;163,01;1,94;0,00;0,00;
0,00;0,00;163,14;2,01;0,00;0,00;
0,00;0,00;163,26;2,08;0,00;0,00;
0,00;0,00;163,39;2,17;0,00;0,00;
0,00;0,00;163,52;2,26;0,00;0,00;
0,00;0,00;163,65;2,35;0,00;0,00;
0,00;0,00;163,77;2,46;0,00;0,00;
0,00;0,00;163,90;2,53;0,00;0,00;
0,00;0,00;164,03;2,62;0,00;0,00;
0,00;0,00;164,16;2,71;0,00;0,00;
0,00;0,00;164,29;2,78;0,00;0,00;
0,00;0,00;164,41;2,89;0,00;0,00;
0,00;0,00;164,54;2,96;0,00;0,00;
0,00;0,00;164,67;3,05;0,00;0,00;
0,00;0,00;164,80;3,14;0,00;0,00;
0,00;0,00;164,93;3,21;0,00;0,00;
0,00;0,00;165,05;3,30;0,00;0,00;
0,00;0,00;165,18;3,39;0,00;0,00;
0,00;0,00;165,31;3,48;0,00;0,00;
0,00;0,00;165,44;3,60;0,00;0,00;
0,00;0,00;165,57;3,64;0,00;0,00;
0,00;0,00;165,69;3,73;0,00;0,00;
0,00;0,00;165,82;3,80;0,00;0,00;
0,00;0,00;165,95;3,89;0,00;0,00;
0,00;0,00;166,08;3,98;0,00;0,00;
0,00;0,00;166,21;4,05;0,00;0,00;
0,00;0,00;166,33;4,14;0,00;0,00;
0,00;0,00;166,46;4,25;0,00;0,00;
0,00;0,00;166,59;4,32;0,00;0,00;
0,00;0,00;166,72;4,36;0,00;0,00;
0,00;0,00;166,85;4,48;0,00;0,00;
0,00;0,00;166,97;4,52;0,00;0,00;
0,00;0,00;167,10;4,61;0,00;0,00;
0,00;0,00;167,23;4,73;0,00;0,00;
0,00;0,00;167,36;4,80;0,00;0,00;
0,00;0,00;167,49;4,88;0,00;0,00;
0,00;0,00;167,61;4,98;0,00;0,00;
0,00;0,00;167,74;5,06;0,00;0,00;
0,00;0,00;167,87;5,11;0,00;0,00;
0,00;0,00;167,99;7,98;0,00;0,00;
0,00;0,00;168,01;9,34;0,00;0,00;
0,00;0,00;168,02;9,50;0,00;0,00;
0,00;0,00;168,02;9,50;0,00;0,00;
0,00;0,00;168,03;9,84;0,00;0,00;
0,00;0,00;168,03;10,04;0,00;0,00;
0,00;0,00;168,03;10,13;0,00;0,00;
0,00;0,00;168,04;10,22;0,00;0,00;
0,00;0,00;168,04;10,38;0,00;0,00;
0,00;0,00;168,04;10,40;0,00;0,00;
0,00;0,00;168,04;10,49;0,00;0,00;
0,00;0,00;168,04;10,54;0,00;0,00;
