78090;14.09.21 11:46:31;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210910130227A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,96;0,20;0,00;0,00;
0,00;0,00;2,52;0,13;0,00;0,00;
0,00;0,00;3,55;0,16;0,00;0,00;
0,00;0,00;5,07;0,16;0,00;0,00;
0,00;0,00;7,11;0,15;0,00;0,00;
0,00;0,00;9,68;0,20;0,00;0,00;
0,00;0,00;12,74;0,16;0,00;0,00;
0,00;0,00;15,86;0,11;0,00;0,00;
0,00;0,00;19,04;0,11;0,00;0,00;
0,00;0,00;22,25;0,11;0,00;0,00;
0,00;0,00;25,45;0,11;0,00;0,00;
0,00;0,00;28,65;0,09;0,00;0,00;
0,00;0,00;31,85;0,11;0,00;0,00;
0,00;0,00;35,05;0,11;0,00;0,00;
0,00;0,00;38,25;0,11;0,00;0,00;
0,00;0,00;41,45;0,13;0,00;0,00;
0,00;0,00;44,65;0,13;0,00;0,00;
0,00;0,00;47,85;0,09;0,00;0,00;
0,00;0,00;51,05;0,09;0,00;0,00;
0,00;0,00;54,25;0,09;0,00;0,00;
0,00;0,00;57,45;0,11;0,00;0,00;
0,00;0,00;60,65;0,16;0,00;0,00;
0,00;0,00;63,85;0,09;0,00;0,00;
0,00;0,00;67,05;0,11;0,00;0,00;
0,00;0,00;70,25;0,11;0,00;0,00;
0,00;0,00;73,45;0,11;0,00;0,00;
0,00;0,00;76,65;0,13;0,00;0,00;
0,00;0,00;79,85;0,13;0,00;0,00;
0,00;0,00;83,05;0,06;0,00;0,00;
0,00;0,00;86,25;0,11;0,00;0,00;
0,00;0,00;89,45;0,09;0,00;0,00;
0,00;0,00;92,65;0,13;0,00;0,00;
0,00;0,00;95,85;0,09;0,00;0,00;
0,00;0,00;99,05;0,06;0,00;0,00;
0,00;0,00;102,25;0,06;0,00;0,00;
0,00;0,00;105,45;0,11;0,00;0,00;
0,00;0,00;108,65;0,11;0,00;0,00;
0,00;0,00;111,85;0,06;0,00;0,00;
0,00;0,00;115,05;0,09;0,00;0,00;
0,00;0,00;118,25;0,09;0,00;0,00;
0,00;0,00;121,45;0,13;0,00;0,00;
0,00;0,00;124,65;0,13;0,00;0,00;
0,00;0,00;127,85;0,11;0,00;0,00;
0,00;0,00;131,05;0,09;0,00;0,00;
0,00;0,00;134,25;0,06;0,00;0,00;
0,00;0,00;137,45;0,11;0,00;0,00;
0,00;0,00;140,65;0,13;0,00;0,00;
0,00;0,00;143,54;0,02;0,00;0,00;
0,00;0,00;145,94;-0,05;0,00;0,00;
0,00;0,00;150,21;-0,07;0,00;0,00;
0,00;0,00;150,60;-0,07;0,00;0,00;
0,00;0,00;150,76;0,09;0,00;0,00;
0,00;0,00;150,91;0,04;0,00;0,00;
0,00;0,00;151,71;0,02;0,00;0,00;
0,00;0,00;151,87;0,04;0,00;0,00;
0,00;0,00;153,31;0,02;0,00;0,00;
0,00;0,00;153,63;0,04;0,00;0,00;
0,00;0,00;153,95;0,02;0,00;0,00;
0,00;0,00;154,11;0,18;0,00;0,00;
0,00;0,00;154,27;0,22;0,00;0,00;
0,00;0,00;154,43;0,59;0,00;0,00;
0,00;0,00;154,58;1,29;0,00;0,00;
0,00;0,00;154,74;1,53;0,00;0,00;
0,00;0,00;154,90;1,67;0,00;0,00;
0,00;0,00;155,06;1,65;0,00;0,00;
0,00;0,00;155,23;1,72;0,00;0,00;
0,00;0,00;155,39;1,81;0,00;0,00;
0,00;0,00;155,55;1,97;0,00;0,00;
0,00;0,00;155,71;2,15;0,00;0,00;
0,00;0,00;155,87;2,26;0,00;0,00;
0,00;0,00;156,03;2,46;0,00;0,00;
0,00;0,00;156,19;2,55;0,00;0,00;
0,00;0,00;156,35;2,62;0,00;0,00;
0,00;0,00;156,51;2,78;0,00;0,00;
0,00;0,00;156,67;2,96;0,00;0,00;
0,00;0,00;156,71;2,69;0,00;0,00;
0,00;0,00;156,71;2,58;0,00;0,00;
0,00;0,00;156,43;0,13;0,00;0,00;
0,00;0,00;155,65;-0,12;0,00;0,00;
0,00;0,00;154,59;0,04;0,00;0,00;
0,00;0,00;154,02;-0,07;0,00;0,00;
0,00;0,00;153,79;-0,09;0,00;0,00;
0,00;0,00;153,71;-0,02;0,00;0,00;
0,00;0,00;153,83;0,02;0,00;0,00;
0,00;0,00;153,98;0,04;0,00;0,00;
