2991;22.09.20 09:05:06;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20200921162700A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;40,16;0,24;0,00;0,00;
0,00;0,00;40,94;0,17;0,00;0,00;
0,00;0,00;42,22;0,09;0,00;0,00;
0,00;0,00;44,00;0,13;0,00;0,00;
0,00;0,00;46,31;0,27;0,00;0,00;
0,00;0,00;49,12;0,16;0,00;0,00;
0,00;0,00;52,29;-0,00;0,00;0,00;
0,00;0,00;55,41;0,09;0,00;0,00;
0,00;0,00;58,65;0,17;0,00;0,00;
0,00;0,00;61,84;0,11;0,00;0,00;
0,00;0,00;65,05;0,13;0,00;0,00;
0,00;0,00;68,25;0,13;0,00;0,00;
0,00;0,00;71,46;0,13;0,00;0,00;
0,00;0,00;74,65;0,15;0,00;0,00;
0,00;0,00;77,85;0,06;0,00;0,00;
0,00;0,00;81,05;0,13;0,00;0,00;
0,00;0,00;84,25;0,11;0,00;0,00;
0,00;0,00;87,45;0,06;0,00;0,00;
0,00;0,00;90,65;0,13;0,00;0,00;
0,00;0,00;93,85;0,09;0,00;0,00;
0,00;0,00;97,05;0,11;0,00;0,00;
0,00;0,00;100,25;0,11;0,00;0,00;
0,00;0,00;103,45;0,09;0,00;0,00;
0,00;0,00;106,65;0,18;0,00;0,00;
0,00;0,00;109,85;0,06;0,00;0,00;
0,00;0,00;113,05;0,20;0,00;0,00;
0,00;0,00;116,25;0,11;0,00;0,00;
0,00;0,00;119,45;0,11;0,00;0,00;
0,00;0,00;122,65;0,13;0,00;0,00;
0,00;0,00;125,85;0,06;0,00;0,00;
0,00;0,00;129,05;0,15;0,00;0,00;
0,00;0,00;132,25;0,09;0,00;0,00;
0,00;0,00;135,45;0,06;0,00;0,00;
0,00;0,00;138,65;0,11;0,00;0,00;
0,00;0,00;141,85;0,13;0,00;0,00;
0,00;0,00;145,05;0,13;0,00;0,00;
0,00;0,00;148,25;0,13;0,00;0,00;
0,00;0,00;151,45;0,04;0,00;0,00;
0,00;0,00;154,65;0,11;0,00;0,00;
0,00;0,00;157,85;0,06;0,00;0,00;
0,00;0,00;160,81;0,02;0,00;0,00;
0,00;0,00;163,28;0,02;0,00;0,00;
0,00;0,00;165,29;0,02;0,00;0,00;
0,00;0,00;166,80;0,06;0,00;0,00;
0,00;0,00;167,79;0,02;0,00;0,00;
0,00;0,00;168,28;-0,05;0,00;0,00;
0,00;0,00;168,39;0,04;0,00;0,00;
0,00;0,00;168,43;0,02;0,00;0,00;
0,00;0,00;168,43;0,06;0,00;0,00;
0,00;0,00;168,58;0,04;0,00;0,00;
0,00;0,00;168,73;0,02;0,00;0,00;
0,00;0,00;168,89;0,04;0,00;0,00;
0,00;0,00;169,05;0,09;0,00;0,00;
0,00;0,00;169,21;0,06;0,00;0,00;
0,00;0,00;169,37;0,06;0,00;0,00;
0,00;0,00;169,53;0,06;0,00;0,00;
0,00;0,00;169,69;0,09;0,00;0,00;
0,00;0,00;169,85;0,04;0,00;0,00;
0,00;0,00;170,01;0,09;0,00;0,00;
0,00;0,00;170,17;0,06;0,00;0,00;
0,00;0,00;170,33;0,06;0,00;0,00;
0,00;0,00;170,49;0,09;0,00;0,00;
0,00;0,00;170,65;0,09;0,00;0,00;
0,00;0,00;170,81;0,09;0,00;0,00;
0,00;0,00;170,97;0,09;0,00;0,00;
0,00;0,00;171,13;0,09;0,00;0,00;
0,00;0,00;171,29;0,06;0,00;0,00;
0,00;0,00;171,45;0,09;0,00;0,00;
0,00;0,00;171,61;0,09;0,00;0,00;
0,00;0,00;171,77;0,09;0,00;0,00;
0,00;0,00;171,93;0,09;0,00;0,00;
0,00;0,00;172,09;0,09;0,00;0,00;
0,00;0,00;172,25;0,06;0,00;0,00;
0,00;0,00;172,41;0,09;0,00;0,00;
0,00;0,00;172,57;0,09;0,00;0,00;
0,00;0,00;172,73;0,09;0,00;0,00;
0,00;0,00;172,89;0,09;0,00;0,00;
0,00;0,00;173,05;0,09;0,00;0,00;
0,00;0,00;173,21;0,09;0,00;0,00;
0,00;0,00;173,37;0,18;0,00;0,00;
0,00;0,00;173,53;0,27;0,00;0,00;
0,00;0,00;173,69;0,27;0,00;0,00;
0,00;0,00;173,85;0,34;0,00;0,00;
0,00;0,00;174,01;0,45;0,00;0,00;
0,00;0,00;174,17;0,49;0,00;0,00;
0,00;0,00;174,33;0,54;0,00;0,00;
0,00;0,00;174,49;0,63;0,00;0,00;
0,00;0,00;174,65;0,72;0,00;0,00;
0,00;0,00;174,81;0,76;0,00;0,00;
0,00;0,00;174,97;0,81;0,00;0,00;
0,00;0,00;175,13;0,90;0,00;0,00;
0,00;0,00;175,24;0,81;0,00;0,00;
0,00;0,00;175,26;0,92;0,00;0,00;
0,00;0,00;175,26;0,86;0,00;0,00;
0,00;0,00;174,99;0,16;0,00;0,00;
0,00;0,00;174,21;-0,14;0,00;0,00;
0,00;0,00;172,94;-0,23;0,00;0,00;
0,00;0,00;171,15;-0,21;0,00;0,00;
0,00;0,00;168,85;-0,07;0,00;0,00;
0,00;0,00;166,04;-0,14;0,00;0,00;
0,00;0,00;162,88;-0,18;0,00;0,00;
0,00;0,00;159,75;-0,23;0,00;0,00;
0,00;0,00;156,50;-0,05;0,00;0,00;
0,00;0,00;153,31;-0,11;0,00;0,00;
0,00;0,00;150,11;-0,05;0,00;0,00;
0,00;0,00;146,91;-0,09;0,00;0,00;
0,00;0,00;143,70;-0,11;0,00;0,00;
0,00;0,00;140,50;-0,07;0,00;0,00;
0,00;0,00;137,30;-0,14;0,00;0,00;
0,00;0,00;134,10;-0,07;0,00;0,00;
0,00;0,00;130,90;-0,14;0,00;0,00;
0,00;0,00;127,70;-0,14;0,00;0,00;
0,00;0,00;124,50;-0,05;0,00;0,00;
0,00;0,00;121,30;-0,14;0,00;0,00;
0,00;0,00;118,10;-0,05;0,00;0,00;
0,00;0,00;114,90;-0,11;0,00;0,00;
0,00;0,00;111,70;-0,14;0,00;0,00;
0,00;0,00;108,50;-0,09;0,00;0,00;
0,00;0,00;105,30;-0,11;0,00;0,00;
0,00;0,00;102,10;-0,07;0,00;0,00;
0,00;0,00;98,90;-0,14;0,00;0,00;
0,00;0,00;95,70;-0,11;0,00;0,00;
0,00;0,00;92,50;-0,05;0,00;0,00;
0,00;0,00;89,30;-0,14;0,00;0,00;
0,00;0,00;86,10;-0,07;0,00;0,00;
0,00;0,00;82,90;-0,14;0,00;0,00;
0,00;0,00;79,70;-0,14;0,00;0,00;
0,00;0,00;76,50;-0,07;0,00;0,00;
0,00;0,00;73,30;-0,14;0,00;0,00;
0,00;0,00;70,10;-0,07;0,00;0,00;
0,00;0,00;66,90;-0,11;0,00;0,00;
0,00;0,00;63,70;-0,11;0,00;0,00;
0,00;0,00;60,50;-0,07;0,00;0,00;
0,00;0,00;57,30;-0,11;0,00;0,00;
0,00;0,00;54,10;-0,07;0,00;0,00;
0,00;0,00;50,90;-0,11;0,00;0,00;
0,00;0,00;47,87;-0,00;0,00;0,00;
0,00;0,00;45,35;-0,02;0,00;0,00;
0,00;0,00;43,27;-0,03;0,00;0,00;
0,00;0,00;41,69;-0,00;0,00;0,00;
0,00;0,00;40,63;0,04;0,00;0,00;
0,00;0,00;40,06;0,02;0,00;0,00;
0,00;0,00;39,92;-0,05;0,00;0,00;
