5108;15.12.20 08:39:05;10;Repair_strategy;start interrupted (14);20201210110906A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;17,34;0,13;0,00;0,00;
0,00;0,00;17,88;0,06;0,00;0,00;
0,00;0,00;18,91;0,16;0,00;0,00;
0,00;0,00;20,43;0,20;0,00;0,00;
0,00;0,00;22,48;0,16;0,00;0,00;
0,00;0,00;25,03;0,11;0,00;0,00;
0,00;0,00;28,07;0,29;0,00;0,00;
0,00;0,00;31,23;0,09;0,00;0,00;
0,00;0,00;34,40;-0,00;0,00;0,00;
0,00;0,00;37,63;0,09;0,00;0,00;
0,00;0,00;40,82;0,06;0,00;0,00;
0,00;0,00;44,03;0,13;0,00;0,00;
0,00;0,00;47,23;0,11;0,00;0,00;
0,00;0,00;50,44;0,06;0,00;0,00;
0,00;0,00;53,63;0,13;0,00;0,00;
0,00;0,00;56,83;0,02;0,00;0,00;
0,00;0,00;60,03;0,11;0,00;0,00;
0,00;0,00;63,23;0,13;0,00;0,00;
0,00;0,00;66,43;0,04;0,00;0,00;
0,00;0,00;69,63;0,13;0,00;0,00;
0,00;0,00;72,83;0,04;0,00;0,00;
0,00;0,00;76,03;0,16;0,00;0,00;
0,00;0,00;79,23;0,11;0,00;0,00;
0,00;0,00;82,43;0,04;0,00;0,00;
0,00;0,00;85,63;0,11;0,00;0,00;
0,00;0,00;88,83;0,06;0,00;0,00;
0,00;0,00;92,03;0,13;0,00;0,00;
0,00;0,00;95,23;0,11;0,00;0,00;
0,00;0,00;98,43;0,06;0,00;0,00;
0,00;0,00;101,63;0,09;0,00;0,00;
0,00;0,00;104,83;0,06;0,00;0,00;
0,00;0,00;108,03;0,11;0,00;0,00;
0,00;0,00;111,23;0,13;0,00;0,00;
0,00;0,00;114,43;0,02;0,00;0,00;
0,00;0,00;117,63;0,13;0,00;0,00;
0,00;0,00;120,83;0,06;0,00;0,00;
0,00;0,00;124,03;0,13;0,00;0,00;
0,00;0,00;127,23;0,13;0,00;0,00;
0,00;0,00;130,43;0,04;0,00;0,00;
0,00;0,00;133,63;0,13;0,00;0,00;
0,00;0,00;136,83;0,06;0,00;0,00;
0,00;0,00;140,03;0,11;0,00;0,00;
0,00;0,00;143,23;0,15;0,00;0,00;
0,00;0,00;146,43;0,02;0,00;0,00;
0,00;0,00;149,63;0,13;0,00;0,00;
0,00;0,00;152,83;0,06;0,00;0,00;
0,00;0,00;156,03;0,13;0,00;0,00;
0,00;0,00;159,20;-0,05;0,00;0,00;
0,00;0,00;161,89;0,06;0,00;0,00;
0,00;0,00;164,16;0,04;0,00;0,00;
0,00;0,00;165,95;-0,03;0,00;0,00;
0,00;0,00;167,24;-0,03;0,00;0,00;
0,00;0,00;168,04;-0,03;0,00;0,00;
0,00;0,00;168,41;0,04;0,00;0,00;
0,00;0,00;168,43;0,04;0,00;0,00;
0,00;0,00;168,55;0,04;0,00;0,00;
0,00;0,00;168,69;0,11;0,00;0,00;
0,00;0,00;168,85;0,09;0,00;0,00;
0,00;0,00;169,01;0,09;0,00;0,00;
0,00;0,00;169,17;0,09;0,00;0,00;
0,00;0,00;169,33;0,09;0,00;0,00;
0,00;0,00;169,49;0,09;0,00;0,00;
0,00;0,00;169,65;0,09;0,00;0,00;
0,00;0,00;169,81;0,09;0,00;0,00;
0,00;0,00;169,97;0,11;0,00;0,00;
0,00;0,00;170,13;0,09;0,00;0,00;
0,00;0,00;170,29;0,09;0,00;0,00;
0,00;0,00;170,45;0,09;0,00;0,00;
0,00;0,00;170,61;0,09;0,00;0,00;
0,00;0,00;170,77;0,09;0,00;0,00;
0,00;0,00;170,93;0,09;0,00;0,00;
0,00;0,00;171,09;0,09;0,00;0,00;
0,00;0,00;171,25;0,09;0,00;0,00;
0,00;0,00;171,41;0,09;0,00;0,00;
0,00;0,00;171,57;0,09;0,00;0,00;
0,00;0,00;171,73;0,09;0,00;0,00;
0,00;0,00;171,89;0,09;0,00;0,00;
0,00;0,00;172,05;0,09;0,00;0,00;
0,00;0,00;172,21;0,09;0,00;0,00;
0,00;0,00;172,37;0,09;0,00;0,00;
0,00;0,00;172,53;0,09;0,00;0,00;
0,00;0,00;172,69;0,09;0,00;0,00;
0,00;0,00;172,85;0,09;0,00;0,00;
0,00;0,00;173,01;0,09;0,00;0,00;
0,00;0,00;173,17;0,09;0,00;0,00;
0,00;0,00;173,33;0,09;0,00;0,00;
0,00;0,00;173,49;0,09;0,00;0,00;
0,00;0,00;173,65;0,11;0,00;0,00;
0,00;0,00;173,81;0,09;0,00;0,00;
0,00;0,00;173,97;0,09;0,00;0,00;
0,00;0,00;174,13;0,11;0,00;0,00;
0,00;0,00;174,29;0,13;0,00;0,00;
0,00;0,00;174,41;0,06;0,00;0,00;
0,00;0,00;174,42;0,09;0,00;0,00;
0,00;0,00;174,42;0,11;0,00;0,00;
0,00;0,00;174,42;0,09;0,00;0,00;
0,00;0,00;174,41;0,09;0,00;0,00;
0,00;0,00;174,41;0,09;0,00;0,00;
0,00;0,00;174,41;0,09;0,00;0,00;
0,00;0,00;174,41;0,09;0,00;0,00;
0,00;0,00;174,41;0,09;0,00;0,00;
0,00;0,00;174,41;0,09;0,00;0,00;
0,00;0,00;174,41;0,09;0,00;0,00;
0,00;0,00;174,40;0,06;0,00;0,00;
0,00;0,00;174,40;0,06;0,00;0,00;
0,00;0,00;174,40;0,09;0,00;0,00;
