15193;08.02.21 14:21:23;10;Repair_strategy;force > max. force (8);20210205134704P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;11,50;-0,01;0,00;0,00;
0,00;0,00;11,50;-0,01;0,00;0,00;
0,00;0,00;11,55;0,04;0,00;0,00;
0,00;0,00;12,09;0,04;0,00;0,00;
0,00;0,00;13,13;0,04;0,00;0,00;
0,00;0,00;14,68;0,04;0,00;0,00;
0,00;0,00;16,74;0,05;0,00;0,00;
0,00;0,00;19,32;0,04;0,00;0,00;
0,00;0,00;22,40;0,04;0,00;0,00;
0,00;0,00;25,88;0,04;0,00;0,00;
0,00;0,00;29,39;0,04;0,00;0,00;
0,00;0,00;32,91;0,04;0,00;0,00;
0,00;0,00;36,43;0,03;0,00;0,00;
0,00;0,00;39,95;0,03;0,00;0,00;
0,00;0,00;43,47;0,03;0,00;0,00;
0,00;0,00;46,99;0,04;0,00;0,00;
0,00;0,00;50,51;0,03;0,00;0,00;
0,00;0,00;54,03;0,03;0,00;0,00;
0,00;0,00;57,55;0,01;0,00;0,00;
0,00;0,00;61,07;0,03;0,00;0,00;
0,00;0,00;64,59;0,04;0,00;0,00;
0,00;0,00;68,11;0,03;0,00;0,00;
0,00;0,00;71,63;0,03;0,00;0,00;
0,00;0,00;75,15;0,03;0,00;0,00;
0,00;0,00;78,66;0,03;0,00;0,00;
0,00;0,00;82,19;0,03;0,00;0,00;
0,00;0,00;85,71;0,02;0,00;0,00;
0,00;0,00;89,23;0,03;0,00;0,00;
0,00;0,00;92,75;0,03;0,00;0,00;
0,00;0,00;96,27;0,04;0,00;0,00;
0,00;0,00;99,78;0,04;0,00;0,00;
0,00;0,00;103,31;0,02;0,00;0,00;
0,00;0,00;106,47;0,01;0,00;0,00;
0,00;0,00;109,16;-0,01;0,00;0,00;
0,00;0,00;111,34;-0,01;0,00;0,00;
0,00;0,00;113,01;-0,01;0,00;0,00;
0,00;0,00;114,17;-0,01;0,00;0,00;
0,00;0,00;114,83;-0,02;0,00;0,00;
0,00;0,00;115,00;0,01;0,00;0,00;
0,00;0,00;117,90;0,01;0,00;0,00;
0,00;0,00;118,46;0,01;0,00;0,00;
0,00;0,00;121,82;0,01;0,00;0,00;
0,00;0,00;122,01;-0,01;0,00;0,00;
0,00;0,00;121,86;-0,04;0,00;0,00;
0,00;0,00;121,20;-0,03;0,00;0,00;
0,00;0,00;120,40;0,01;0,00;0,00;
0,00;0,00;120,04;0,01;0,00;0,00;
0,00;0,00;120,06;0,01;0,00;0,00;
0,00;0,00;120,17;0,01;0,00;0,00;
0,00;0,00;121,75;0,01;0,00;0,00;
0,00;0,00;122,09;0,01;0,00;0,00;
0,00;0,00;122,54;0,01;0,00;0,00;
0,00;0,00;123,21;0,01;0,00;0,00;
0,00;0,00;123,66;0,01;0,00;0,00;
0,00;0,00;123,77;0,01;0,00;0,00;
0,00;0,00;123,99;0,01;0,00;0,00;
0,00;0,00;124,78;0,01;0,00;0,00;
0,00;0,00;126,68;0,01;0,00;0,00;
0,00;0,00;127,13;0,01;0,00;0,00;
0,00;0,00;127,58;0,01;0,00;0,00;
0,00;0,00;127,91;0,01;0,00;0,00;
0,00;0,00;128,25;0,01;0,00;0,00;
0,00;0,00;129,15;0,01;0,00;0,00;
0,00;0,00;130,04;0,01;0,00;0,00;
0,00;0,00;130,49;0,01;0,00;0,00;
0,00;0,00;132,62;0,01;0,00;0,00;
0,00;0,00;133,40;0,01;0,00;0,00;
0,00;0,00;133,96;0,01;0,00;0,00;
0,00;0,00;134,86;0,01;0,00;0,00;
0,00;0,00;137,43;0,01;0,00;0,00;
0,00;0,00;138,33;0,01;0,00;0,00;
0,00;0,00;140,46;0,01;0,00;0,00;
0,00;0,00;143,03;0,01;0,00;0,00;
0,00;0,00;143,48;0,01;0,00;0,00;
0,00;0,00;144,15;0,01;0,00;0,00;
0,00;0,00;145,16;0,01;0,00;0,00;
0,00;0,00;146,17;0,01;0,00;0,00;
0,00;0,00;147,51;0,01;0,00;0,00;
0,00;0,00;147,85;0,01;0,00;0,00;
0,00;0,00;150,87;0,01;0,00;0,00;
0,00;0,00;150,99;0,01;0,00;0,00;
0,00;0,00;151,10;0,01;0,00;0,00;
0,00;0,00;151,21;0,01;0,00;0,00;
0,00;0,00;151,32;0,04;0,00;0,00;
0,00;0,00;151,43;0,08;0,00;0,00;
0,00;0,00;151,54;0,12;0,00;0,00;
0,00;0,00;151,66;0,15;0,00;0,00;
0,00;0,00;151,77;0,17;0,00;0,00;
0,00;0,00;151,88;0,19;0,00;0,00;
0,00;0,00;151,99;0,20;0,00;0,00;
0,00;0,00;152,10;0,20;0,00;0,00;
0,00;0,00;152,22;0,20;0,00;0,00;
0,00;0,00;152,33;0,23;0,00;0,00;
0,00;0,00;152,44;0,21;0,00;0,00;
0,00;0,00;152,55;0,21;0,00;0,00;
0,00;0,00;152,67;0,20;0,00;0,00;
0,00;0,00;152,78;0,20;0,00;0,00;
0,00;0,00;152,89;0,21;0,00;0,00;
0,00;0,00;153,00;0,29;0,00;0,00;
0,00;0,00;153,11;0,30;0,00;0,00;
0,00;0,00;153,22;0,32;0,00;0,00;
0,00;0,00;153,34;0,33;0,00;0,00;
0,00;0,00;153,45;0,38;0,00;0,00;
0,00;0,00;153,56;0,41;0,00;0,00;
0,00;0,00;153,67;0,47;0,00;0,00;
0,00;0,00;153,78;0,49;0,00;0,00;
0,00;0,00;153,90;0,53;0,00;0,00;
0,00;0,00;154,01;0,57;0,00;0,00;
