45444;16.04.21 08:01:25;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);20210415155654P0050;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;43,90;-0,02;0,00;0,00;
0,00;0,00;44,16;0,24;0,00;0,00;
0,00;0,00;44,95;0,20;0,00;0,00;
0,00;0,00;46,22;0,15;0,00;0,00;
0,00;0,00;48,01;0,20;0,00;0,00;
0,00;0,00;50,32;0,22;0,00;0,00;
0,00;0,00;53,14;0,20;0,00;0,00;
0,00;0,00;56,30;0,09;0,00;0,00;
0,00;0,00;59,41;0,11;0,00;0,00;
0,00;0,00;62,65;0,11;0,00;0,00;
0,00;0,00;65,85;0,13;0,00;0,00;
0,00;0,00;69,05;0,11;0,00;0,00;
0,00;0,00;72,25;0,16;0,00;0,00;
0,00;0,00;75,45;0,06;0,00;0,00;
0,00;0,00;78,65;0,13;0,00;0,00;
0,00;0,00;81,85;0,06;0,00;0,00;
0,00;0,00;85,05;0,13;0,00;0,00;
0,00;0,00;88,25;0,13;0,00;0,00;
0,00;0,00;91,45;0,13;0,00;0,00;
0,00;0,00;94,65;0,11;0,00;0,00;
0,00;0,00;97,85;0,09;0,00;0,00;
0,00;0,00;101,05;0,09;0,00;0,00;
0,00;0,00;104,25;0,16;0,00;0,00;
0,00;0,00;107,45;0,11;0,00;0,00;
0,00;0,00;110,65;0,15;0,00;0,00;
0,00;0,00;113,85;0,13;0,00;0,00;
0,00;0,00;117,05;0,16;0,00;0,00;
0,00;0,00;120,25;0,15;0,00;0,00;
0,00;0,00;123,45;0,13;0,00;0,00;
0,00;0,00;126,65;0,13;0,00;0,00;
0,00;0,00;129,85;0,11;0,00;0,00;
0,00;0,00;133,05;0,13;0,00;0,00;
0,00;0,00;136,25;0,13;0,00;0,00;
0,00;0,00;139,45;0,11;0,00;0,00;
0,00;0,00;142,65;0,16;0,00;0,00;
0,00;0,00;145,85;0,09;0,00;0,00;
0,00;0,00;149,05;0,13;0,00;0,00;
0,00;0,00;152,08;-0,00;0,00;0,00;
0,00;0,00;154,59;0,04;0,00;0,00;
0,00;0,00;158,22;0,04;0,00;0,00;
0,00;0,00;159,93;0,04;0,00;0,00;
0,00;0,00;159,97;0,02;0,00;0,00;
0,00;0,00;160,08;0,02;0,00;0,00;
0,00;0,00;160,22;0,04;0,00;0,00;
0,00;0,00;160,38;0,09;0,00;0,00;
0,00;0,00;160,54;0,09;0,00;0,00;
0,00;0,00;160,70;0,06;0,00;0,00;
0,00;0,00;160,86;0,02;0,00;0,00;
0,00;0,00;161,02;0,02;0,00;0,00;
0,00;0,00;161,18;0,06;0,00;0,00;
0,00;0,00;161,34;0,04;0,00;0,00;
0,00;0,00;161,50;0,04;0,00;0,00;
0,00;0,00;161,66;0,06;0,00;0,00;
0,00;0,00;161,82;0,06;0,00;0,00;
0,00;0,00;161,98;0,06;0,00;0,00;
0,00;0,00;162,14;0,06;0,00;0,00;
0,00;0,00;162,30;0,04;0,00;0,00;
0,00;0,00;162,46;0,04;0,00;0,00;
0,00;0,00;162,62;0,04;0,00;0,00;
0,00;0,00;162,78;0,02;0,00;0,00;
0,00;0,00;162,94;0,06;0,00;0,00;
0,00;0,00;163,10;0,04;0,00;0,00;
0,00;0,00;163,26;0,09;0,00;0,00;
0,00;0,00;163,42;0,09;0,00;0,00;
0,00;0,00;163,58;0,09;0,00;0,00;
0,00;0,00;163,74;0,06;0,00;0,00;
0,00;0,00;163,90;0,06;0,00;0,00;
0,00;0,00;164,06;0,06;0,00;0,00;
0,00;0,00;164,22;0,06;0,00;0,00;
0,00;0,00;164,38;0,04;0,00;0,00;
0,00;0,00;164,54;0,04;0,00;0,00;
0,00;0,00;164,70;0,06;0,00;0,00;
0,00;0,00;164,86;0,06;0,00;0,00;
0,00;0,00;165,02;0,04;0,00;0,00;
0,00;0,00;165,18;0,04;0,00;0,00;
0,00;0,00;165,34;0,04;0,00;0,00;
0,00;0,00;165,50;0,04;0,00;0,00;
0,00;0,00;165,66;0,06;0,00;0,00;
0,00;0,00;165,82;0,04;0,00;0,00;
0,00;0,00;165,98;0,06;0,00;0,00;
0,00;0,00;166,14;0,09;0,00;0,00;
0,00;0,00;166,30;0,06;0,00;0,00;
0,00;0,00;166,46;0,06;0,00;0,00;
0,00;0,00;166,62;0,06;0,00;0,00;
0,00;0,00;166,78;0,06;0,00;0,00;
0,00;0,00;166,94;0,06;0,00;0,00;
0,00;0,00;167,10;0,06;0,00;0,00;
0,00;0,00;167,26;0,06;0,00;0,00;
0,00;0,00;167,42;0,09;0,00;0,00;
0,00;0,00;167,58;0,02;0,00;0,00;
0,00;0,00;167,74;0,04;0,00;0,00;
0,00;0,00;167,90;0,06;0,00;0,00;
0,00;0,00;168,06;0,09;0,00;0,00;
0,00;0,00;168,22;0,09;0,00;0,00;
0,00;0,00;168,38;0,06;0,00;0,00;
0,00;0,00;168,54;0,09;0,00;0,00;
0,00;0,00;168,70;0,06;0,00;0,00;
0,00;0,00;168,86;0,04;0,00;0,00;
0,00;0,00;169,02;0,06;0,00;0,00;
0,00;0,00;169,18;0,06;0,00;0,00;
0,00;0,00;169,34;0,06;0,00;0,00;
0,00;0,00;169,50;0,09;0,00;0,00;
0,00;0,00;169,66;0,09;0,00;0,00;
0,00;0,00;169,82;0,06;0,00;0,00;
0,00;0,00;169,98;0,06;0,00;0,00;
0,00;0,00;170,14;0,06;0,00;0,00;
0,00;0,00;170,30;0,06;0,00;0,00;
0,00;0,00;170,46;0,09;0,00;0,00;
0,00;0,00;170,62;0,09;0,00;0,00;
0,00;0,00;170,78;0,06;0,00;0,00;
0,00;0,00;170,94;0,06;0,00;0,00;
0,00;0,00;171,10;0,04;0,00;0,00;
0,00;0,00;171,26;0,06;0,00;0,00;
0,00;0,00;171,42;0,04;0,00;0,00;
0,00;0,00;171,58;0,09;0,00;0,00;
0,00;0,00;171,74;0,04;0,00;0,00;
0,00;0,00;171,90;0,06;0,00;0,00;
0,00;0,00;172,06;0,09;0,00;0,00;
0,00;0,00;172,22;0,06;0,00;0,00;
0,00;0,00;172,38;0,09;0,00;0,00;
0,00;0,00;172,54;0,06;0,00;0,00;
0,00;0,00;172,70;0,06;0,00;0,00;
0,00;0,00;172,86;0,06;0,00;0,00;
0,00;0,00;173,02;0,06;0,00;0,00;
0,00;0,00;173,18;0,09;0,00;0,00;
0,00;0,00;173,34;0,06;0,00;0,00;
0,00;0,00;173,50;0,09;0,00;0,00;
0,00;0,00;173,66;0,06;0,00;0,00;
0,00;0,00;173,82;0,09;0,00;0,00;
0,00;0,00;173,98;0,09;0,00;0,00;
0,00;0,00;174,14;0,09;0,00;0,00;
0,00;0,00;174,30;0,09;0,00;0,00;
0,00;0,00;174,46;0,06;0,00;0,00;
0,00;0,00;174,62;0,09;0,00;0,00;
0,00;0,00;174,78;0,06;0,00;0,00;
0,00;0,00;174,94;0,06;0,00;0,00;
0,00;0,00;175,10;0,06;0,00;0,00;
0,00;0,00;175,26;0,06;0,00;0,00;
0,00;0,00;175,42;0,09;0,00;0,00;
0,00;0,00;175,58;0,06;0,00;0,00;
0,00;0,00;175,74;0,09;0,00;0,00;
0,00;0,00;175,90;0,13;0,00;0,00;
0,00;0,00;176,06;0,27;0,00;0,00;
0,00;0,00;176,22;0,27;0,00;0,00;
0,00;0,00;176,38;0,45;0,00;0,00;
0,00;0,00;176,54;0,84;0,00;0,00;
0,00;0,00;176,69;1,33;0,00;0,00;
0,00;0,00;176,85;1,67;0,00;0,00;
0,00;0,00;177,01;1,92;0,00;0,00;
0,00;0,00;177,17;2,12;0,00;0,00;
0,00;0,00;177,33;2,37;0,00;0,00;
0,00;0,00;177,49;2,53;0,00;0,00;
0,00;0,00;177,65;2,76;0,00;0,00;
0,00;0,00;177,81;3,03;0,00;0,00;
0,00;0,00;177,97;3,21;0,00;0,00;
0,00;0,00;178,13;3,43;0,00;0,00;
0,00;0,00;178,29;3,57;0,00;0,00;
0,00;0,00;178,45;3,84;0,00;0,00;
0,00;0,00;178,61;4,16;0,00;0,00;
0,00;0,00;178,70;4,15;0,00;0,00;
0,00;0,00;178,71;4,38;0,00;0,00;
0,00;0,00;178,71;4,34;0,00;0,00;
0,00;0,00;178,71;4,27;0,00;0,00;
0,00;0,00;178,71;4,23;0,00;0,00;
0,00;0,00;178,71;4,16;0,00;0,00;
