19091;14.05.21 16:46:38;21;Avvicinamento Pressata Finale;force < min. force (9);20210514155738P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;84,50;-0,13;0,00;0,00;
0,00;0,00;85,62;-0,04;0,00;0,00;
0,00;0,00;88,70;0,04;0,00;0,00;
0,00;0,00;98,13;-0,04;0,00;0,00;
0,00;0,00;107,72;-0,04;0,00;0,00;
0,00;0,00;112,52;-0,04;0,00;0,00;
0,00;0,00;117,32;-0,09;0,00;0,00;
0,00;0,00;122,12;-0,09;0,00;0,00;
0,00;0,00;126,92;0,04;0,00;0,00;
0,00;0,00;131,72;-0,09;0,00;0,00;
0,00;0,00;136,52;-0,09;0,00;0,00;
0,00;0,00;146,12;-0,01;0,00;0,00;
0,00;0,00;150,92;-0,09;0,00;0,00;
0,00;0,00;160,52;-0,04;0,00;0,00;
0,00;0,00;165,32;-0,04;0,00;0,00;
0,00;0,00;170,12;-0,04;0,00;0,00;
0,00;0,00;174,92;-0,04;0,00;0,00;
0,00;0,00;179,72;-0,04;0,00;0,00;
0,00;0,00;184,52;-0,04;0,00;0,00;
0,00;0,00;189,32;-0,04;0,00;0,00;
0,00;0,00;198,92;-0,09;0,00;0,00;
0,00;0,00;203,72;-0,04;0,00;0,00;
0,00;0,00;208,52;-0,04;0,00;0,00;
0,00;0,00;213,32;-0,01;0,00;0,00;
0,00;0,00;218,12;-0,04;0,00;0,00;
0,00;0,00;222,92;-0,04;0,00;0,00;
0,00;0,00;227,72;-0,04;0,00;0,00;
0,00;0,00;232,52;-0,04;0,00;0,00;
0,00;0,00;237,32;-0,04;0,00;0,00;
0,00;0,00;242,12;-0,04;0,00;0,00;
0,00;0,00;251,72;-0,04;0,00;0,00;
0,00;0,00;261,32;-0,04;0,00;0,00;
0,00;0,00;266,12;-0,04;0,00;0,00;
0,00;0,00;270,92;-0,04;0,00;0,00;
0,00;0,00;280,52;-0,09;0,00;0,00;
0,00;0,00;290,12;-0,04;0,00;0,00;
0,00;0,00;294,92;-0,04;0,00;0,00;
0,00;0,00;304,52;-0,09;0,00;0,00;
0,00;0,00;309,00;-0,09;0,00;0,00;
0,00;0,00;311,71;-0,04;0,00;0,00;
0,00;0,00;316,67;0,04;0,00;0,00;
0,00;0,00;317,44;0,04;0,00;0,00;
0,00;0,00;320,12;0,04;0,00;0,00;
0,00;0,00;320,89;0,08;0,00;0,00;
0,00;0,00;321,08;0,04;0,00;0,00;
0,00;0,00;321,28;0,08;0,00;0,00;
0,00;0,00;321,47;0,12;0,00;0,00;
0,00;0,00;321,66;0,08;0,00;0,00;
0,00;0,00;321,85;0,17;0,00;0,00;
0,00;0,00;322,04;0,12;0,00;0,00;
0,00;0,00;322,24;0,12;0,00;0,00;
0,00;0,00;322,43;0,12;0,00;0,00;
0,00;0,00;322,62;0,17;0,00;0,00;
0,00;0,00;322,81;0,17;0,00;0,00;
0,00;0,00;323,00;0,17;0,00;0,00;
0,00;0,00;323,20;0,17;0,00;0,00;
0,00;0,00;323,39;0,17;0,00;0,00;
0,00;0,00;323,58;0,17;0,00;0,00;
0,00;0,00;323,77;0,17;0,00;0,00;
0,00;0,00;323,96;0,17;0,00;0,00;
0,00;0,00;324,16;0,17;0,00;0,00;
0,00;0,00;324,35;0,17;0,00;0,00;
0,00;0,00;324,54;0,17;0,00;0,00;
0,00;0,00;324,73;0,17;0,00;0,00;
0,00;0,00;324,92;0,17;0,00;0,00;
0,00;0,00;325,12;0,17;0,00;0,00;
0,00;0,00;325,31;0,17;0,00;0,00;
0,00;0,00;325,50;0,17;0,00;0,00;
0,00;0,00;325,69;0,17;0,00;0,00;
0,00;0,00;325,88;0,17;0,00;0,00;
0,00;0,00;326,08;0,21;0,00;0,00;
0,00;0,00;326,27;0,17;0,00;0,00;
0,00;0,00;326,46;0,17;0,00;0,00;
0,00;0,00;326,65;0,17;0,00;0,00;
0,00;0,00;326,84;0,21;0,00;0,00;
0,00;0,00;327,04;0,30;0,00;0,00;
0,00;0,00;327,23;0,21;0,00;0,00;
0,00;0,00;327,42;0,30;0,00;0,00;
0,00;0,00;327,61;0,35;0,00;0,00;
0,00;0,00;327,80;0,35;0,00;0,00;
0,00;0,00;328,00;0,35;0,00;0,00;
0,00;0,00;328,19;0,35;0,00;0,00;
0,00;0,00;328,25;0,17;0,00;0,00;
0,00;0,00;328,25;0,26;0,00;0,00;
0,00;0,00;328,25;0,21;0,00;0,00;
