19918;25.05.21 13:40:57;21;Avvicinamento Pressata Finale;position > max position (10);20210525114520P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;30,22;0,08;0,00;0,00;
0,00;0,00;33,30;0,08;0,00;0,00;
0,00;0,00;37,92;0,04;0,00;0,00;
0,00;0,00;42,72;0,04;0,00;0,00;
0,00;0,00;47,52;0,04;0,00;0,00;
0,00;0,00;52,32;0,04;0,00;0,00;
0,00;0,00;61,92;0,04;0,00;0,00;
0,00;0,00;66,72;0,04;0,00;0,00;
0,00;0,00;76,32;0,04;0,00;0,00;
0,00;0,00;85,92;-0,04;0,00;0,00;
0,00;0,00;95,52;-0,01;0,00;0,00;
0,00;0,00;109,92;0,04;0,00;0,00;
0,00;0,00;129,12;-0,01;0,00;0,00;
0,00;0,00;133,92;-0,01;0,00;0,00;
0,00;0,00;138,72;-0,04;0,00;0,00;
0,00;0,00;148,32;0,04;0,00;0,00;
0,00;0,00;162,72;0,04;0,00;0,00;
0,00;0,00;167,52;-0,01;0,00;0,00;
0,00;0,00;177,12;0,04;0,00;0,00;
0,00;0,00;181,92;0,04;0,00;0,00;
0,00;0,00;205,92;0,04;0,00;0,00;
0,00;0,00;215,52;-0,01;0,00;0,00;
0,00;0,00;229,92;-0,04;0,00;0,00;
0,00;0,00;234,72;-0,04;0,00;0,00;
0,00;0,00;249,12;0,04;0,00;0,00;
0,00;0,00;253,92;-0,01;0,00;0,00;
0,00;0,00;263,52;0,04;0,00;0,00;
0,00;0,00;268,32;0,04;0,00;0,00;
0,00;0,00;287,52;0,04;0,00;0,00;
0,00;0,00;292,32;-0,04;0,00;0,00;
0,00;0,00;301,92;0,08;0,00;0,00;
0,00;0,00;309,15;-0,09;0,00;0,00;
0,00;0,00;309,94;-0,04;0,00;0,00;
0,00;0,00;310,52;0,04;0,00;0,00;
0,00;0,00;311,16;0,08;0,00;0,00;
0,00;0,00;311,80;0,08;0,00;0,00;
0,00;0,00;312,44;0,04;0,00;0,00;
0,00;0,00;312,76;0,04;0,00;0,00;
0,00;0,00;313,08;0,04;0,00;0,00;
0,00;0,00;314,36;0,04;0,00;0,00;
0,00;0,00;314,68;0,04;0,00;0,00;
0,00;0,00;315,00;0,17;0,00;0,00;
0,00;0,00;315,32;0,17;0,00;0,00;
0,00;0,00;315,64;0,17;0,00;0,00;
0,00;0,00;315,96;0,17;0,00;0,00;
0,00;0,00;316,28;0,17;0,00;0,00;
0,00;0,00;316,60;0,17;0,00;0,00;
0,00;0,00;316,92;0,17;0,00;0,00;
0,00;0,00;317,23;0,78;0,00;0,00;
0,00;0,00;317,56;0,87;0,00;0,00;
0,00;0,00;317,88;0,87;0,00;0,00;
0,00;0,00;318,20;0,95;0,00;0,00;
0,00;0,00;318,52;1,04;0,00;0,00;
0,00;0,00;318,84;1,09;0,00;0,00;
0,00;0,00;319,16;1,22;0,00;0,00;
0,00;0,00;319,48;1,22;0,00;0,00;
0,00;0,00;319,80;1,30;0,00;0,00;
0,00;0,00;320,12;1,39;0,00;0,00;
0,00;0,00;320,44;1,48;0,00;0,00;
0,00;0,00;320,76;1,52;0,00;0,00;
0,00;0,00;321,08;1,52;0,00;0,00;
0,00;0,00;321,40;1,57;0,00;0,00;
0,00;0,00;321,72;1,65;0,00;0,00;
0,00;0,00;322,04;1,73;0,00;0,00;
0,00;0,00;322,36;1,78;0,00;0,00;
0,00;0,00;322,68;1,87;0,00;0,00;
0,00;0,00;323,00;2,08;0,00;0,00;
0,00;0,00;323,32;2,21;0,00;0,00;
0,00;0,00;323,64;2,26;0,00;0,00;
0,00;0,00;323,96;2,35;0,00;0,00;
0,00;0,00;324,28;2,44;0,00;0,00;
0,00;0,00;324,60;2,56;0,00;0,00;
0,00;0,00;324,92;2,61;0,00;0,00;
0,00;0,00;325,24;2,78;0,00;0,00;
0,00;0,00;325,56;2,91;0,00;0,00;
0,00;0,00;325,88;2,95;0,00;0,00;
0,00;0,00;326,20;3,00;0,00;0,00;
0,00;0,00;326,52;3,04;0,00;0,00;
0,00;0,00;326,84;3,13;0,00;0,00;
0,00;0,00;327,16;3,13;0,00;0,00;
0,00;0,00;327,48;3,21;0,00;0,00;
0,00;0,00;327,80;3,43;0,00;0,00;
0,00;0,00;328,11;3,56;0,00;0,00;
0,00;0,00;328,44;3,65;0,00;0,00;
0,00;0,00;328,76;3,82;0,00;0,00;
0,00;0,00;329,08;3,91;0,00;0,00;
0,00;0,00;329,40;4,00;0,00;0,00;
0,00;0,00;329,71;4,17;0,00;0,00;
0,00;0,00;330,04;4,22;0,00;0,00;
0,00;0,00;330,36;4,35;0,00;0,00;
0,00;0,00;330,68;4,47;0,00;0,00;
0,00;0,00;331,00;4,61;0,00;0,00;
0,00;0,00;331,32;4,78;0,00;0,00;
0,00;0,00;331,61;12,87;0,00;0,00;
0,00;0,00;331,61;13,74;0,00;0,00;
0,00;0,00;331,62;14,12;0,00;0,00;
0,00;0,00;331,63;14,44;0,00;0,00;
0,00;0,00;331,63;14,69;0,00;0,00;
0,00;0,00;331,63;14,78;0,00;0,00;
0,00;0,00;331,64;14,96;0,00;0,00;
