46576;17.06.21 15:18:17;10;Repair_strategy;start interrupted (14);20210617133922P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;171,20;0,08;0,00;0,00;
0,00;0,00;171,26;0,16;0,00;0,00;
0,00;0,00;171,52;-0,16;0,00;0,00;
0,00;0,00;171,47;-0,23;0,00;0,00;
0,00;0,00;171,55;0,08;0,00;0,00;
0,00;0,00;171,86;0,08;0,00;0,00;
0,00;0,00;172,19;0,08;0,00;0,00;
0,00;0,00;172,35;0,08;0,00;0,00;
0,00;0,00;172,51;0,08;0,00;0,00;
0,00;0,00;172,67;0,08;0,00;0,00;
0,00;0,00;172,83;0,08;0,00;0,00;
0,00;0,00;172,99;0,08;0,00;0,00;
0,00;0,00;173,15;0,08;0,00;0,00;
0,00;0,00;173,31;0,08;0,00;0,00;
0,00;0,00;173,47;0,08;0,00;0,00;
0,00;0,00;173,63;0,08;0,00;0,00;
0,00;0,00;173,79;0,08;0,00;0,00;
0,00;0,00;173,95;0,08;0,00;0,00;
0,00;0,00;174,11;0,08;0,00;0,00;
0,00;0,00;174,27;0,08;0,00;0,00;
0,00;0,00;174,43;0,08;0,00;0,00;
0,00;0,00;174,59;0,08;0,00;0,00;
0,00;0,00;174,75;0,08;0,00;0,00;
0,00;0,00;174,91;0,08;0,00;0,00;
0,00;0,00;175,07;0,08;0,00;0,00;
0,00;0,00;175,23;0,08;0,00;0,00;
0,00;0,00;175,39;0,08;0,00;0,00;
0,00;0,00;175,55;0,08;0,00;0,00;
0,00;0,00;175,71;0,08;0,00;0,00;
0,00;0,00;175,87;0,08;0,00;0,00;
0,00;0,00;176,03;0,08;0,00;0,00;
0,00;0,00;176,19;0,08;0,00;0,00;
0,00;0,00;176,35;0,08;0,00;0,00;
0,00;0,00;176,51;0,08;0,00;0,00;
0,00;0,00;176,67;0,08;0,00;0,00;
0,00;0,00;176,83;0,08;0,00;0,00;
0,00;0,00;176,99;0,08;0,00;0,00;
0,00;0,00;177,15;0,08;0,00;0,00;
0,00;0,00;177,31;0,08;0,00;0,00;
0,00;0,00;177,47;0,08;0,00;0,00;
0,00;0,00;177,63;0,08;0,00;0,00;
0,00;0,00;177,79;0,08;0,00;0,00;
0,00;0,00;177,95;0,08;0,00;0,00;
0,00;0,00;178,11;0,08;0,00;0,00;
0,00;0,00;178,27;0,08;0,00;0,00;
0,00;0,00;178,43;0,08;0,00;0,00;
0,00;0,00;178,50;0,08;0,00;0,00;
0,00;0,00;178,50;0,08;0,00;0,00;
0,00;0,00;178,36;-0,47;0,00;0,00;
0,00;0,00;177,83;-0,47;0,00;0,00;
0,00;0,00;177,08;-0,31;0,00;0,00;
0,00;0,00;176,73;-0,23;0,00;0,00;
0,00;0,00;176,57;-0,23;0,00;0,00;
0,00;0,00;176,49;-0,23;0,00;0,00;
0,00;0,00;176,49;-0,23;0,00;0,00;
0,00;0,00;176,55;0,08;0,00;0,00;
0,00;0,00;176,72;0,08;0,00;0,00;
0,00;0,00;176,86;0,08;0,00;0,00;
0,00;0,00;177,02;0,08;0,00;0,00;
0,00;0,00;177,19;0,08;0,00;0,00;
0,00;0,00;177,35;0,08;0,00;0,00;
0,00;0,00;177,51;0,08;0,00;0,00;
0,00;0,00;177,67;0,08;0,00;0,00;
0,00;0,00;177,83;0,08;0,00;0,00;
0,00;0,00;177,99;0,08;0,00;0,00;
0,00;0,00;178,15;0,08;0,00;0,00;
0,00;0,00;178,31;0,08;0,00;0,00;
0,00;0,00;178,47;0,08;0,00;0,00;
0,00;0,00;178,63;0,08;0,00;0,00;
0,00;0,00;178,79;0,08;0,00;0,00;
0,00;0,00;178,95;0,08;0,00;0,00;
0,00;0,00;179,11;0,08;0,00;0,00;
0,00;0,00;179,27;0,08;0,00;0,00;
0,00;0,00;179,43;0,08;0,00;0,00;
0,00;0,00;179,59;0,08;0,00;0,00;
0,00;0,00;179,75;0,08;0,00;0,00;
0,00;0,00;179,91;0,08;0,00;0,00;
0,00;0,00;180,07;0,08;0,00;0,00;
0,00;0,00;180,23;0,08;0,00;0,00;
0,00;0,00;180,39;0,08;0,00;0,00;
0,00;0,00;180,55;0,08;0,00;0,00;
0,00;0,00;180,71;0,08;0,00;0,00;
0,00;0,00;180,87;0,08;0,00;0,00;
0,00;0,00;181,03;0,08;0,00;0,00;
0,00;0,00;181,19;0,08;0,00;0,00;
0,00;0,00;181,35;0,08;0,00;0,00;
0,00;0,00;181,51;0,08;0,00;0,00;
0,00;0,00;181,67;0,08;0,00;0,00;
0,00;0,00;181,83;0,08;0,00;0,00;
0,00;0,00;181,99;0,08;0,00;0,00;
0,00;0,00;182,15;0,08;0,00;0,00;
0,00;0,00;182,31;0,08;0,00;0,00;
0,00;0,00;182,47;0,08;0,00;0,00;
0,00;0,00;182,63;0,08;0,00;0,00;
0,00;0,00;182,79;0,08;0,00;0,00;
0,00;0,00;182,95;0,08;0,00;0,00;
0,00;0,00;183,11;0,08;0,00;0,00;
0,00;0,00;183,27;0,08;0,00;0,00;
0,00;0,00;183,43;0,08;0,00;0,00;
0,00;0,00;183,59;0,08;0,00;0,00;
0,00;0,00;183,75;0,08;0,00;0,00;
0,00;0,00;183,91;0,08;0,00;0,00;
0,00;0,00;184,07;0,08;0,00;0,00;
0,00;0,00;184,23;0,08;0,00;0,00;
0,00;0,00;184,39;0,08;0,00;0,00;
0,00;0,00;184,55;0,08;0,00;0,00;
0,00;0,00;184,71;0,08;0,00;0,00;
0,00;0,00;184,87;0,08;0,00;0,00;
0,00;0,00;185,03;0,08;0,00;0,00;
0,00;0,00;185,19;0,08;0,00;0,00;
0,00;0,00;185,35;0,08;0,00;0,00;
0,00;0,00;185,51;0,08;0,00;0,00;
0,00;0,00;185,67;0,69;0,00;0,00;
0,00;0,00;185,82;2,43;0,00;0,00;
0,00;0,00;185,98;4,41;0,00;0,00;
0,00;0,00;186,14;6,62;0,00;0,00;
0,00;0,00;186,30;8,75;0,00;0,00;
0,00;0,00;186,46;10,89;0,00;0,00;
0,00;0,00;186,62;12,87;0,00;0,00;
0,00;0,00;186,78;13,55;0,00;0,00;
0,00;0,00;186,96;2,20;0,00;0,00;
0,00;0,00;187,14;0,16;0,00;0,00;
0,00;0,00;187,28;0,08;0,00;0,00;
0,00;0,00;187,44;0,16;0,00;0,00;
0,00;0,00;187,59;0,16;0,00;0,00;
0,00;0,00;187,75;0,23;0,00;0,00;
0,00;0,00;187,91;3,12;0,00;0,00;
0,00;0,00;188,06;6,23;0,00;0,00;
0,00;0,00;188,21;9,73;0,00;0,00;
0,00;0,00;188,37;13,47;0,00;0,00;
0,00;0,00;188,53;17,27;0,00;0,00;
0,00;0,00;188,68;20,86;0,00;0,00;
0,00;0,00;188,84;24,20;0,00;0,00;
0,00;0,00;189,00;27,77;0,00;0,00;
0,00;0,00;189,16;31,43;0,00;0,00;
0,00;0,00;189,18;29,53;0,00;0,00;
0,00;0,00;189,21;32,58;0,00;0,00;
0,00;0,00;189,21;32,66;0,00;0,00;
0,00;0,00;189,21;32,80;0,00;0,00;
0,00;0,00;189,21;32,88;0,00;0,00;
0,00;0,00;189,22;32,72;0,00;0,00;
0,00;0,00;189,22;32,58;0,00;0,00;
0,00;0,00;189,22;32,04;0,00;0,00;
0,00;0,00;189,22;31,35;0,00;0,00;
0,00;0,00;189,22;30,90;0,00;0,00;
0,00;0,00;189,22;30,82;0,00;0,00;
