25590;06.08.21 10:20:47;21;Avvicinamento Pressata Finale;force > max. force (8);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,12;0,04;0,00;0,00;
0,00;0,00;4,20;-0,01;0,00;0,00;
0,00;0,00;8,82;0,04;0,00;0,00;
0,00;0,00;13,62;0,04;0,00;0,00;
0,00;0,00;23,22;0,08;0,00;0,00;
0,00;0,00;28,02;0,04;0,00;0,00;
0,00;0,00;32,82;0,04;0,00;0,00;
0,00;0,00;37,62;-0,01;0,00;0,00;
0,00;0,00;42,42;0,08;0,00;0,00;
0,00;0,00;52,02;0,04;0,00;0,00;
0,00;0,00;61,62;0,04;0,00;0,00;
0,00;0,00;80,82;-0,04;0,00;0,00;
0,00;0,00;90,42;0,04;0,00;0,00;
0,00;0,00;95,22;-0,04;0,00;0,00;
0,00;0,00;100,02;0,04;0,00;0,00;
0,00;0,00;109,62;-0,04;0,00;0,00;
0,00;0,00;114,42;0,08;0,00;0,00;
0,00;0,00;124,02;-0,04;0,00;0,00;
0,00;0,00;128,82;0,04;0,00;0,00;
0,00;0,00;133,62;0,08;0,00;0,00;
0,00;0,00;138,42;-0,04;0,00;0,00;
0,00;0,00;148,02;-0,04;0,00;0,00;
0,00;0,00;152,82;-0,01;0,00;0,00;
0,00;0,00;162,42;0,04;0,00;0,00;
0,00;0,00;167,22;-0,04;0,00;0,00;
0,00;0,00;172,02;-0,04;0,00;0,00;
0,00;0,00;181,62;-0,01;0,00;0,00;
0,00;0,00;186,42;-0,04;0,00;0,00;
0,00;0,00;196,02;0,04;0,00;0,00;
0,00;0,00;200,82;-0,01;0,00;0,00;
0,00;0,00;205,62;0,04;0,00;0,00;
0,00;0,00;210,42;0,04;0,00;0,00;
0,00;0,00;215,22;0,08;0,00;0,00;
0,00;0,00;220,02;0,04;0,00;0,00;
0,00;0,00;229,61;0,04;0,00;0,00;
0,00;0,00;233,02;-0,01;0,00;0,00;
0,00;0,00;234,60;0,08;0,00;0,00;
0,00;0,00;234,71;0,04;0,00;0,00;
0,00;0,00;235,66;0,08;0,00;0,00;
0,00;0,00;236,30;0,04;0,00;0,00;
0,00;0,00;236,62;0,04;0,00;0,00;
0,00;0,00;236,94;0,08;0,00;0,00;
0,00;0,00;237,26;0,04;0,00;0,00;
0,00;0,00;237,58;0,04;0,00;0,00;
0,00;0,00;238,86;0,04;0,00;0,00;
0,00;0,00;239,18;0,17;0,00;0,00;
0,00;0,00;239,50;0,04;0,00;0,00;
0,00;0,00;239,82;0,08;0,00;0,00;
0,00;0,00;240,14;0,04;0,00;0,00;
0,00;0,00;240,78;0,04;0,00;0,00;
0,00;0,00;241,10;0,04;0,00;0,00;
0,00;0,00;241,42;0,04;0,00;0,00;
0,00;0,00;242,06;0,08;0,00;0,00;
0,00;0,00;242,38;0,04;0,00;0,00;
0,00;0,00;242,70;0,04;0,00;0,00;
0,00;0,00;243,02;0,04;0,00;0,00;
0,00;0,00;243,34;0,04;0,00;0,00;
0,00;0,00;243,98;0,04;0,00;0,00;
0,00;0,00;244,30;0,04;0,00;0,00;
0,00;0,00;244,62;0,12;0,00;0,00;
0,00;0,00;244,94;0,08;0,00;0,00;
0,00;0,00;245,58;0,08;0,00;0,00;
0,00;0,00;245,90;0,04;0,00;0,00;
0,00;0,00;246,22;0,08;0,00;0,00;
0,00;0,00;246,54;0,08;0,00;0,00;
0,00;0,00;246,86;0,04;0,00;0,00;
0,00;0,00;247,18;0,04;0,00;0,00;
0,00;0,00;247,82;0,12;0,00;0,00;
0,00;0,00;248,46;0,08;0,00;0,00;
0,00;0,00;248,78;0,08;0,00;0,00;
0,00;0,00;249,10;0,04;0,00;0,00;
0,00;0,00;249,42;0,04;0,00;0,00;
0,00;0,00;249,74;0,04;0,00;0,00;
0,00;0,00;250,06;0,08;0,00;0,00;
0,00;0,00;250,38;0,04;0,00;0,00;
0,00;0,00;250,70;0,04;0,00;0,00;
0,00;0,00;251,02;0,12;0,00;0,00;
0,00;0,00;251,34;0,04;0,00;0,00;
0,00;0,00;251,66;0,04;0,00;0,00;
0,00;0,00;251,98;0,04;0,00;0,00;
0,00;0,00;252,30;0,04;0,00;0,00;
0,00;0,00;252,62;0,04;0,00;0,00;
0,00;0,00;252,94;0,04;0,00;0,00;
0,00;0,00;253,26;0,04;0,00;0,00;
0,00;0,00;253,58;0,04;0,00;0,00;
0,00;0,00;253,90;0,04;0,00;0,00;
0,00;0,00;254,22;0,04;0,00;0,00;
0,00;0,00;254,54;0,04;0,00;0,00;
0,00;0,00;254,86;0,04;0,00;0,00;
0,00;0,00;255,18;0,08;0,00;0,00;
0,00;0,00;255,50;0,04;0,00;0,00;
0,00;0,00;255,82;0,08;0,00;0,00;
0,00;0,00;256,14;0,04;0,00;0,00;
0,00;0,00;256,46;0,04;0,00;0,00;
0,00;0,00;257,42;0,08;0,00;0,00;
0,00;0,00;258,06;0,08;0,00;0,00;
0,00;0,00;258,38;0,08;0,00;0,00;
0,00;0,00;258,70;0,08;0,00;0,00;
0,00;0,00;259,02;0,08;0,00;0,00;
0,00;0,00;259,34;0,04;0,00;0,00;
0,00;0,00;259,66;0,04;0,00;0,00;
0,00;0,00;259,98;0,08;0,00;0,00;
0,00;0,00;260,62;0,04;0,00;0,00;
0,00;0,00;261,58;0,08;0,00;0,00;
0,00;0,00;261,90;0,04;0,00;0,00;
0,00;0,00;262,22;0,08;0,00;0,00;
0,00;0,00;262,54;0,08;0,00;0,00;
0,00;0,00;262,86;0,04;0,00;0,00;
0,00;0,00;263,18;0,04;0,00;0,00;
0,00;0,00;263,50;0,04;0,00;0,00;
0,00;0,00;263,81;0,69;0,00;0,00;
0,00;0,00;264,14;0,78;0,00;0,00;
0,00;0,00;264,46;0,87;0,00;0,00;
0,00;0,00;264,78;0,95;0,00;0,00;
0,00;0,00;265,10;1,04;0,00;0,00;
0,00;0,00;265,42;1,09;0,00;0,00;
0,00;0,00;265,74;1,22;0,00;0,00;
0,00;0,00;266,06;1,34;0,00;0,00;
0,00;0,00;266,37;1,57;0,00;0,00;
0,00;0,00;266,70;1,57;0,00;0,00;
0,00;0,00;267,02;1,60;0,00;0,00;
0,00;0,00;267,34;1,73;0,00;0,00;
0,00;0,00;267,66;1,78;0,00;0,00;
0,00;0,00;267,98;1,82;0,00;0,00;
0,00;0,00;268,30;1,91;0,00;0,00;
0,00;0,00;268,62;1,95;0,00;0,00;
0,00;0,00;268,94;1,95;0,00;0,00;
0,00;0,00;269,26;2,04;0,00;0,00;
0,00;0,00;269,58;2,08;0,00;0,00;
0,00;0,00;269,90;2,08;0,00;0,00;
0,00;0,00;270,22;2,04;0,00;0,00;
0,00;0,00;270,54;2,08;0,00;0,00;
0,00;0,00;270,86;2,17;0,00;0,00;
0,00;0,00;271,18;2,26;0,00;0,00;
0,00;0,00;271,50;2,26;0,00;0,00;
0,00;0,00;271,82;2,26;0,00;0,00;
0,00;0,00;272,14;2,30;0,00;0,00;
0,00;0,00;272,46;2,35;0,00;0,00;
0,00;0,00;272,78;2,39;0,00;0,00;
0,00;0,00;273,10;2,47;0,00;0,00;
0,00;0,00;273,41;3,13;0,00;0,00;
0,00;0,00;273,72;7,60;0,00;0,00;
0,00;0,00;274,00;20,04;0,00;0,00;
0,00;0,00;274,24;35,52;0,00;0,00;
0,00;0,00;274,27;37,05;0,00;0,00;
0,00;0,00;274,29;37,87;0,00;0,00;
0,00;0,00;274,31;38,97;0,00;0,00;
0,00;0,00;274,32;39,44;0,00;0,00;
0,00;0,00;274,33;39,83;0,00;0,00;
0,00;0,00;274,33;39,83;0,00;0,00;
