25598;06.08.21 17:01:21;21;Avvicinamento Pressata Finale;wrong softlimit spindle data (74);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;28,52;0,12;0,00;0,00;
0,00;0,00;31,60;0,08;0,00;0,00;
0,00;0,00;36,22;0,12;0,00;0,00;
0,00;0,00;41,02;0,04;0,00;0,00;
0,00;0,00;45,82;0,04;0,00;0,00;
0,00;0,00;74,62;0,04;0,00;0,00;
0,00;0,00;79,42;0,04;0,00;0,00;
0,00;0,00;84,22;0,04;0,00;0,00;
0,00;0,00;93,82;-0,01;0,00;0,00;
0,00;0,00;98,62;0,04;0,00;0,00;
0,00;0,00;108,22;0,04;0,00;0,00;
0,00;0,00;117,82;0,04;0,00;0,00;
0,00;0,00;122,62;0,04;0,00;0,00;
0,00;0,00;127,42;-0,01;0,00;0,00;
0,00;0,00;134,86;0,04;0,00;0,00;
0,00;0,00;134,90;0,04;0,00;0,00;
0,00;0,00;135,16;0,04;0,00;0,00;
0,00;0,00;135,80;0,04;0,00;0,00;
0,00;0,00;136,12;0,04;0,00;0,00;
0,00;0,00;136,44;0,12;0,00;0,00;
0,00;0,00;136,76;0,08;0,00;0,00;
0,00;0,00;137,40;0,04;0,00;0,00;
0,00;0,00;138,36;0,08;0,00;0,00;
0,00;0,00;138,68;0,04;0,00;0,00;
0,00;0,00;139,00;0,04;0,00;0,00;
0,00;0,00;139,32;0,08;0,00;0,00;
0,00;0,00;139,64;0,08;0,00;0,00;
0,00;0,00;139,96;0,04;0,00;0,00;
0,00;0,00;140,60;0,04;0,00;0,00;
0,00;0,00;140,92;0,08;0,00;0,00;
0,00;0,00;141,24;0,12;0,00;0,00;
0,00;0,00;141,56;0,04;0,00;0,00;
0,00;0,00;141,88;0,12;0,00;0,00;
0,00;0,00;142,52;0,12;0,00;0,00;
0,00;0,00;142,84;0,12;0,00;0,00;
0,00;0,00;143,16;0,08;0,00;0,00;
0,00;0,00;143,48;0,17;0,00;0,00;
0,00;0,00;143,80;0,17;0,00;0,00;
0,00;0,00;144,12;0,12;0,00;0,00;
0,00;0,00;144,44;0,12;0,00;0,00;
0,00;0,00;144,76;0,12;0,00;0,00;
0,00;0,00;145,08;0,08;0,00;0,00;
0,00;0,00;145,40;0,12;0,00;0,00;
0,00;0,00;145,72;0,12;0,00;0,00;
0,00;0,00;146,04;0,12;0,00;0,00;
0,00;0,00;146,36;0,12;0,00;0,00;
0,00;0,00;146,68;0,08;0,00;0,00;
0,00;0,00;147,00;0,17;0,00;0,00;
0,00;0,00;147,32;0,17;0,00;0,00;
0,00;0,00;147,64;0,17;0,00;0,00;
0,00;0,00;147,96;0,08;0,00;0,00;
0,00;0,00;148,28;0,12;0,00;0,00;
0,00;0,00;148,60;0,12;0,00;0,00;
0,00;0,00;148,92;0,12;0,00;0,00;
0,00;0,00;149,24;0,17;0,00;0,00;
0,00;0,00;149,56;0,12;0,00;0,00;
0,00;0,00;149,88;0,12;0,00;0,00;
0,00;0,00;150,20;0,12;0,00;0,00;
0,00;0,00;150,52;0,08;0,00;0,00;
0,00;0,00;150,84;0,12;0,00;0,00;
0,00;0,00;151,16;0,08;0,00;0,00;
0,00;0,00;151,48;0,17;0,00;0,00;
0,00;0,00;151,80;0,12;0,00;0,00;
0,00;0,00;152,12;0,12;0,00;0,00;
0,00;0,00;152,44;0,17;0,00;0,00;
0,00;0,00;152,76;0,04;0,00;0,00;
0,00;0,00;153,08;0,08;0,00;0,00;
0,00;0,00;153,40;0,08;0,00;0,00;
0,00;0,00;153,72;0,12;0,00;0,00;
0,00;0,00;154,04;0,12;0,00;0,00;
0,00;0,00;154,36;0,17;0,00;0,00;
0,00;0,00;154,68;0,17;0,00;0,00;
0,00;0,00;155,00;0,08;0,00;0,00;
0,00;0,00;155,32;0,08;0,00;0,00;
0,00;0,00;155,64;0,12;0,00;0,00;
0,00;0,00;155,96;0,08;0,00;0,00;
0,00;0,00;156,28;0,08;0,00;0,00;
0,00;0,00;156,60;0,08;0,00;0,00;
0,00;0,00;156,92;0,08;0,00;0,00;
0,00;0,00;157,24;0,12;0,00;0,00;
0,00;0,00;157,56;0,08;0,00;0,00;
0,00;0,00;157,88;0,12;0,00;0,00;
0,00;0,00;158,20;0,17;0,00;0,00;
0,00;0,00;158,52;0,12;0,00;0,00;
0,00;0,00;158,84;0,12;0,00;0,00;
0,00;0,00;159,16;0,12;0,00;0,00;
0,00;0,00;159,48;0,12;0,00;0,00;
0,00;0,00;159,80;0,12;0,00;0,00;
0,00;0,00;160,12;0,08;0,00;0,00;
0,00;0,00;160,44;0,08;0,00;0,00;
0,00;0,00;160,76;0,08;0,00;0,00;
0,00;0,00;161,08;0,12;0,00;0,00;
0,00;0,00;161,40;0,04;0,00;0,00;
0,00;0,00;161,72;0,17;0,00;0,00;
0,00;0,00;162,04;0,12;0,00;0,00;
0,00;0,00;162,36;0,08;0,00;0,00;
0,00;0,00;162,68;0,08;0,00;0,00;
0,00;0,00;163,00;0,04;0,00;0,00;
0,00;0,00;163,32;0,12;0,00;0,00;
0,00;0,00;163,64;0,12;0,00;0,00;
0,00;0,00;163,96;0,12;0,00;0,00;
0,00;0,00;164,28;0,17;0,00;0,00;
0,00;0,00;164,60;0,04;0,00;0,00;
0,00;0,00;164,92;0,08;0,00;0,00;
0,00;0,00;165,24;0,04;0,00;0,00;
0,00;0,00;165,56;0,17;0,00;0,00;
0,00;0,00;165,88;0,12;0,00;0,00;
0,00;0,00;166,20;0,08;0,00;0,00;
