Nr;Date;ProgNr;ProgName;State;PartInfo;
26096;20.08.21 15:43:01;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210818153942P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;51,50;-0,01;0,00;0,00;
0,00;0,00;51,55;0,03;0,00;0,00;
0,00;0,00;52,09;0,03;0,00;0,00;
0,00;0,00;53,13;0,03;0,00;0,00;
0,00;0,00;54,68;0,04;0,00;0,00;
0,00;0,00;56,74;0,04;0,00;0,00;
0,00;0,00;59,32;0,03;0,00;0,00;
0,00;0,00;62,40;0,02;0,00;0,00;
0,00;0,00;65,88;0,01;0,00;0,00;
0,00;0,00;69,39;0,01;0,00;0,00;
0,00;0,00;72,91;0,01;0,00;0,00;
0,00;0,00;76,43;0,01;0,00;0,00;
0,00;0,00;79,95;0,02;0,00;0,00;
0,00;0,00;83,47;0,01;0,00;0,00;
0,00;0,00;86,99;0,01;0,00;0,00;
0,00;0,00;90,51;0,01;0,00;0,00;
0,00;0,00;94,03;0,01;0,00;0,00;
0,00;0,00;97,55;0,01;0,00;0,00;
0,00;0,00;101,07;0,03;0,00;0,00;
0,00;0,00;104,59;0,03;0,00;0,00;
0,00;0,00;108,11;0,01;0,00;0,00;
0,00;0,00;111,63;0,01;0,00;0,00;
0,00;0,00;115,15;0,01;0,00;0,00;
0,00;0,00;118,66;0,02;0,00;0,00;
0,00;0,00;122,19;0,03;0,00;0,00;
0,00;0,00;125,71;0,01;0,00;0,00;
0,00;0,00;129,23;0,02;0,00;0,00;
0,00;0,00;132,75;0,01;0,00;0,00;
0,00;0,00;136,27;0,02;0,00;0,00;
0,00;0,00;139,78;0,04;0,00;0,00;
0,00;0,00;143,31;0,02;0,00;0,00;
0,00;0,00;146,83;0,02;0,00;0,00;
0,00;0,00;150,28;-0,01;0,00;0,00;
0,00;0,00;153,27;0,01;0,00;0,00;
0,00;0,00;157,81;-0,01;0,00;0,00;
0,00;0,00;159,33;-0,01;0,00;0,00;
0,00;0,00;160,37;-0,01;0,00;0,00;
0,00;0,00;160,90;-0,02;0,00;0,00;
0,00;0,00;161,01;0,01;0,00;0,00;
0,00;0,00;161,02;-0,01;0,00;0,00;
0,00;0,00;161,10;0,01;0,00;0,00;
0,00;0,00;161,21;-0,01;0,00;0,00;
0,00;0,00;161,59;-0,01;0,00;0,00;
0,00;0,00;161,69;0,01;0,00;0,00;
0,00;0,00;161,78;0,01;0,00;0,00;
0,00;0,00;161,88;0,01;0,00;0,00;
0,00;0,00;161,98;0,01;0,00;0,00;
0,00;0,00;162,07;0,01;0,00;0,00;
0,00;0,00;162,17;0,01;0,00;0,00;
0,00;0,00;162,36;0,01;0,00;0,00;
0,00;0,00;162,46;0,01;0,00;0,00;
0,00;0,00;162,55;0,01;0,00;0,00;
0,00;0,00;162,65;0,01;0,00;0,00;
0,00;0,00;162,74;0,01;0,00;0,00;
0,00;0,00;162,94;0,01;0,00;0,00;
0,00;0,00;163,03;0,01;0,00;0,00;
0,00;0,00;163,13;0,01;0,00;0,00;
0,00;0,00;163,22;0,01;0,00;0,00;
0,00;0,00;163,42;0,01;0,00;0,00;
0,00;0,00;163,51;0,01;0,00;0,00;
0,00;0,00;163,70;0,01;0,00;0,00;
0,00;0,00;163,80;0,01;0,00;0,00;
0,00;0,00;163,90;0,01;0,00;0,00;
0,00;0,00;163,99;0,01;0,00;0,00;
0,00;0,00;164,09;0,01;0,00;0,00;
0,00;0,00;164,18;0,01;0,00;0,00;
0,00;0,00;164,28;0,01;0,00;0,00;
0,00;0,00;164,38;0,01;0,00;0,00;
0,00;0,00;164,47;0,01;0,00;0,00;
0,00;0,00;164,57;0,01;0,00;0,00;
0,00;0,00;164,66;0,01;0,00;0,00;
0,00;0,00;164,76;0,01;0,00;0,00;
0,00;0,00;164,86;0,01;0,00;0,00;
0,00;0,00;164,95;0,01;0,00;0,00;
0,00;0,00;165,05;0,01;0,00;0,00;
0,00;0,00;165,15;0,01;0,00;0,00;
0,00;0,00;165,24;0,01;0,00;0,00;
0,00;0,00;165,34;0,01;0,00;0,00;
0,00;0,00;165,43;0,01;0,00;0,00;
0,00;0,00;165,53;0,01;0,00;0,00;
0,00;0,00;165,62;0,01;0,00;0,00;
0,00;0,00;165,72;0,01;0,00;0,00;
0,00;0,00;165,82;0,01;0,00;0,00;
0,00;0,00;165,91;0,01;0,00;0,00;
0,00;0,00;166,01;0,01;0,00;0,00;
0,00;0,00;166,10;0,01;0,00;0,00;
0,00;0,00;166,20;0,01;0,00;0,00;
0,00;0,00;166,30;0,01;0,00;0,00;
0,00;0,00;166,39;0,01;0,00;0,00;
0,00;0,00;166,49;0,01;0,00;0,00;
0,00;0,00;166,58;0,01;0,00;0,00;
0,00;0,00;166,68;0,01;0,00;0,00;
0,00;0,00;166,78;0,01;0,00;0,00;
0,00;0,00;166,87;0,01;0,00;0,00;
0,00;0,00;166,97;0,01;0,00;0,00;
0,00;0,00;167,06;0,01;0,00;0,00;
0,00;0,00;167,16;0,01;0,00;0,00;
0,00;0,00;167,26;0,01;0,00;0,00;
0,00;0,00;167,35;0,01;0,00;0,00;
0,00;0,00;167,45;0,01;0,00;0,00;
0,00;0,00;167,54;0,01;0,00;0,00;
0,00;0,00;167,64;0,01;0,00;0,00;
0,00;0,00;167,83;0,01;0,00;0,00;
0,00;0,00;167,93;0,01;0,00;0,00;
0,00;0,00;168,02;0,01;0,00;0,00;
0,00;0,00;168,12;0,01;0,00;0,00;
0,00;0,00;168,22;0,01;0,00;0,00;
0,00;0,00;168,31;0,01;0,00;0,00;
0,00;0,00;168,41;0,01;0,00;0,00;
0,00;0,00;168,50;0,01;0,00;0,00;
0,00;0,00;168,60;0,01;0,00;0,00;
0,00;0,00;168,70;0,01;0,00;0,00;
0,00;0,00;168,79;0,01;0,00;0,00;
0,00;0,00;168,89;0,01;0,00;0,00;
0,00;0,00;168,98;0,01;0,00;0,00;
0,00;0,00;169,08;0,01;0,00;0,00;
0,00;0,00;169,18;0,01;0,00;0,00;
0,00;0,00;169,27;0,01;0,00;0,00;
0,00;0,00;169,37;0,01;0,00;0,00;
0,00;0,00;169,46;0,01;0,00;0,00;
0,00;0,00;169,56;0,01;0,00;0,00;
0,00;0,00;169,75;0,01;0,00;0,00;
0,00;0,00;169,85;0,01;0,00;0,00;
0,00;0,00;169,94;0,01;0,00;0,00;
0,00;0,00;170,04;0,01;0,00;0,00;
0,00;0,00;170,14;0,01;0,00;0,00;
0,00;0,00;170,23;0,01;0,00;0,00;
0,00;0,00;170,33;0,01;0,00;0,00;
0,00;0,00;170,42;0,01;0,00;0,00;
0,00;0,00;170,52;0,01;0,00;0,00;
0,00;0,00;170,62;0,01;0,00;0,00;
0,00;0,00;170,90;0,01;0,00;0,00;
0,00;0,00;171,00;0,01;0,00;0,00;
0,00;0,00;171,10;0,01;0,00;0,00;
0,00;0,00;171,19;0,01;0,00;0,00;
0,00;0,00;171,29;0,01;0,00;0,00;
0,00;0,00;171,38;0,01;0,00;0,00;
0,00;0,00;171,48;0,01;0,00;0,00;
0,00;0,00;171,58;0,01;0,00;0,00;
0,00;0,00;171,67;0,01;0,00;0,00;
0,00;0,00;171,77;0,01;0,00;0,00;
0,00;0,00;171,86;0,01;0,00;0,00;
0,00;0,00;171,96;0,01;0,00;0,00;
0,00;0,00;172,06;0,01;0,00;0,00;
0,00;0,00;172,15;0,01;0,00;0,00;
0,00;0,00;172,25;0,01;0,00;0,00;
0,00;0,00;172,34;0,01;0,00;0,00;
0,00;0,00;172,44;0,01;0,00;0,00;
0,00;0,00;172,54;0,01;0,00;0,00;
0,00;0,00;172,63;0,01;0,00;0,00;
0,00;0,00;172,73;0,01;0,00;0,00;
0,00;0,00;172,82;0,07;0,00;0,00;
0,00;0,00;172,92;0,10;0,00;0,00;
0,00;0,00;173,01;0,14;0,00;0,00;
0,00;0,00;173,11;0,15;0,00;0,00;
0,00;0,00;173,21;0,19;0,00;0,00;
0,00;0,00;173,30;0,21;0,00;0,00;
0,00;0,00;173,40;0,24;0,00;0,00;
0,00;0,00;173,50;0,27;0,00;0,00;
0,00;0,00;173,59;0,29;0,00;0,00;
0,00;0,00;173,69;0,30;0,00;0,00;
0,00;0,00;173,78;0,33;0,00;0,00;
0,00;0,00;173,88;0,35;0,00;0,00;
0,00;0,00;173,97;0,37;0,00;0,00;
0,00;0,00;174,07;0,39;0,00;0,00;
0,00;0,00;174,17;0,41;0,00;0,00;
0,00;0,00;174,26;0,42;0,00;0,00;
0,00;0,00;174,36;0,45;0,00;0,00;
0,00;0,00;174,46;0,47;0,00;0,00;
0,00;0,00;174,55;0,50;0,00;0,00;
0,00;0,00;174,65;0,51;0,00;0,00;
0,00;0,00;174,74;0,53;0,00;0,00;
0,00;0,00;174,84;0,56;0,00;0,00;
0,00;0,00;174,93;0,59;0,00;0,00;
0,00;0,00;175,03;0,61;0,00;0,00;
0,00;0,00;175,13;0,63;0,00;0,00;
0,00;0,00;175,22;0,65;0,00;0,00;
0,00;0,00;175,32;0,66;0,00;0,00;
0,00;0,00;175,42;0,68;0,00;0,00;
0,00;0,00;175,51;0,71;0,00;0,00;
0,00;0,00;175,61;0,74;0,00;0,00;
0,00;0,00;175,70;0,77;0,00;0,00;
0,00;0,00;175,80;0,77;0,00;0,00;
0,00;0,00;175,90;0,78;0,00;0,00;
0,00;0,00;175,99;0,82;0,00;0,00;
0,00;0,00;176,01;0,77;0,00;0,00;
0,00;0,00;176,00;0,60;0,00;0,00;
0,00;0,00;175,60;-0,03;0,00;0,00;
0,00;0,00;174,68;-0,04;0,00;0,00;
0,00;0,00;173,26;-0,03;0,00;0,00;
0,00;0,00;172,04;-0,01;0,00;0,00;
0,00;0,00;171,26;0,01;0,00;0,00;
0,00;0,00;171,01;-0,01;0,00;0,00;
0,00;0,00;170,99;-0,02;0,00;0,00;
0,00;0,00;171,00;-0,01;0,00;0,00;
0,00;0,00;171,10;0,01;0,00;0,00;
0,00;0,00;171,20;0,01;0,00;0,00;
0,00;0,00;171,30;0,01;0,00;0,00;
0,00;0,00;171,49;0,01;0,00;0,00;
0,00;0,00;171,59;0,01;0,00;0,00;
0,00;0,00;171,69;0,01;0,00;0,00;
0,00;0,00;171,78;0,01;0,00;0,00;
0,00;0,00;171,88;0,01;0,00;0,00;
0,00;0,00;171,98;0,01;0,00;0,00;
0,00;0,00;172,07;0,01;0,00;0,00;
0,00;0,00;172,17;0,01;0,00;0,00;
0,00;0,00;172,26;0,01;0,00;0,00;
0,00;0,00;172,36;0,01;0,00;0,00;
0,00;0,00;172,46;0,01;0,00;0,00;
0,00;0,00;172,55;0,01;0,00;0,00;
0,00;0,00;172,65;0,01;0,00;0,00;
0,00;0,00;172,74;0,01;0,00;0,00;
0,00;0,00;172,84;0,01;0,00;0,00;
0,00;0,00;172,94;0,01;0,00;0,00;
0,00;0,00;173,03;0,01;0,00;0,00;
0,00;0,00;173,13;0,01;0,00;0,00;
0,00;0,00;173,22;0,01;0,00;0,00;
0,00;0,00;173,32;0,01;0,00;0,00;
0,00;0,00;173,42;0,01;0,00;0,00;
0,00;0,00;173,51;0,01;0,00;0,00;
0,00;0,00;173,61;0,01;0,00;0,00;
0,00;0,00;173,70;0,01;0,00;0,00;
0,00;0,00;173,80;0,01;0,00;0,00;
0,00;0,00;173,90;0,01;0,00;0,00;
0,00;0,00;173,99;0,01;0,00;0,00;
0,00;0,00;174,09;0,01;0,00;0,00;
0,00;0,00;174,18;0,01;0,00;0,00;
0,00;0,00;174,28;0,01;0,00;0,00;
0,00;0,00;174,38;0,01;0,00;0,00;
0,00;0,00;174,47;0,01;0,00;0,00;
0,00;0,00;174,57;0,01;0,00;0,00;
0,00;0,00;174,66;0,01;0,00;0,00;
0,00;0,00;174,76;0,01;0,00;0,00;
0,00;0,00;174,86;0,01;0,00;0,00;
0,00;0,00;174,95;0,01;0,00;0,00;
0,00;0,00;175,05;0,01;0,00;0,00;
0,00;0,00;175,14;0,01;0,00;0,00;
0,00;0,00;175,24;0,01;0,00;0,00;
0,00;0,00;175,34;0,01;0,00;0,00;
0,00;0,00;175,43;0,01;0,00;0,00;
0,00;0,00;175,62;0,01;0,00;0,00;
0,00;0,00;175,72;0,01;0,00;0,00;
0,00;0,00;175,82;0,01;0,00;0,00;
0,00;0,00;175,91;0,01;0,00;0,00;
0,00;0,00;176,01;0,56;0,00;0,00;
0,00;0,00;176,09;0,84;0,00;0,00;
0,00;0,00;176,19;0,86;0,00;0,00;
0,00;0,00;176,29;0,86;0,00;0,00;
0,00;0,00;176,39;0,88;0,00;0,00;
0,00;0,00;176,49;0,88;0,00;0,00;
0,00;0,00;176,58;0,91;0,00;0,00;
0,00;0,00;176,68;0,91;0,00;0,00;
0,00;0,00;176,77;0,94;0,00;0,00;
0,00;0,00;176,87;0,96;0,00;0,00;
0,00;0,00;176,97;0,96;0,00;0,00;
0,00;0,00;177,06;0,96;0,00;0,00;
0,00;0,00;177,16;0,97;0,00;0,00;
0,00;0,00;177,26;0,97;0,00;0,00;
0,00;0,00;177,35;1,01;0,00;0,00;
0,00;0,00;177,45;1,00;0,00;0,00;
0,00;0,00;177,54;1,00;0,00;0,00;
0,00;0,00;177,64;1,02;0,00;0,00;
0,00;0,00;177,73;1,01;0,00;0,00;
0,00;0,00;177,83;0,99;0,00;0,00;
0,00;0,00;177,93;1,01;0,00;0,00;
0,00;0,00;178,02;1,02;0,00;0,00;
0,00;0,00;178,12;1,02;0,00;0,00;
0,00;0,00;178,22;1,01;0,00;0,00;
0,00;0,00;178,31;0,99;0,00;0,00;
0,00;0,00;178,41;1,01;0,00;0,00;
0,00;0,00;178,50;1,02;0,00;0,00;
0,00;0,00;178,60;1,01;0,00;0,00;
0,00;0,00;178,70;0,97;0,00;0,00;
0,00;0,00;178,79;0,94;0,00;0,00;
0,00;0,00;178,89;0,95;0,00;0,00;
0,00;0,00;178,98;0,96;0,00;0,00;
0,00;0,00;179,08;0,95;0,00;0,00;
0,00;0,00;179,18;0,93;0,00;0,00;
0,00;0,00;179,27;0,93;0,00;0,00;
0,00;0,00;179,37;0,92;0,00;0,00;
0,00;0,00;179,46;0,90;0,00;0,00;
0,00;0,00;179,56;0,89;0,00;0,00;
0,00;0,00;179,66;0,90;0,00;0,00;
0,00;0,00;179,75;0,91;0,00;0,00;
0,00;0,00;179,85;0,93;0,00;0,00;
0,00;0,00;179,94;0,91;0,00;0,00;
0,00;0,00;180,04;0,91;0,00;0,00;
0,00;0,00;180,14;0,91;0,00;0,00;
0,00;0,00;180,23;0,92;0,00;0,00;
0,00;0,00;180,33;0,92;0,00;0,00;
0,00;0,00;180,42;0,93;0,00;0,00;
0,00;0,00;180,52;0,93;0,00;0,00;
0,00;0,00;180,62;0,94;0,00;0,00;
0,00;0,00;180,71;0,93;0,00;0,00;
0,00;0,00;180,81;0,93;0,00;0,00;
0,00;0,00;180,90;0,92;0,00;0,00;
0,00;0,00;181,00;0,94;0,00;0,00;
0,00;0,00;181,10;0,94;0,00;0,00;
0,00;0,00;181,19;0,94;0,00;0,00;
0,00;0,00;181,29;0,94;0,00;0,00;
0,00;0,00;181,38;0,94;0,00;0,00;
0,00;0,00;181,48;0,93;0,00;0,00;
0,00;0,00;181,58;0,94;0,00;0,00;
0,00;0,00;181,67;0,96;0,00;0,00;
0,00;0,00;181,77;0,95;0,00;0,00;
0,00;0,00;181,86;0,96;0,00;0,00;
0,00;0,00;181,96;0,96;0,00;0,00;
0,00;0,00;182,06;0,96;0,00;0,00;
0,00;0,00;182,15;0,96;0,00;0,00;
0,00;0,00;182,25;0,96;0,00;0,00;
0,00;0,00;182,34;0,98;0,00;0,00;
0,00;0,00;182,44;0,98;0,00;0,00;
0,00;0,00;182,54;0,97;0,00;0,00;
0,00;0,00;182,63;0,99;0,00;0,00;
0,00;0,00;182,73;0,99;0,00;0,00;
0,00;0,00;182,82;0,99;0,00;0,00;
0,00;0,00;182,92;1,00;0,00;0,00;
0,00;0,00;183,02;0,99;0,00;0,00;
0,00;0,00;183,11;0,99;0,00;0,00;
0,00;0,00;183,21;0,99;0,00;0,00;
0,00;0,00;183,30;1,00;0,00;0,00;
0,00;0,00;183,40;0,99;0,00;0,00;
0,00;0,00;183,50;1,00;0,00;0,00;
0,00;0,00;183,59;1,01;0,00;0,00;
0,00;0,00;183,69;1,00;0,00;0,00;
0,00;0,00;183,78;0,99;0,00;0,00;
0,00;0,00;183,88;0,99;0,00;0,00;
0,00;0,00;183,98;1,00;0,00;0,00;
0,00;0,00;184,07;1,00;0,00;0,00;
0,00;0,00;184,17;1,02;0,00;0,00;
0,00;0,00;184,26;1,00;0,00;0,00;
0,00;0,00;184,36;1,00;0,00;0,00;
0,00;0,00;184,46;1,00;0,00;0,00;
0,00;0,00;184,55;1,00;0,00;0,00;
0,00;0,00;184,65;1,00;0,00;0,00;
0,00;0,00;184,74;1,00;0,00;0,00;
0,00;0,00;184,84;0,99;0,00;0,00;
0,00;0,00;184,94;0,99;0,00;0,00;
0,00;0,00;185,03;1,00;0,00;0,00;
0,00;0,00;185,13;1,00;0,00;0,00;
