75987;07.09.21 11:27:21;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position > max position (10);20210907083410A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,02;0,00;0,00;
0,00;0,00;0,06;0,22;0,00;0,00;
0,00;0,00;0,62;0,16;0,00;0,00;
0,00;0,00;1,65;0,15;0,00;0,00;
0,00;0,00;3,17;0,15;0,00;0,00;
0,00;0,00;5,22;0,15;0,00;0,00;
0,00;0,00;7,78;0,20;0,00;0,00;
0,00;0,00;10,84;0,04;0,00;0,00;
0,00;0,00;13,95;0,09;0,00;0,00;
0,00;0,00;17,13;0,11;0,00;0,00;
0,00;0,00;20,34;0,09;0,00;0,00;
0,00;0,00;23,54;0,11;0,00;0,00;
0,00;0,00;26,74;0,09;0,00;0,00;
0,00;0,00;29,95;0,11;0,00;0,00;
0,00;0,00;33,15;0,11;0,00;0,00;
0,00;0,00;36,34;0,11;0,00;0,00;
0,00;0,00;39,54;0,13;0,00;0,00;
0,00;0,00;42,74;0,11;0,00;0,00;
0,00;0,00;45,95;0,09;0,00;0,00;
0,00;0,00;49,15;0,13;0,00;0,00;
0,00;0,00;52,34;0,09;0,00;0,00;
0,00;0,00;55,54;0,11;0,00;0,00;
0,00;0,00;58,74;0,11;0,00;0,00;
0,00;0,00;61,95;0,09;0,00;0,00;
0,00;0,00;65,15;0,09;0,00;0,00;
0,00;0,00;68,35;0,09;0,00;0,00;
0,00;0,00;71,54;0,11;0,00;0,00;
0,00;0,00;74,75;0,09;0,00;0,00;
0,00;0,00;77,95;0,09;0,00;0,00;
0,00;0,00;81,15;0,04;0,00;0,00;
0,00;0,00;84,35;0,09;0,00;0,00;
0,00;0,00;87,55;0,09;0,00;0,00;
0,00;0,00;90,75;0,13;0,00;0,00;
0,00;0,00;93,95;0,09;0,00;0,00;
0,00;0,00;97,15;0,11;0,00;0,00;
0,00;0,00;100,35;0,06;0,00;0,00;
0,00;0,00;103,54;0,09;0,00;0,00;
0,00;0,00;106,75;0,11;0,00;0,00;
0,00;0,00;109,95;0,09;0,00;0,00;
0,00;0,00;113,15;0,09;0,00;0,00;
0,00;0,00;116,35;0,11;0,00;0,00;
0,00;0,00;119,55;0,11;0,00;0,00;
0,00;0,00;122,75;0,13;0,00;0,00;
0,00;0,00;125,95;0,04;0,00;0,00;
0,00;0,00;129,15;0,11;0,00;0,00;
0,00;0,00;132,35;0,09;0,00;0,00;
0,00;0,00;135,55;0,11;0,00;0,00;
0,00;0,00;138,75;0,09;0,00;0,00;
0,00;0,00;141,88;-0,00;0,00;0,00;
0,00;0,00;144,51;0,04;0,00;0,00;
0,00;0,00;146,72;0,02;0,00;0,00;
0,00;0,00;149,67;-0,05;0,00;0,00;
0,00;0,00;150,63;-0,02;0,00;0,00;
0,00;0,00;150,78;0,06;0,00;0,00;
0,00;0,00;150,93;0,06;0,00;0,00;
0,00;0,00;151,09;0,02;0,00;0,00;
0,00;0,00;151,25;0,02;0,00;0,00;
0,00;0,00;151,73;0,04;0,00;0,00;
0,00;0,00;151,89;0,04;0,00;0,00;
0,00;0,00;152,05;0,02;0,00;0,00;
0,00;0,00;152,69;0,02;0,00;0,00;
0,00;0,00;152,85;0,02;0,00;0,00;
0,00;0,00;153,01;0,04;0,00;0,00;
0,00;0,00;153,17;0,04;0,00;0,00;
0,00;0,00;153,33;0,04;0,00;0,00;
0,00;0,00;153,49;0,04;0,00;0,00;
0,00;0,00;153,65;0,02;0,00;0,00;
0,00;0,00;153,97;0,06;0,00;0,00;
0,00;0,00;154,13;0,09;0,00;0,00;
0,00;0,00;154,29;0,24;0,00;0,00;
0,00;0,00;154,45;0,31;0,00;0,00;
0,00;0,00;154,61;0,84;0,00;0,00;
0,00;0,00;154,76;1,08;0,00;0,00;
0,00;0,00;154,92;1,22;0,00;0,00;
0,00;0,00;155,09;1,31;0,00;0,00;
0,00;0,00;155,25;1,42;0,00;0,00;
0,00;0,00;155,41;1,51;0,00;0,00;
0,00;0,00;155,57;1,65;0,00;0,00;
0,00;0,00;155,73;1,72;0,00;0,00;
0,00;0,00;155,89;1,87;0,00;0,00;
0,00;0,00;156,05;2,03;0,00;0,00;
0,00;0,00;156,21;2,12;0,00;0,00;
0,00;0,00;156,37;2,28;0,00;0,00;
0,00;0,00;156,53;2,35;0,00;0,00;
0,00;0,00;156,69;2,46;0,00;0,00;
0,00;0,00;156,85;2,58;0,00;0,00;
0,00;0,00;157,01;2,76;0,00;0,00;
0,00;0,00;157,17;2,80;0,00;0,00;
0,00;0,00;157,33;2,98;0,00;0,00;
0,00;0,00;157,49;3,03;0,00;0,00;
0,00;0,00;157,65;3,21;0,00;0,00;
0,00;0,00;157,81;3,28;0,00;0,00;
0,00;0,00;157,97;3,39;0,00;0,00;
0,00;0,00;158,13;3,48;0,00;0,00;
0,00;0,00;158,29;3,61;0,00;0,00;
0,00;0,00;158,45;3,80;0,00;0,00;
0,00;0,00;158,61;3,80;0,00;0,00;
0,00;0,00;158,77;3,98;0,00;0,00;
