15309;07.09.21 11:47:20;21;Avvicinamento Pressata Fuori Ingombro;start interrupted (14);20210907083410P0028;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;40,16;0,16;0,00;0,00;
0,00;0,00;40,95;0,11;0,00;0,00;
0,00;0,00;42,22;0,09;0,00;0,00;
0,00;0,00;44,01;0,11;0,00;0,00;
0,00;0,00;46,31;0,20;0,00;0,00;
0,00;0,00;49,13;0,16;0,00;0,00;
0,00;0,00;52,29;0,05;0,00;0,00;
0,00;0,00;55,40;0,09;0,00;0,00;
0,00;0,00;58,66;0,14;0,00;0,00;
0,00;0,00;61,84;0,09;0,00;0,00;
0,00;0,00;65,04;0,11;0,00;0,00;
0,00;0,00;68,24;0,11;0,00;0,00;
0,00;0,00;71,45;0,05;0,00;0,00;
0,00;0,00;74,65;0,09;0,00;0,00;
0,00;0,00;77,85;0,07;0,00;0,00;
0,00;0,00;81,05;0,09;0,00;0,00;
0,00;0,00;84,25;0,09;0,00;0,00;
0,00;0,00;87,45;0,05;0,00;0,00;
0,00;0,00;90,65;0,11;0,00;0,00;
0,00;0,00;93,85;0,07;0,00;0,00;
0,00;0,00;97,05;0,09;0,00;0,00;
0,00;0,00;100,25;0,11;0,00;0,00;
0,00;0,00;103,45;0,02;0,00;0,00;
0,00;0,00;106,65;0,07;0,00;0,00;
0,00;0,00;109,85;0,07;0,00;0,00;
0,00;0,00;113,05;0,13;0,00;0,00;
0,00;0,00;116,25;0,11;0,00;0,00;
0,00;0,00;119,45;0,05;0,00;0,00;
0,00;0,00;122,65;0,09;0,00;0,00;
0,00;0,00;125,85;0,05;0,00;0,00;
0,00;0,00;129,05;0,09;0,00;0,00;
0,00;0,00;132,25;0,11;0,00;0,00;
