28181;14.09.21 11:38:59;21;Avvicinamento Pressata Finale;start interrupted (14);20210910125027A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;21,12;0,04;0,00;0,00;
0,00;0,00;28,82;0,04;0,00;0,00;
0,00;0,00;33,63;0,04;0,00;0,00;
0,00;0,00;38,42;-0,04;0,00;0,00;
0,00;0,00;67,22;-0,04;0,00;0,00;
0,00;0,00;72,02;0,04;0,00;0,00;
0,00;0,00;81,62;-0,04;0,00;0,00;
0,00;0,00;86,42;-0,04;0,00;0,00;
0,00;0,00;91,22;-0,04;0,00;0,00;
0,00;0,00;124,82;-0,04;0,00;0,00;
0,00;0,00;134,42;0,04;0,00;0,00;
0,00;0,00;153,62;0,04;0,00;0,00;
0,00;0,00;158,42;0,04;0,00;0,00;
0,00;0,00;163,22;-0,04;0,00;0,00;
