80467;27.09.21 11:01:36;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20210927100258P0050;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;44,18;0,13;0,00;0,00;
0,00;0,00;44,97;0,11;0,00;0,00;
0,00;0,00;46,24;0,11;0,00;0,00;
0,00;0,00;48,03;0,13;0,00;0,00;
0,00;0,00;50,33;0,18;0,00;0,00;
0,00;0,00;53,15;0,09;0,00;0,00;
0,00;0,00;56,31;0,05;0,00;0,00;
0,00;0,00;59,42;0,06;0,00;0,00;
0,00;0,00;62,64;0,09;0,00;0,00;
0,00;0,00;65,85;0,07;0,00;0,00;
0,00;0,00;69,05;0,07;0,00;0,00;
0,00;0,00;72,25;0,07;0,00;0,00;
0,00;0,00;75,45;0,02;0,00;0,00;
0,00;0,00;78,65;0,07;0,00;0,00;
0,00;0,00;81,85;0,05;0,00;0,00;
0,00;0,00;85,05;0,06;0,00;0,00;
0,00;0,00;88,25;0,05;0,00;0,00;
0,00;0,00;91,45;0,05;0,00;0,00;
0,00;0,00;94,65;0,09;0,00;0,00;
0,00;0,00;97,85;0,02;0,00;0,00;
0,00;0,00;101,05;0,05;0,00;0,00;
0,00;0,00;104,25;0,09;0,00;0,00;
0,00;0,00;107,45;0,04;0,00;0,00;
0,00;0,00;110,65;0,11;0,00;0,00;
0,00;0,00;113,85;0,11;0,00;0,00;
0,00;0,00;117,05;0,09;0,00;0,00;
0,00;0,00;120,25;0,09;0,00;0,00;
0,00;0,00;123,45;0,09;0,00;0,00;
0,00;0,00;126,65;0,09;0,00;0,00;
0,00;0,00;129,85;0,07;0,00;0,00;
0,00;0,00;133,05;0,05;0,00;0,00;
0,00;0,00;136,25;0,11;0,00;0,00;
0,00;0,00;139,45;0,04;0,00;0,00;
0,00;0,00;142,65;0,07;0,00;0,00;
0,00;0,00;145,85;0,05;0,00;0,00;
0,00;0,00;149,05;0,07;0,00;0,00;
0,00;0,00;152,08;-0,07;0,00;0,00;
0,00;0,00;156,66;-0,07;0,00;0,00;
0,00;0,00;158,21;-0,02;0,00;0,00;
0,00;0,00;159,26;-0,05;0,00;0,00;
0,00;0,00;159,80;-0,09;0,00;0,00;
0,00;0,00;159,96;-0,02;0,00;0,00;
0,00;0,00;159,96;-0,05;0,00;0,00;
0,00;0,00;160,20;0,02;0,00;0,00;
0,00;0,00;161,00;-0,02;0,00;0,00;
0,00;0,00;174,92;0,16;0,00;0,00;
0,00;0,00;175,08;0,18;0,00;0,00;
0,00;0,00;175,24;0,95;0,00;0,00;
0,00;0,00;175,38;4,55;0,00;0,00;
0,00;0,00;175,50;8,59;0,00;0,00;
0,00;0,00;175,63;12,68;0,00;0,00;
0,00;0,00;175,76;17,18;0,00;0,00;
0,00;0,00;175,90;19,99;0,00;0,00;
0,00;0,00;176,02;19,92;0,00;0,00;
0,00;0,00;176,07;20,15;0,00;0,00;
0,00;0,00;176,09;20,08;0,00;0,00;
0,00;0,00;176,10;20,08;0,00;0,00;
0,00;0,00;176,11;20,08;0,00;0,00;
0,00;0,00;176,12;20,08;0,00;0,00;
0,00;0,00;176,13;20,17;0,00;0,00;
0,00;0,00;176,14;20,17;0,00;0,00;
0,00;0,00;176,14;20,10;0,00;0,00;
0,00;0,00;176,14;20,08;0,00;0,00;
0,00;0,00;176,15;19,99;0,00;0,00;
0,00;0,00;176,15;19,94;0,00;0,00;
0,00;0,00;176,15;19,90;0,00;0,00;
0,00;0,00;176,15;19,81;0,00;0,00;
